method_id,week,n,wins,losses,win_pct,roi,units
RS001,4,0,0,0,,,0.0
RS001,5,0,0,0,,,0.0
RS001,6,2,1,1,0.5,0.14500000000000002,0.29000000000000004
RS001,7,4,2,2,0.5,0.29500000000000004,1.1800000000000002
RS001,8,2,1,1,0.5,0.22999999999999998,0.45999999999999996
RS001,9,5,4,1,0.8,1.0699999999999998,5.35
RS001,10,5,5,0,1.0,1.6,8.0
RS001,11,10,7,3,0.7,0.712,7.119999999999999
RS001,12,6,4,2,0.6666666666666666,0.695,4.17
RS001,13,5,3,2,0.6,0.5119999999999999,2.5599999999999996
RS001,14,6,6,0,1.0,1.5616666666666668,9.370000000000001
RS001,15,4,2,2,0.5,0.15250000000000002,0.6100000000000001
RS001,16,6,2,4,0.3333333333333333,-0.19166666666666665,-1.15
RS001,17,3,2,1,0.6666666666666666,0.5666666666666667,1.7
RS001,18,2,1,1,0.5,0.25,0.5
RS002,4,8,7,1,0.875,1.1625,9.3
RS002,5,5,2,3,0.4,-0.146,-0.73
RS002,6,6,3,3,0.5,0.17000000000000004,1.0200000000000002
RS002,7,5,4,1,0.8,1.02,5.1
RS002,8,7,7,0,1.0,1.5314285714285714,10.719999999999999
RS002,9,3,2,1,0.6666666666666666,0.5766666666666667,1.73
RS002,10,8,8,0,1.0,1.29125,10.33
RS002,11,9,6,3,0.6666666666666666,0.6322222222222221,5.6899999999999995
RS002,12,5,5,0,1.0,1.434,7.17
RS002,13,7,3,4,0.42857142857142855,0.027142857142857135,0.18999999999999995
RS002,14,3,1,2,0.3333333333333333,-0.22666666666666666,-0.6799999999999999
RS002,15,6,5,1,0.8333333333333334,1.0283333333333333,6.17
RS002,16,9,6,3,0.6666666666666666,0.6766666666666666,6.09
RS002,17,5,2,3,0.4,-0.06400000000000002,-0.32000000000000006
RS002,18,0,0,0,,,0.0
RS003,4,12,10,2,0.8333333333333334,1.0275,12.330000000000002
RS003,5,10,4,6,0.4,-0.06599999999999999,-0.6599999999999999
RS003,6,8,3,5,0.375,-0.11000000000000001,-0.8800000000000001
RS003,7,12,8,4,0.6666666666666666,0.535,6.42
RS003,8,9,8,1,0.8888888888888888,1.2299999999999998,11.069999999999999
RS003,9,9,6,3,0.6666666666666666,0.6255555555555556,5.630000000000001
RS003,10,11,6,5,0.5454545454545454,0.29545454545454547,3.25
RS003,11,11,7,4,0.6363636363636364,0.5509090909090908,6.059999999999999
RS003,12,14,8,6,0.5714285714285714,0.3507142857142857,4.91
RS003,13,6,2,4,0.3333333333333333,-0.17166666666666666,-1.03
RS003,14,7,2,5,0.2857142857142857,-0.37285714285714283,-2.61
RS003,15,10,7,3,0.7,0.758,7.58
RS003,16,9,7,2,0.7777777777777778,0.9088888888888891,8.180000000000001
RS003,17,9,6,3,0.6666666666666666,0.4933333333333333,4.4399999999999995
RS003,18,3,3,0,1.0,1.5333333333333332,4.6
