method_id,season,week,game_id,team,opponent,moneyline
RS001,2010,6,2010_06_BAL_NE,BAL,NE,126.0
RS001,2022,15,2022_15_BAL_CLE,BAL,CLE,139.0
RS001,2016,17,2016_17_CAR_TB,CAR,TB,171.0
RS001,2006,16,2006_16_CIN_DEN,CIN,DEN,150.0
RS001,2015,16,2015_16_CIN_DEN,CIN,DEN,166.0
RS001,2009,11,2009_11_CLE_DET,CLE,DET,158.0
RS001,2025,8,2025_08_DAL_DEN,DAL,DEN,160.0
RS001,2017,16,2017_16_DEN_WAS,DEN,WAS,144.0
RS001,2017,15,2017_15_GB_CAR,GB,CAR,136.0
RS001,2018,11,2018_11_GB_SEA,GB,SEA,146.0
RS001,2010,9,2010_09_IND_PHI,IND,PHI,146.0
RS001,2013,12,2013_12_IND_ARI,IND,ARI,166.0
RS001,2019,13,2019_13_MIN_SEA,MIN,SEA,138.0
RS001,2008,13,2008_13_NO_TB,NO,TB,177.0
RS001,2025,18,2025_18_NO_ATL,NO,ATL,170.0
RS001,2010,7,2010_07_PHI_TEN,PHI,TEN,129.0
RS001,2019,7,2019_07_PHI_DAL,PHI,DAL,148.0
RS001,2010,12,2010_12_TEN_HOU,TEN,HOU,180.0
RS001,2006,11,2006_11_WAS_TB,WAS,TB,155.0
RS001,2023,16,2023_16_WAS_NYJ,WAS,NYJ,140.0
RS002,2024,13,2024_13_ARI_MIN,ARI,MIN,154.0
RS002,2010,6,2010_06_BAL_NE,BAL,NE,126.0
RS002,2008,16,2008_16_CAR_NYG,CAR,NYG,185.0
RS002,2025,17,2025_17_CHI_SF,CHI,SF,170.0
RS002,2010,5,2010_05_ATL_CLE,CLE,ATL,144.0
RS002,2023,13,2023_13_CLE_LA,CLE,LA,160.0
RS002,2019,14,2019_14_IND_TB,IND,TB,149.0
RS002,2025,4,2025_04_IND_LA,IND,LA,154.0
RS002,2007,7,2007_07_IND_JAX,JAC,IND,148.0
RS002,2007,9,2007_09_JAX_NO,JAC,NO,181.0
RS002,2010,6,2010_06_TEN_JAX,JAC,TEN,129.0
RS002,2007,11,2007_11_SD_JAX,LAC,JAC,154.0
RS002,2011,13,2011_13_OAK_MIA,LV,MIA,152.0
RS002,2008,6,2008_06_MIA_HOU,MIA,HOU,143.0
RS002,2009,17,2009_17_PIT_MIA,MIA,PIT,133.0
RS002,2008,15,2008_15_NYG_DAL,NYG,DAL,141.0
RS002,2023,13,2023_13_SF_PHI,PHI,SF,124.0
RS002,2012,16,2012_16_SF_SEA,SF,SEA,122.0
RS002,2013,11,2013_11_SF_NO,SF,NO,159.0
RS002,2016,5,2016_05_ARI_SF,SF,ARI,169.0
RS002,2013,5,2013_05_KC_TEN,TEN,KC,119.0
RS002,2020,16,2020_16_TEN_GB,TEN,GB,159.0
RS002,2006,14,2006_14_PHI_WAS,WAS,PHI,112.0
RS002,2006,17,2006_17_NYG_WAS,WAS,NYG,106.0
RS002,2025,11,2025_11_WAS_MIA,WAS,MIA,124.0
RS003,2024,13,2024_13_ARI_MIN,ARI,MIN,154.0
RS003,2006,11,2006_11_ATL_BAL,ATL,BAL,161.0
RS003,2006,15,2006_15_DAL_ATL,ATL,DAL,179.0
RS003,2010,6,2010_06_ATL_PHI,ATL,PHI,107.0
RS003,2022,12,2022_12_ATL_WAS,ATL,WAS,163.0
RS003,2012,4,2012_04_NE_BUF,BUF,NE,175.0
RS003,2013,10,2013_10_BUF_PIT,BUF,PIT,129.0
RS003,2009,12,2009_12_CAR_NYJ,CAR,NYJ,153.0
RS003,2022,17,2022_17_CAR_TB,CAR,TB,164.0
RS003,2008,10,2008_10_TEN_CHI,CHI,TEN,119.0
RS003,2023,15,2023_15_CHI_CLE,CHI,CLE,124.0
RS003,2015,16,2015_16_CIN_DEN,CIN,DEN,166.0
RS003,2010,10,2010_10_NYJ_CLE,CLE,NYJ,166.0
RS003,2020,14,2020_14_BAL_CLE,CLE,BAL,156.0
RS003,2022,14,2022_14_CLE_CIN,CLE,CIN,181.0
RS003,2006,12,2006_12_DEN_KC,DEN,KC,109.0
RS003,2023,7,2023_07_DET_BAL,DET,BAL,136.0
RS003,2025,6,2025_06_DET_KC,DET,KC,120.0
RS003,2024,14,2024_14_GB_DET,GB,DET,142.0
RS003,2019,9,2019_09_IND_PIT,IND,PIT,107.0
RS003,2019,14,2019_14_IND_TB,IND,TB,149.0
RS003,2024,8,2024_08_IND_HOU,IND,HOU,185.0
RS003,2007,7,2007_07_IND_JAX,JAC,IND,148.0
RS003,2010,6,2010_06_TEN_JAX,JAC,TEN,129.0
RS003,2011,5,2011_05_CIN_JAX,JAC,CIN,123.0
RS003,2012,11,2012_11_CIN_KC,KC,CIN,149.0
RS003,2014,5,2014_05_KC_SF,KC,SF,181.0
RS003,2010,16,2010_16_IND_OAK,LV,IND,112.0
RS003,2011,15,2011_15_DET_OAK,LV,DET,130.0
RS003,2009,17,2009_17_PIT_MIA,MIA,PIT,133.0
RS003,2015,13,2015_13_SEA_MIN,MIN,SEA,131.0
RS003,2024,5,2024_05_MIA_NE,NE,MIA,110.0
RS003,2024,7,2024_07_DEN_NO,NO,DEN,124.0
RS003,2007,10,2007_10_DAL_NYG,NYG,DAL,123.0
RS003,2014,9,2014_09_IND_NYG,NYG,IND,135.0
RS003,2022,13,2022_13_WAS_NYG,NYG,WAS,113.0
RS003,2023,13,2023_13_SF_PHI,PHI,SF,124.0
RS003,2006,5,2006_05_PIT_SD,PIT,LAC,169.0
RS003,2006,4,2006_04_SEA_CHI,SEA,CHI,180.0
RS003,2011,12,2011_12_SF_BAL,SF,BAL,159.0
RS003,2016,5,2016_05_ARI_SF,SF,ARI,169.0
RS003,2023,6,2023_06_DET_TB,TB,DET,136.0
RS003,2013,7,2013_07_SF_TEN,TEN,SF,139.0
RS003,2016,9,2016_09_TEN_SD,TEN,LAC,161.0
RS003,2018,6,2018_06_BAL_TEN,TEN,BAL,124.0
RS003,2018,12,2018_12_TEN_HOU,TEN,HOU,171.0
RS003,2020,10,2020_10_IND_TEN,TEN,IND,105.0
RS003,2006,11,2006_11_WAS_TB,WAS,TB,155.0
RS003,2006,14,2006_14_PHI_WAS,WAS,PHI,112.0
RS003,2006,17,2006_17_NYG_WAS,WAS,NYG,106.0
RS003,2007,12,2007_12_WAS_TB,WAS,TB,171.0
RS003,2012,5,2012_05_ATL_WAS,WAS,ATL,142.0
RS003,2025,11,2025_11_WAS_MIA,WAS,MIA,124.0
