method_id,window,week_lo,week_hi,selected_preholdout,confirmed_holdout,pre_score,train_risk_n,train_risk_win_pct,train_risk_roi,train_safe_roi,validation_risk_n,validation_risk_win_pct,validation_risk_roi,validation_safe_roi,holdout_risk_n,holdout_risk_win_pct,holdout_risk_roi,holdout_safe_roi,holdout_retained_share
RS001,W11_14,11,14,False,False,0.0006351137088423178,17,0.4117647058823529,0.03529411764705886,0.4286956521739131,8,0.625,0.60375,0.12307692307692308,10,0.9,1.241,0.29933333333333334,0.6
RS001,W15_18,15,18,False,False,0.5464642591015543,7,0.5714285714285714,0.3228571428571429,0.24848484848484848,5,0.2,-0.548,0.573125,11,0.5454545454545454,0.35727272727272735,0.9264285714285715,0.56
RS001,W11,11,11,False,False,0.47204800936768154,4,0.0,-1.0,0.4016666666666667,3,0.6666666666666666,0.7233333333333333,0.23666666666666666,5,1.0,1.3900000000000001,0.49750000000000005,0.8
RS001,W10_11,10,11,False,False,-0.4043355288836847,8,0.375,0.008750000000000008,0.3246875,6,0.8333333333333334,1.11,-0.015333333333333346,5,1.0,1.3900000000000001,0.49750000000000005,0.8
RS001,W11_12,11,12,False,False,0.2116073651517239,7,0.14285714285714285,-0.6757142857142858,0.46030303030303027,4,0.75,0.9824999999999999,0.1470588235294118,7,1.0,1.4414285714285715,0.3783333333333334,0.72
RS001,W15_16,15,16,True,True,0.6407588051614089,5,0.4,-0.088,0.3114285714285715,4,0.25,-0.435,0.48058823529411765,8,0.5,0.25125000000000003,0.8758823529411764,0.68
RS002,W4_6,4,6,True,True,1.09917176379768,15,0.4666666666666667,0.104,0.6522222222222223,5,0.2,-0.48200000000000004,0.8221428571428573,11,0.5454545454545454,0.3263636363636364,0.5657692307692307,0.7027027027027027
RS002,W7_10,7,10,False,False,-0.3313777640303291,18,0.6666666666666666,0.6172222222222222,0.4714285714285714,5,0.8,0.772,0.3742857142857143,7,0.8571428571428571,1.1342857142857141,0.3453333333333334,0.8108108108108109
RS002,W11_14,11,14,False,False,0.024145894800291848,12,0.6666666666666666,0.6575,0.4795833333333333,5,0.6,0.37,0.5178571428571429,10,0.5,0.17800000000000002,0.6118518518518519,0.7297297297297297
RS002,W15_18,15,18,False,False,-0.6976715152861057,15,0.6666666666666666,0.6899999999999998,0.45688888888888884,4,1.0,1.45,0.22000000000000006,9,0.6666666666666666,0.5544444444444445,0.4753571428571428,0.7567567567567568
RS002,W16,16,16,False,False,-0.497749894010054,5,0.6,0.48200000000000004,0.5181818181818181,3,1.0,1.5133333333333334,0.28500000000000003,4,0.75,0.8174999999999999,0.45545454545454545,0.8918918918918919
RS002,W4_5,4,5,False,False,0.7594418660081077,11,0.5454545454545454,0.31727272727272726,0.5595918367346939,4,0.25,-0.3525,0.7006666666666668,8,0.375,-0.1325,0.6675862068965516,0.7837837837837838
RS002,W5_6,5,6,True,False,1.4802532451052008,11,0.36363636363636365,-0.2009090909090909,0.6759183673469388,4,0.0,-1.0,0.8733333333333334,4,0.75,0.9125000000000001,0.44393939393939397,0.8918918918918919
