track,feature,op,threshold,price_band,venue,train_n,train_wins,train_losses,train_win_rate,train_loss_rate,train_roi,train_units,train_active_seasons,train_positive_seasons,train_negative_seasons,train_max_negative_streak,validation_n,validation_wins,validation_losses,validation_win_rate,validation_loss_rate,validation_roi,validation_units,validation_active_seasons,validation_positive_seasons,validation_negative_seasons,validation_max_negative_streak,holdout_n,holdout_wins,holdout_losses,holdout_win_rate,holdout_loss_rate,holdout_roi,holdout_units,holdout_active_seasons,holdout_positive_seasons,holdout_negative_seasons,holdout_max_negative_streak,full_n,full_wins,full_losses,full_win_rate,full_loss_rate,full_roi,full_units,full_active_seasons,full_positive_seasons,full_negative_seasons,full_max_negative_streak,score,top_team,top_team_share,top3_team_share,top5_season_share,positive_season_ratio,deployment_status
MODERN,adv_prev_travel_miles,>=,435.8200741975248,DOG35_44,AWAY,99,45,54,0.4545454545454545,0.5454545454545454,0.1401010101010101,13.87,6,4,2,1,39,17,22,0.4358974358974359,0.5641025641025641,0.0982051282051282,3.830000000000001,3,2,1,1,95,48,47,0.5052631578947369,0.4947368421052631,0.2577894736842104,24.489999999999995,5,4,1,1,233,110,123,0.4721030042918455,0.5278969957081545,0.1810729613733905,42.19,14,10,4,2,2.727272774432261,IND,0.06382978723404255,0.1580547112462006,0.3343465045592705,0.7142857142857143,READY
LONG,adv_altitude_change_ft,<=,-593.0,DOG35_44,AWAY,47,29,18,0.6170212765957447,0.3829787234042553,0.5559574468085107,26.130000000000003,8,6,2,1,39,18,21,0.4615384615384615,0.5384615384615384,0.1794871794871795,7.000000000000001,6,4,2,2,42,21,21,0.5,0.5,0.2442857142857142,10.26,5,3,2,2,128,68,60,0.53125,0.46875,0.338984375,43.39,19,13,6,2,1.9754663474335263,TB,0.0859375,0.2421875,0.3515625,0.6842105263157895,READY
MODERN,fatigue_load_index,<=,0.647511416372741,DOG35_44,ANY,53,23,30,0.4339622641509434,0.5660377358490566,0.080377358490566,4.26,6,3,3,3,30,14,16,0.4666666666666667,0.5333333333333333,0.1459999999999999,4.379999999999999,3,3,0,0,56,26,30,0.4642857142857143,0.5357142857142857,0.1698214285714286,9.510000000000002,5,4,1,1,139,63,76,0.4532374100719424,0.5467625899280575,0.1305755395683453,18.15,14,10,4,3,1.550713432178718,CLE,0.06878306878306878,0.20105820105820105,0.35978835978835977,0.7142857142857143,READY
MODERN,adv_prev_abs_tz_shift,>=,1.0,DOG35_44,AWAY,81,35,46,0.4320987654320987,0.5679012345679013,0.0803703703703703,6.509999999999999,6,4,2,1,31,15,16,0.4838709677419355,0.5161290322580645,0.2183870967741935,6.7700000000000005,3,3,0,0,85,39,46,0.4588235294117647,0.5411764705882354,0.1441176470588235,12.25,5,3,2,2,197,89,108,0.4517766497461929,0.5482233502538071,0.1295939086294416,25.53,14,10,4,2,1.754273817291712,IND,0.06181818181818182,0.15272727272727274,0.3490909090909091,0.7142857142857143,READY
LONG,road_games_last5_including_current,<=,1.0,DOG35_49,AWAY,78,36,42,0.4615384615384615,0.5384615384615384,0.1092307692307691,8.519999999999996,8,5,3,1,71,31,40,0.4366197183098591,0.5633802816901409,0.0801408450704225,5.690000000000001,6,3,3,2,77,37,40,0.4805194805194805,0.5194805194805194,0.1383116883116883,10.65,6,5,1,1,226,104,122,0.4601769911504424,0.5398230088495575,0.11,24.86,20,13,7,3,1.45002770652445,BUF,0.05309734513274336,0.14601769911504425,0.33185840707964603,0.65,READY
LONG,adv_prior_road_games_last3,>=,1.0,FAV55_65,AWAY,97,65,32,0.6701030927835051,0.3298969072164949,0.120921373890968,11.729373267423902,8,5,3,1,74,48,26,0.6486486486486487,0.3513513513513513,0.0929001075344228,6.8746079575472905,6,4,2,2,91,62,29,0.6813186813186813,0.3186813186813186,0.1295178879901296,11.7861278071018,6,4,2,1,262,175,87,0.6679389312977099,0.3320610687022901,0.1159927825651641,30.390109032073,20,13,7,2,1.515226836209157,ATL,0.061068702290076333,0.16412213740458015,0.32061068702290074,0.65,READY
LONG,adv_prior_long_trips_last3,>=,1.0,DOG35_44,ANY,101,52,49,0.5148514851485149,0.4851485148514851,0.2888118811881188,29.17,8,6,2,1,79,37,42,0.4683544303797468,0.5316455696202531,0.1764556962025316,13.94,6,4,2,1,108,49,59,0.4537037037037037,0.5462962962962963,0.1279629629629629,13.820000000000002,6,4,2,1,288,138,150,0.4791666666666667,0.5208333333333333,0.1976736111111111,56.93000000000001,20,14,6,1,1.878760506895245,MIA,0.06944444444444445,0.1736111111111111,0.3576388888888889,0.7,READY
LONG,adv_prior_long_trips_last4,>=,1.0,DOG35_49,ANY,161,75,86,0.4658385093167702,0.5341614906832298,0.1226086956521739,19.74,8,6,2,1,133,61,72,0.4586466165413533,0.5413533834586466,0.0813533834586466,10.820000000000004,6,4,2,2,171,80,91,0.4678362573099415,0.5321637426900585,0.1273099415204678,21.770000000000003,6,4,2,1,465,216,249,0.4645161290322581,0.5354838709677419,0.1125376344086021,52.33,20,14,6,2,1.993168054246161,WAS,0.05591397849462366,0.16129032258064516,0.33548387096774196,0.7,READY
LONG,adv_prior_road_miles_last3,>=,394.6069831383721,DOG35_44,AWAY,140,67,73,0.4785714285714286,0.5214285714285714,0.1994285714285714,27.92,8,6,2,1,118,51,67,0.4322033898305085,0.5677966101694916,0.0872033898305084,10.29,6,4,2,1,125,57,68,0.456,0.544,0.1265599999999999,15.819999999999997,6,3,3,3,383,175,208,0.4569190600522193,0.5430809399477807,0.1410704960835509,54.03000000000001,20,13,7,3,1.7465287647979475,IND,0.06005221932114883,0.1566579634464752,0.34464751958224543,0.65,READY
LONG,adv_road_miles4_per_rest_day,>=,0.0,FAV55_65,AWAY,84,58,26,0.6904761904761905,0.3095238095238095,0.1587411145512295,13.334253622303278,8,7,1,1,67,43,24,0.6417910447761194,0.3582089552238806,0.0828122916346647,5.548423539522539,6,5,1,1,71,48,23,0.676056338028169,0.323943661971831,0.1130237199897844,8.024684119274696,6,4,2,1,222,149,73,0.6711711711711712,0.3288288288288288,0.1212043300950473,26.907361281100517,20,16,4,2,1.18960152986239,ATL,0.07657657657657657,0.20270270270270271,0.3108108108108108,0.8,READY
