method_id,track,rank_preholdout,feature,op,threshold,family,pre_score,train_base_roi,validation_base_roi,holdout_base_n,holdout_base_roi,holdout_base_loss_rate,holdout_removed_n,holdout_removed_wins,holdout_removed_losses,holdout_safe_n,holdout_safe_wins,holdout_safe_losses,holdout_safe_roi,holdout_safe_loss_rate,roi_change,loss_rate_change,confirmed,retain_share,loss_win_ratio,deployment_grade
NFL-H006,LONG,2,adv_prior_tz_hours_last2,<=,-1.0,TRAVEL_FATIGUE,0.6512243892665398,0.2568041237113401,0.2967088607594937,76,0.268157894736842,0.4868421052631578,23,8,15,53,31,22,0.440566037735849,0.4150943396226415,0.172408142999007,-0.0717477656405163,True,0.6973684210526315,1.875,True
NFL-H014,LONG,1,adv_prev_abs_tz_shift,>=,1.0,TRAVEL_FATIGUE,0.7107181031359948,0.2479245283018868,0.2663414634146341,40,0.33275,0.4499999999999999,10,3,7,30,19,11,0.5436666666666666,0.3666666666666667,0.2109166666666666,-0.0833333333333332,True,0.75,2.3333333333333335,True
NFL-H017,LONG,2,adv_prior_road_miles_last5,<=,-315.24304298251786,TRAVEL_FATIGUE,0.7638879680394407,0.1702272727272727,0.2308602150537634,102,0.1823529411764706,0.5,31,10,21,71,41,30,0.3677464788732393,0.4225352112676056,0.1853935376967687,-0.0774647887323943,True,0.696078431372549,2.1,True
NFL-H020,LONG,1,adv_road_miles_last4_including_current,<=,-520.69634126048,TRAVEL_FATIGUE,1.0686627211860351,0.3521951219512195,0.47,34,0.2667647058823529,0.5,12,1,11,22,16,6,0.8563636363636363,0.2727272727272727,0.5895989304812834,-0.2272727272727273,True,0.6470588235294118,11.0,True
NFL-H028,LONG,1,adv_abs_tz_shift_hours,>=,0.0,TRAVEL_FATIGUE,0.7131024893433067,0.2408333333333333,0.2629999999999999,43,0.2334883720930232,0.4883720930232558,21,8,13,22,14,8,0.5672727272727274,0.3636363636363636,0.3337843551797042,-0.1247357293868921,True,0.5116279069767442,1.625,True
NFL-H036,LONG,1,adv_prior_road_miles_last5,<=,-449.2804356656068,TRAVEL_FATIGUE,0.6653185703185702,0.5073076923076923,0.2959090909090909,46,0.1728260869565217,0.5,15,4,11,31,19,12,0.4564516129032258,0.3870967741935484,0.2836255259467041,-0.1129032258064516,True,0.6739130434782609,2.75,True
NFL-H036,LONG,2,road_miles4_per_rest_day,>=,265.1873928775149,TRAVEL_FATIGUE,0.6596051408744907,0.5073076923076923,0.2959090909090909,46,0.1728260869565217,0.5,22,9,13,24,14,10,0.3899999999999999,0.4166666666666666,0.2171739130434782,-0.0833333333333333,True,0.5217391304347826,1.4444444444444444,True
NFL-H039,LONG,1,adv_prior_tz_hours_last4,<=,-2.0,TRAVEL_FATIGUE,0.7752076719576719,0.28875,0.35,36,0.2222222222222222,0.5,8,2,6,28,16,12,0.4110714285714286,0.4285714285714286,0.1888492063492064,-0.0714285714285714,True,0.7777777777777778,3.0,True
NFL-H058,LONG,1,adv_tz_hours_last4_including_current,<=,-1.0,TRAVEL_FATIGUE,0.5458994238425727,0.2334939759036144,0.1391869918699187,130,0.1383846153846154,0.5461538461538462,58,22,36,72,37,35,0.2844444444444444,0.4861111111111111,0.146059829059829,-0.060042735042735,True,0.5538461538461539,1.6363636363636365,True
NFL-H062,LONG,2,adv_prior_road_miles_last5,<=,-305.33290256477216,TRAVEL_FATIGUE,0.6094032786921924,0.4078723404255319,0.2413157894736842,86,0.119767441860465,0.5116279069767442,25,9,16,61,33,28,0.2465573770491803,0.4590163934426229,0.1267899351887152,-0.0526115135341213,True,0.7093023255813954,1.7777777777777777,True
NFL-H079,LONG,1,fatigue_load_index,>=,1.6136372871199014,TRAVEL_FATIGUE,0.8757381564891854,0.2238053097345132,0.175625,93,0.1241935483870968,0.5483870967741935,36,13,23,57,29,28,0.2612280701754386,0.4912280701754385,0.1370345217883418,-0.0571590265987549,True,0.6129032258064516,1.7692307692307692,True
NFL-H087,LONG,2,travel_miles,>=,1025.2406957089884,TRAVEL_FATIGUE,0.9484703230562104,0.4026229508196722,0.2723076923076922,42,0.1104761904761904,0.6904761904761905,15,3,12,27,10,17,0.3192592592592593,0.6296296296296297,0.2087830687830688,-0.0608465608465608,True,0.6428571428571429,4.0,True
NFL-H092,MODERN,2,extra_rest_ge8,>=,1.0,TRAVEL_FATIGUE,1.0382524822695036,0.3646808510638298,0.3004,50,0.1276,0.54,13,4,9,37,19,18,0.2670270270270271,0.4864864864864865,0.139427027027027,-0.0535135135135135,True,0.74,2.25,True
