method_id,track,band,venue,concept,conditions,lo,hi,n,wins,losses,win_pct,roi,units,train_n,train_win_pct,train_roi,validation_n,validation_win_pct,validation_roi,holdout_n,holdout_win_pct,holdout_roi,positive_season_ratio,positive_seasons,active_seasons,max_season_share,top_team,top_team_share,top3_team_share
US001,MODERN,PK_55,AWAY,COACH_TRANSITION,"[['coachq_oc_quality_delta_vs_departed', '>=', -0.04843750000000002], ['recent_edge_def_allowed_off_epa_per_play', '<=', 0.0331033173168197]]",0.45,0.55,92,55,37,0.5978260869565217,0.20985480448058966,19.306642012214247,36,0.5555555555555556,0.09782564829824125,13,0.6923076923076923,0.4023857903103187,19,0.7368421052631579,0.5160663286710369,0.7222222222222222,13,18,0.10869565217391304,ATL,0.07608695652173914,0.2173913043478261
US002,MODERN,DOG20_34,AWAY,COACH_TRANSITION,"[['adv_staff_quality_mean', '>=', -0.03400997150997165], ['rank_edge_point_margin', '>=', -4.0]]",0.2,0.35,126,48,78,0.38095238095238093,0.26722222222222225,33.67,53,0.4339622641509434,0.4290566037735849,14,0.35714285714285715,0.18214285714285713,25,0.44,0.51,0.7368421052631579,14,19,0.10317460317460317,BAL,0.09523809523809523,0.21428571428571427
US003,LONG,DOG35_44,AWAY,MARKET,"[['base_vs_open_prob_move', '<=', 0.0012466327867221988], ['rank_edge_sack_or_hit_rate', '>=', 11.0]]",0.35,0.45,107,59,48,0.5514018691588785,0.37887850467289713,40.53999999999999,55,0.5818181818181818,0.45290909090909093,26,0.5,0.2469230769230769,26,0.5384615384615384,0.3542307692307692,0.7,14,20,0.1308411214953271,MIA,0.06542056074766354,0.17757009345794392
US004,LONG,DOG35_44,AWAY,MARKET,"[['base_vs_open_prob_move', '<=', 0.0012466327867221988], ['recent_edge_sack_or_hit_rate', '>=', 0.00288736374754465]]",0.35,0.45,238,123,115,0.5168067226890757,0.2936134453781513,69.88000000000001,116,0.5344827586206896,0.33284482758620687,64,0.484375,0.21984374999999998,58,0.5172413793103449,0.296551724137931,0.8,16,20,0.09663865546218488,NO,0.0546218487394958,0.15546218487394958
US005,LONG,DOG35_49,ANY,COACH_TRANSITION,"[['coachq_staff_downgrade_count', '<=', 0.0], ['recent_edge_sack_rate_allowed', '>=', 0.025842498759532852]]",0.35,0.5,223,115,108,0.515695067264574,0.2172645739910314,48.45,115,0.4608695652173913,0.10765217391304346,43,0.6046511627906976,0.3925581395348837,65,0.5538461538461539,0.2952307692307692,0.8,16,20,0.15695067264573992,ARI,0.06726457399103139,0.18834080717488788
US006,LONG,DOG35_44,HOME,MARKET,"[['base_vs_open_prob_move', '<=', 0.005367326400536665], ['recent_edge_off_epa_per_play', '<=', -0.20080270924992735]]",0.35,0.45,90,45,45,0.5,0.2636666666666667,23.730000000000004,40,0.425,0.09025,26,0.5769230769230769,0.4584615384615385,24,0.5416666666666666,0.3416666666666666,0.7,14,20,0.08888888888888889,LV,0.1,0.26666666666666666
US007,MODERN,FAV65_75,AWAY,MARKET,"[['base_vs_open_prob_move', '<=', 0.03023218463362254], ['rank_edge_fg_accuracy', '<=', 10.5]]",0.65,0.75,242,190,52,0.7851239669421488,0.12930707336245037,31.292311753712987,72,0.7916666666666666,0.14319232121642203,28,0.8214285714285714,0.1621431401187896,52,0.8076923076923077,0.17056870666920887,0.85,17,20,0.08677685950413223,NO,0.07851239669421488,0.19834710743801653
US008,LONG,DOG35_49,ANY,COACH_TRANSITION,"[['coachq_staff_downgrade_count', '<=', 0.0], ['rank_edge_def_allowed_off_epa_per_play', '<=', -10.5]]",0.35,0.5,276,140,136,0.5072463768115942,0.2138768115942029,59.03,107,0.5046728971962616,0.2218691588785047,65,0.5076923076923077,0.20384615384615384,104,0.5096153846153846,0.2119230769230769,0.8,16,20,0.10144927536231885,DET,0.06521739130434782,0.1847826086956522
US009,LONG,DOG35_49,ANY,COACH_TRANSITION,"[['coachq_dc_quality_delta_vs_departed', '>=', -0.015625], ['recent_edge_punt_return_average', '>=', 0.0277777777777776]]",0.35,0.5,277,137,140,0.49458483754512633,0.17537906137184114,48.58,59,0.5084745762711864,0.21542372881355934,122,0.48360655737704916,0.14991803278688529,96,0.5,0.183125,0.8333333333333334,15,18,0.11191335740072202,HOU,0.07942238267148015,0.20938628158844763
US010,MODERN,FAV55_65,ANY,COACH_TRANSITION,"[['adv_staff_quality_mean', '>=', 0.010906107781107899], ['rank_edge_punt_return_average', '>=', 10.0]]",0.55,0.65,154,104,50,0.6753246753246753,0.11251927684648583,17.327968634358818,52,0.6730769230769231,0.1057506269606634,26,0.6923076923076923,0.14171408408763214,44,0.7045454545454546,0.16895223882848845,0.7368421052631579,14,19,0.09090909090909091,BAL,0.07792207792207792,0.20779220779220778
US011,MODERN,DOG35_49,AWAY,MARKET,"[['base_vs_open_prob_move', '<=', 0.0], ['rank_edge_def_allowed_success_rate', '<=', -1.0]]",0.35,0.5,332,157,175,0.47289156626506024,0.1482831325301205,49.230000000000004,93,0.4838709677419355,0.15397849462365593,42,0.4523809523809524,0.08642857142857141,95,0.4631578947368421,0.11042105263157895,0.75,15,20,0.08132530120481928,IND,0.060240963855421686,0.1566265060240964
