method_id,week,n,wins,losses,win_pct,roi,units
US001,4,7,5,2,0.7142857142857143,0.4963684913217624,3.474579439252337
US001,5,6,5,1,0.8333333333333334,0.6380985112114502,3.828591067268701
US001,6,7,6,1,0.8571428571428571,0.7081288459978066,4.956901921984646
US001,7,8,4,4,0.5,-0.046447966670278784,-0.3715837333622303
US001,8,4,3,1,0.75,0.5675,2.27
US001,9,6,5,1,0.8333333333333334,0.6572410586213963,3.9434463517283778
US001,10,10,5,5,0.5,0.04045794392523368,0.40457943925233675
US001,11,6,1,5,0.16666666666666666,-0.6775700934579438,-4.065420560747663
US001,12,7,4,3,0.5714285714285714,0.13456498388829213,0.941954887218045
US001,13,6,3,3,0.5,0.05000000000000001,0.30000000000000004
US001,14,8,3,5,0.375,-0.2519741100323624,-2.0157928802588994
US001,15,4,2,2,0.5,-0.009404761904761916,-0.03761904761904766
US001,16,9,6,3,0.6666666666666666,0.371624908346299,3.344624175116691
US001,17,3,2,1,0.6666666666666666,0.37746031746031744,1.1323809523809523
US001,18,1,1,0,1.0,1.2,1.2
US002,4,6,2,4,0.3333333333333333,0.23500000000000001,1.4100000000000001
US002,5,9,5,4,0.5555555555555556,0.7955555555555556,7.16
US002,6,6,3,3,0.5,0.9733333333333333,5.84
US002,7,12,3,9,0.25,-0.2625,-3.1500000000000004
US002,8,7,4,3,0.5714285714285714,0.8157142857142858,5.710000000000001
US002,9,6,3,3,0.5,0.5616666666666665,3.369999999999999
US002,10,3,2,1,0.6666666666666666,1.0766666666666667,3.23
US002,11,6,1,5,0.16666666666666666,-0.49833333333333335,-2.99
US002,12,7,3,4,0.42857142857142855,0.6385714285714287,4.470000000000001
US002,13,9,1,8,0.1111111111111111,-0.5855555555555555,-5.27
US002,14,8,1,7,0.125,-0.63875,-5.11
US002,15,15,8,7,0.5333333333333333,0.6913333333333332,10.37
US002,16,12,9,3,0.75,1.545,18.54
US002,17,17,3,14,0.17647058823529413,-0.40647058823529414,-6.91
US002,18,3,0,3,0.0,-1.0,-3.0
US003,4,6,4,2,0.6666666666666666,0.765,4.59
US003,5,3,2,1,0.6666666666666666,0.5,1.5
US003,6,11,7,4,0.6363636363636364,0.6109090909090908,6.719999999999999
US003,7,10,3,7,0.3,-0.23500000000000001,-2.35
US003,8,6,3,3,0.5,0.21333333333333335,1.28
US003,9,10,6,4,0.6,0.514,5.140000000000001
US003,10,8,7,1,0.875,1.25,10.0
US003,11,9,3,6,0.3333333333333333,-0.21888888888888888,-1.97
US003,12,8,7,1,0.875,1.1487500000000002,9.190000000000001
US003,13,6,2,4,0.3333333333333333,-0.16,-0.96
US003,14,10,4,6,0.4,-0.027000000000000003,-0.27
US003,15,6,4,2,0.6666666666666666,0.6583333333333333,3.95
US003,16,8,6,2,0.75,0.91,7.28
US003,17,6,1,5,0.16666666666666666,-0.5933333333333334,-3.56
US003,18,0,0,0,,,0.0
US004,4,11,6,5,0.5454545454545454,0.4436363636363636,4.88
US004,5,11,7,4,0.6363636363636364,0.5272727272727272,5.8
US004,6,17,9,8,0.5294117647058824,0.34117647058823536,5.800000000000001
US004,7,19,6,13,0.3157894736842105,-0.19578947368421054,-3.72
US004,8,15,8,7,0.5333333333333333,0.28800000000000003,4.32
US004,9,14,9,5,0.6428571428571429,0.5778571428571428,8.09
US004,10,18,13,5,0.7222222222222222,0.8733333333333334,15.72
US004,11,21,7,14,0.3333333333333333,-0.1780952380952381,-3.74
US004,12,15,8,7,0.5333333333333333,0.32866666666666666,4.93
US004,13,17,8,9,0.47058823529411764,0.15470588235294117,2.63
US004,14,22,10,12,0.45454545454545453,0.1304545454545454,2.869999999999999
US004,15,19,13,6,0.6842105263157895,0.7189473684210527,13.66
US004,16,23,12,11,0.5217391304347826,0.31999999999999995,7.359999999999999
US004,17,14,6,8,0.42857142857142855,0.04857142857142855,0.6799999999999997
US004,18,2,1,1,0.5,0.30000000000000004,0.6000000000000001
US005,4,14,7,7,0.5,0.18714285714285714,2.62
US005,5,12,4,8,0.3333333333333333,-0.23500000000000001,-2.8200000000000003
