method_id,concept,base_record,base_win_pct,base_roi,base_holdout_roi,final_record,final_win_pct,final_roi,final_holdout_roi,positive_season_ratio,veto_count,vetoes,stack_status,final_odds,price_decision,max_jaccard_overlap,max_overlap_method,status,reason
US001,COACH_TRANSITION,55-37,0.5978260869565217,0.20985480448058966,0.5160663286710369,55-37,0.5978260869565217,0.20985480448058966,0.5160663286710369,0.7222222222222222,0,,STACK_REJECTED_USE_BASE,-122 to +108,TIGHTEN_CONFIRMED,0.05154639175257732,NFL-H017,SHADOW_READY,
US002,COACH_TRANSITION,48-78,0.38095238095238093,0.26722222222222225,0.51,48-78,0.38095238095238093,0.26722222222222225,0.51,0.7368421052631579,0,,STACK_REJECTED_USE_BASE,+186 to +400,REVERT_TO_ORIGINAL_AFTER_HOLDOUT_REJECT,0.17277486910994763,CO048,SHADOW_READY,
US004,MARKET,123-115,0.5168067226890757,0.2936134453781513,0.296551724137931,85-58,0.5944055944055944,0.4897902097902097,0.36939393939393944,0.8947368421052632,2,FEATURE:rank_edge_passing_cpoe <= -9.0 | FEATURE:recent_edge_giveaway_rate <= -0.016206011594845,STACK_ACCEPTED,+133 to +178,TIGHTEN_CONFIRMED,0.32752613240418116,NFL-H003,SHADOW_READY,
US006,MARKET,45-45,0.5,0.2636666666666667,0.3416666666666666,45-45,0.5,0.2636666666666667,0.3416666666666666,0.7,0,,STACK_REJECTED_USE_BASE,+122 to +186,REVERT_TO_ORIGINAL_AFTER_HOLDOUT_REJECT,0.09340659340659341,CO026,SHADOW_READY,
US009,COACH_TRANSITION,137-140,0.49458483754512633,0.17537906137184114,0.183125,93-73,0.5602409638554217,0.3319879518072289,0.3365454545454546,0.8333333333333334,1,FEATURE:rank_edge_punt_return_average <= 3.299999999999997,STACK_ACCEPTED,-100 to +186,REVERT_TO_ORIGINAL_AFTER_HOLDOUT_REJECT,0.15126050420168066,NFL-H033,SHADOW_READY,
US007,MARKET,190-52,0.7851239669421488,0.12930707336245037,0.17056870666920887,127-25,0.8355263157894737,0.2046757754586445,0.30855274266582455,0.8,1,FEATURE:recent_edge_def_allowed_explosive_rate <= 0.0023370835186801364,STACK_ACCEPTED,-300 to -213,TIGHTEN_CONFIRMED,0.1909722222222222,CO016,SHADOW_READY,
US005,COACH_TRANSITION,115-108,0.515695067264574,0.2172645739910314,0.2952307692307692,115-108,0.515695067264574,0.2172645739910314,0.2952307692307692,0.8,0,,STACK_REJECTED_USE_BASE,+127 to +186,TIGHTEN_CONFIRMED,0.1409921671018277,NFL-H017,SHADOW_READY,
US008,COACH_TRANSITION,140-136,0.5072463768115942,0.2138768115942029,0.2119230769230769,109-78,0.5828877005347594,0.39999999999999997,0.23661971830985917,0.75,1,TIMING:W11_14 IN 11-14,STACK_ACCEPTED,+117 to +170,TIGHTEN_CONFIRMED,0.12012012012012012,NFL-H036,SHADOW_READY,
US011,MARKET,157-175,0.47289156626506024,0.1482831325301205,0.11042105263157895,120-102,0.5405405405405406,0.3184234234234234,0.19734375,0.8,1,FEATURE:adv_prior_road_miles_last4 <= -132.39674298637522,STACK_ACCEPTED,-100 to +186,KEEP_ORIGINAL,0.1843817787418655,NFL-H017,SHADOW_READY,
US010,COACH_TRANSITION,104-50,0.6753246753246753,0.11251927684648583,0.16895223882848845,104-50,0.6753246753246753,0.11251927684648583,0.16895223882848845,0.7368421052631579,0,,STACK_REJECTED_USE_BASE,-186 to -122,KEEP_ORIGINAL,0.029045643153526972,CO018,SHADOW_READY,
US003,MARKET,59-48,0.5514018691588785,0.37887850467289713,0.3542307692307692,39-22,0.639344262295082,0.5968852459016393,0.5376923076923077,0.7777777777777778,1,FEATURE:adv_prev_travel_miles <= 0.0,STACK_ACCEPTED,+138 to +178,TIGHTEN_CONFIRMED,0.3812154696132597,NFL-H003,WATCH,SAMPLE
