method_id,season,week,game_id,team,opponent,moneyline
US001,2009,10,2009_10_ATL_CAR,ATL,CAR,-105.0
US001,2010,6,2010_06_ATL_PHI,ATL,PHI,107.0
US001,2011,13,2011_13_ATL_HOU,ATL,HOU,-119.0
US001,2013,11,2013_11_ATL_TB,ATL,TB,115.0
US001,2016,10,2016_10_ATL_PHI,ATL,PHI,111.0
US001,2009,7,2009_07_CHI_CIN,CHI,CIN,-121.0
US001,2020,11,2020_11_GB_IND,GB,IND,109.0
US001,2025,16,2025_16_GB_CHI,GB,CHI,-102.0
US001,2010,10,2010_10_HOU_JAX,HOU,JAX,101.0
US001,2010,16,2010_16_HOU_DEN,HOU,DEN,-121.0
US001,2015,14,2015_14_IND_JAX,IND,JAX,102.0
US001,2015,5,2015_05_JAX_TB,JAX,TB,104.0
US001,2020,4,2020_04_JAX_CIN,JAX,CIN,101.0
US001,2021,12,2021_12_LA_GB,LA,GB,-120.0
US001,2025,16,2025_16_LA_SEA,LA,SEA,102.0
US001,2011,9,2011_09_STL_ARI,LA,ARI,106.0
US001,2011,7,2011_07_SD_NYJ,LAC,NYJ,-105.0
US001,2016,14,2016_14_SD_CAR,LAC,CAR,102.0
US001,2010,10,2010_10_MIN_CHI,MIN,CHI,100.0
US001,2016,12,2016_12_MIN_DET,MIN,DET,108.0
US001,2013,15,2013_15_NE_MIA,NE,MIA,121.0
US001,2020,15,2020_15_NE_MIA,NE,MIA,-120.0
US001,2014,7,2014_07_NO_DET,NO,DET,108.0
US001,2016,14,2016_14_NO_TB,NO,TB,116.0
US001,2017,14,2017_14_NO_ATL,NO,ATL,121.0
US001,2012,4,2012_04_NYG_PHI,NYG,PHI,106.0
US001,2011,17,2011_17_NYJ_MIA,NYJ,MIA,109.0
US001,2008,12,2008_12_PHI_BAL,PHI,BAL,119.0
US001,2016,13,2016_13_PHI_CIN,PHI,CIN,107.0
US001,2010,8,2010_08_PIT_NO,PIT,NO,106.0
US001,2023,11,2023_11_PIT_CLE,PIT,CLE,120.0
US001,2013,14,2013_14_SEA_SF,SEA,SF,118.0
US001,2016,7,2016_07_SEA_ARI,SEA,ARI,121.0
US001,2023,11,2023_11_SEA_LA,SEA,LA,114.0
US001,2018,11,2018_11_TEN_IND,TEN,IND,117.0
US001,2013,10,2013_10_WAS_MIN,WAS,MIN,-108.0
US001,2016,13,2016_13_WAS_ARI,WAS,ARI,120.0
US002,2008,8,2008_08_ARI_CAR,ARI,CAR,199.0
US002,2010,17,2010_17_ARI_SF,ARI,SF,205.0
US002,2012,7,2012_07_ARI_MIN,ARI,MIN,256.0
US002,2014,5,2014_05_ARI_DEN,ARI,DEN,305.0
US002,2014,12,2014_12_ARI_SEA,ARI,SEA,314.0
US002,2014,17,2014_17_ARI_SF,ARI,SF,220.0
US002,2007,7,2007_07_ATL_NO,ATL,NO,300.0
US002,2009,11,2009_11_ATL_NYG,ATL,NYG,300.0
US002,2008,6,2008_06_BAL_IND,BAL,IND,195.0
US002,2008,11,2008_11_BAL_NYG,BAL,NYG,245.0
US002,2009,13,2009_13_BAL_GB,BAL,GB,186.0
US002,2012,7,2012_07_BAL_HOU,BAL,HOU,227.0
US002,2012,17,2012_17_BAL_CIN,BAL,CIN,216.0
US002,2016,16,2016_16_BAL_PIT,BAL,PIT,222.0
US002,2017,14,2017_14_BAL_PIT,BAL,PIT,217.0
US002,2018,14,2018_14_BAL_KC,BAL,KC,239.0
US002,2017,11,2017_11_BUF_LAC,BUF,LAC,264.0
US002,2010,13,2010_13_CAR_SEA,CAR,SEA,201.0
US002,2017,17,2017_17_CAR_ATL,CAR,ATL,211.0
US002,2008,13,2008_13_CHI_MIN,CHI,MIN,209.0
US002,2019,9,2019_09_CHI_PHI,CHI,PHI,199.0
US002,2019,15,2019_15_CHI_GB,CHI,GB,192.0
US002,2020,7,2020_07_CHI_LA,CHI,LA,251.0
US002,2020,9,2020_09_CHI_TEN,CHI,TEN,243.0
US002,2008,8,2008_08_CIN_HOU,CIN,HOU,349.0
US002,2017,10,2017_10_CIN_TEN,CIN,TEN,197.0
US002,2016,4,2016_04_CLE_WAS,CLE,WAS,297.0
US002,2023,18,2023_18_CLE_CIN,CLE,CIN,285.0
US002,2022,6,2022_06_DAL_PHI,DAL,PHI,252.0
US002,2015,15,2015_15_DEN_PIT,DEN,PIT,301.0
US002,2021,17,2021_17_DEN_LAC,DEN,LAC,285.0
US002,2017,6,2017_06_DET_NO,DET,NO,205.0
US002,2025,15,2025_15_DET_LA,DET,LA,200.0
US002,2013,13,2013_13_GB_DET,GB,DET,235.0
US002,2017,17,2017_17_GB_DET,GB,DET,277.0
US002,2009,5,2009_05_HOU_ARI,HOU,ARI,219.0
US002,2012,14,2012_14_HOU_NE,HOU,NE,207.0
US002,2017,13,2017_13_HOU_TEN,HOU,TEN,252.0
US002,2017,17,2017_17_HOU_IND,HOU,IND,201.0
US002,2022,7,2022_07_HOU_LV,HOU,LV,278.0
US002,2009,17,2009_17_IND_BUF,IND,BUF,310.0
US002,2007,17,2007_17_JAX_HOU,JAX,HOU,286.0
US002,2012,7,2012_07_JAX_OAK,JAX,LV,239.0
US002,2012,13,2012_13_JAX_BUF,JAX,BUF,239.0
US002,2007,14,2007_14_KC_DEN,KC,DEN,320.0
US002,2007,16,2007_16_KC_DET,KC,DET,240.0
US002,2007,17,2007_17_KC_NYJ,KC,NYJ,190.0
US002,2012,15,2012_15_KC_OAK,KC,LV,188.0
US002,2024,18,2024_18_KC_DEN,KC,DEN,370.0
US002,2020,12,2020_12_LAC_BUF,LAC,BUF,189.0
US002,2024,14,2024_14_LAC_KC,LAC,KC,195.0
US002,2009,4,2009_04_SD_PIT,LAC,PIT,214.0
US002,2007,14,2007_14_MIA_BUF,MIA,BUF,260.0
US002,2009,15,2009_15_MIA_TEN,MIA,TEN,204.0
US002,2018,17,2018_17_MIA_BUF,MIA,BUF,222.0
US002,2008,9,2008_09_NE_IND,NE,IND,264.0
US002,2009,17,2009_17_NE_HOU,NE,HOU,253.0
US002,2020,4,2020_04_NE_KC,NE,KC,257.0
US002,2024,12,2024_12_NE_MIA,NE,MIA,285.0
US002,2013,13,2013_13_NO_SEA,NO,SEA,244.0
US002,2008,17,2008_17_NYG_MIN,NYG,MIN,280.0
US002,2015,16,2015_16_NYG_MIN,NYG,MIN,269.0
US002,2007,7,2007_07_NYJ_CIN,NYJ,CIN,230.0
US002,2024,14,2024_14_NYJ_MIA,NYJ,MIA,240.0
US002,2016,8,2016_08_PHI_DAL,PHI,DAL,201.0
US002,2016,11,2016_11_PHI_SEA,PHI,SEA,235.0
US002,2015,7,2015_07_PIT_KC,PIT,KC,186.0
US002,2020,17,2020_17_PIT_CLE,PIT,CLE,376.0
US002,2021,4,2021_04_PIT_GB,PIT,GB,239.0
US002,2021,11,2021_11_PIT_LAC,PIT,LAC,220.0
US002,2024,15,2024_15_PIT_PHI,PIT,PHI,215.0
