method_id,existing_method,intersection,jaccard
US001,NFL-H005,0,0.0
US001,NFL-H010,2,0.011363636363636364
US001,NFL-H002,10,0.045662100456621
US001,NFL-H003,0,0.0
US001,NFL-H008,0,0.0
US001,NFL-H027,8,0.043478260869565216
US001,NFL-H028,6,0.03208556149732621
US001,NFL-H029,8,0.03319502074688797
US001,NFL-H017,15,0.05154639175257732
US001,NFL-H036,8,0.04419889502762431
US001,NFL-H033,16,0.04610951008645533
US001,NFL-H035,3,0.014925373134328358
US001,CO001,0,0.0
US001,CO005,0,0.0
US001,CO026,0,0.0
US001,CO009,0,0.0
US001,CO048,0,0.0
US001,CO043,0,0.0
US001,CO061,0,0.0
US001,CO017,0,0.0
US001,CO016,0,0.0
US001,CO018,0,0.0
US002,NFL-H005,0,0.0
US002,NFL-H010,0,0.0
US002,NFL-H002,0,0.0
US002,NFL-H003,0,0.0
US002,NFL-H008,0,0.0
US002,NFL-H027,0,0.0
US002,NFL-H028,0,0.0
US002,NFL-H029,0,0.0
US002,NFL-H017,0,0.0
US002,NFL-H036,0,0.0
US002,NFL-H033,0,0.0
US002,NFL-H035,0,0.0
US002,CO001,9,0.05172413793103448
US002,CO005,0,0.0
US002,CO026,0,0.0
US002,CO009,49,0.15605095541401273
US002,CO048,33,0.17277486910994763
US002,CO043,11,0.06285714285714286
US002,CO061,15,0.08196721311475409
US002,CO017,0,0.0
US002,CO016,0,0.0
US002,CO018,0,0.0
US003,NFL-H005,19,0.12837837837837837
US003,NFL-H010,25,0.1488095238095238
US003,NFL-H002,15,0.06550218340611354
US003,NFL-H003,69,0.3812154696132597
US003,NFL-H008,19,0.08482142857142858
US003,NFL-H027,12,0.06153846153846154
US003,NFL-H028,28,0.15555555555555556
US003,NFL-H029,14,0.056
US003,NFL-H017,34,0.11846689895470383
US003,NFL-H036,21,0.11475409836065574
US003,NFL-H033,32,0.09248554913294797
US003,NFL-H035,17,0.08415841584158416
US003,CO001,0,0.0
US003,CO005,5,0.022321428571428572
US003,CO026,0,0.0
US003,CO009,0,0.0
US003,CO048,0,0.0
US003,CO043,0,0.0
US003,CO061,0,0.0
US003,CO017,6,0.028037383177570093
US003,CO016,0,0.0
US003,CO018,0,0.0
US004,NFL-H005,27,0.0996309963099631
US004,NFL-H010,38,0.13286713286713286
US004,NFL-H002,31,0.09011627906976744
US004,NFL-H003,94,0.32752613240418116
US004,NFL-H008,40,0.11976047904191617
US004,NFL-H027,26,0.08333333333333333
US004,NFL-H028,40,0.13377926421404682
US004,NFL-H029,33,0.09116022099447514
