method_id,selected_p_lo,selected_p_hi,selected_odds,selected_holdout_n,selected_holdout_roi,base_holdout_roi,holdout_confirmed,decision,final_p_lo,final_p_hi,final_odds
US001,0.48,0.55,-122 to +108,12,0.49960502039580845,0.5160663286710369,True,TIGHTEN_CONFIRMED,0.48,0.55,-122 to +108
US002,0.25,0.33,+203 to +300,17,0.36823529411764705,0.51,False,REVERT_TO_ORIGINAL_AFTER_HOLDOUT_REJECT,0.2,0.35,+186 to +400
US003,0.36,0.42,+138 to +178,14,0.4642857142857143,0.3542307692307692,True,TIGHTEN_CONFIRMED,0.36,0.42,+138 to +178
US004,0.36,0.43,+133 to +178,33,0.3884848484848485,0.296551724137931,True,TIGHTEN_CONFIRMED,0.36,0.43,+133 to +178
US005,0.35,0.44,+127 to +186,34,0.5370588235294117,0.2952307692307692,True,TIGHTEN_CONFIRMED,0.35,0.44,+127 to +186
US006,0.35,0.4,+150 to +186,13,0.2276923076923077,0.3416666666666666,False,REVERT_TO_ORIGINAL_AFTER_HOLDOUT_REJECT,0.35,0.45,+122 to +186
US007,0.68,0.75,-300 to -213,30,0.2725667884079244,0.17056870666920887,True,TIGHTEN_CONFIRMED,0.68,0.75,-300 to -213
US008,0.37,0.46,+117 to +170,70,0.2544285714285714,0.2119230769230769,True,TIGHTEN_CONFIRMED,0.37,0.46,+117 to +170
US009,0.37,0.45,+122 to +170,60,0.015000000000000003,0.183125,False,REVERT_TO_ORIGINAL_AFTER_HOLDOUT_REJECT,0.35,0.5,-100 to +186
US010,0.55,0.65,-186 to -122,44,0.16895223882848845,0.16895223882848845,True,KEEP_ORIGINAL,0.55,0.65,-186 to -122
US011,0.35,0.5,-100 to +186,95,0.11042105263157895,0.11042105263157895,True,KEEP_ORIGINAL,0.35,0.5,-100 to +186
