method_id,base_n,base_win_pct,base_roi,holdout_n,holdout_win_pct,holdout_roi,status,veto_family,veto_feature,veto_op,veto_threshold,descriptive_weak_windows,timing_veto_applied
CO001,93,0.3655913978494624,0.3691397849462365,28,0.3928571428571428,0.4542857142857143,CO_CORE_READY_WITH_VETO,CONTEXT,travel_miles,>=,953.1368323547238,W7_10,False
CO005,158,0.5063291139240507,0.2689873417721519,36,0.5833333333333334,0.4772222222222222,CO_CORE_READY_WITH_VETO,COACH,opp_coachq_oc_prior_quality,<=,0.524609375,W15_18,False
CO026,109,0.5596330275229358,0.405045871559633,34,0.5294117647058824,0.3241176470588236,CO_CORE_READY_UNFILTERED,,,,,,False
CO009,265,0.3471698113207547,0.2880377358490565,90,0.3666666666666666,0.3526666666666667,CO_CORE_READY_WITH_VETO,COACH,opp_coachq_dc_quality_delta_vs_departed,>=,0.1135416666666666,W7_10,False
CO048,98,0.4387755102040816,0.5313265306122449,28,0.3571428571428571,0.2028571428571428,CO_CORE_READY_UNFILTERED,,,,,W15_18,False
CO043,94,0.3723404255319149,0.3567021276595744,26,0.3461538461538461,0.285,CO_CORE_READY_WITH_VETO,COACH,opp_coachq_hc_prior_quality,<=,0.5021367521367521,,False
CO061,97,0.3711340206185567,0.3075257731958762,26,0.3461538461538461,0.2473076923076923,CO_CORE_READY_WITH_VETO,COACH,coachq_prev_hc_recent_quality,>=,0.7615384615384617,W4_6,False
CO017,146,0.4726027397260274,0.1830821917808219,51,0.4901960784313725,0.2125490196078431,CO_CORE_READY_WITH_VETO,CONTEXT,rank_edge_passing_cpoe,<=,-10.2,W15_18,False
CO016,101,0.8118811881188119,0.1644404188717853,25,0.8,0.1552791547998185,CO_CORE_READY_UNFILTERED,,,,,,False
CO018,132,0.696969696969697,0.1623253848266632,47,0.7021276595744681,0.1598812273471737,CO_CORE_READY_WITH_VETO,CONTEXT,recent_edge_off_epa,>=,8.838128863381744,,False
