season,team,head_coach_espn,offensive_coordinator,defensive_coordinator,staff_source,staff_page,pdf_page
2021,ARI,Kliff Kingsbury,Kliff Kingsbury,Vance Joseph,espn_mike_clay_projection_guide_layout,https://g.espncdn.com/s/ffldraftkit/21/NFLDK2021_CS_ClayProjections2021.pdf,65
2021,ATL,Arthur Smith,Dave Ragone,Dean Pees,espn_mike_clay_projection_guide_layout,https://g.espncdn.com/s/ffldraftkit/21/NFLDK2021_CS_ClayProjections2021.pdf,65
2021,BAL,John Harbaugh,Greg Roman,Don Martindale,espn_mike_clay_projection_guide_layout,https://g.espncdn.com/s/ffldraftkit/21/NFLDK2021_CS_ClayProjections2021.pdf,65
2021,BUF,Sean McDermott,Brian Daboll,Leslie Frazier,espn_mike_clay_projection_guide_layout,https://g.espncdn.com/s/ffldraftkit/21/NFLDK2021_CS_ClayProjections2021.pdf,65
2021,CAR,Matt Rhule,Joe Brady,Phil Snow,espn_mike_clay_projection_guide_layout,https://g.espncdn.com/s/ffldraftkit/21/NFLDK2021_CS_ClayProjections2021.pdf,65
2021,CHI,Matt Nagy,Bill Lazor,Sean Desai,espn_mike_clay_projection_guide_layout,https://g.espncdn.com/s/ffldraftkit/21/NFLDK2021_CS_ClayProjections2021.pdf,65
2021,CIN,Zac Taylor,Brian Callahan,Lou Anarumo,espn_mike_clay_projection_guide_layout,https://g.espncdn.com/s/ffldraftkit/21/NFLDK2021_CS_ClayProjections2021.pdf,65
2021,CLE,Kevin Stefanski,Alex Van Pelt,Joe Woods,espn_mike_clay_projection_guide_layout,https://g.espncdn.com/s/ffldraftkit/21/NFLDK2021_CS_ClayProjections2021.pdf,65
2021,DAL,Mike McCarthy,Kellen Moore,Dan Quinn,espn_mike_clay_projection_guide_layout,https://g.espncdn.com/s/ffldraftkit/21/NFLDK2021_CS_ClayProjections2021.pdf,65
2021,DEN,Vic Fangio,Pat Shurmur,Ed Donatell,espn_mike_clay_projection_guide_layout,https://g.espncdn.com/s/ffldraftkit/21/NFLDK2021_CS_ClayProjections2021.pdf,65
2021,DET,Dan Campbell,Anthony Lynn,Aaron Glenn,espn_mike_clay_projection_guide_layout,https://g.espncdn.com/s/ffldraftkit/21/NFLDK2021_CS_ClayProjections2021.pdf,65
