game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,total,overtime,old_game_id,gsis,nfl_detail_id,pfr,pff,espn,ftn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium_id,stadium,week_num
2026_03_ATL_GB,2026,REG,3,2026-09-24,Thursday,20:15,ATL,,GB,,Home,,,,2026092400,,,202609240gnb,30638.0,401872948,7051,4,4,200.0,-245.0,4.5,-105.0,-115.0,42.5,-102.0,-118.0,0,outdoors,grass,,,00-0039917,00-0036264,Michael Penix Jr.,Jordan Love,Raheem Morris,Matt LaFleur,,GNB00,Lambeau Field,3
2026_03_LAC_BUF,2026,REG,3,2026-09-27,Sunday,13:00,LAC,,BUF,,Home,,,,2026092700,,,202609270buf,30639.0,401872953,7052,7,10,275.0,-345.0,7.0,-105.0,-115.0,50.5,-115.0,-105.0,0,outdoors,a_turf,,,00-0036355,00-0034857,Justin Herbert,Josh Allen,Jim Harbaugh,Sean McDermott,,BUF00,Highmark Stadium,3
2026_03_CAR_CLE,2026,REG,3,2026-09-27,Sunday,13:00,CAR,,CLE,,Home,,,,2026092701,,,202609270cle,30640.0,401872949,7053,7,7,-148.0,124.0,-2.5,-118.0,-102.0,42.5,-112.0,-108.0,0,outdoors,grass,,,00-0039150,00-0033537,Bryce Young,Deshaun Watson,Dave Canales,Todd Monken,,CLE00,Huntington Bank Field,3
2026_03_NYJ_DET,2026,REG,3,2026-09-27,Sunday,13:00,NYJ,,DET,,Home,,,,2026092702,,,202609270det,30641.0,401872954,7054,7,10,235.0,-290.0,6.5,-110.0,-110.0,47.5,-108.0,-112.0,0,dome,fieldturf,,,00-0030565,00-0033106,Geno Smith,Jared Goff,Aaron Glenn,Dan Campbell,,DET00,Ford Field,3
2026_03_HOU_IND,2026,REG,3,2026-09-27,Sunday,13:00,HOU,,IND,,Home,,,,2026092703,,,202609270clt,30642.0,401872951,7055,7,7,-125.0,105.0,-1.5,-118.0,-102.0,42.5,-108.0,-112.0,1,,fieldturf,,,00-0039163,00-0035710,C.J. Stroud,Daniel Jones,DeMeco Ryans,Shane Steichen,,IND00,Lucas Oil Stadium,3
2026_03_NE_JAX,2026,REG,3,2026-09-27,Sunday,13:00,NE,,JAX,,Home,,,,2026092704,,,202609270jax,30643.0,401872957,7056,7,7,130.0,-155.0,3.0,-115.0,-105.0,45.5,-105.0,-115.0,0,outdoors,grass,,,00-0039851,00-0036971,Drake Maye,Trevor Lawrence,Mike Vrabel,Liam Coen,,JAX00,EverBank Stadium,3
2026_03_KC_MIA,2026,REG,3,2026-09-27,Sunday,13:00,KC,,MIA,,Home,,,,2026092705,,,202609270mia,30644.0,401872952,7057,7,7,-625.0,455.0,-10.5,-112.0,-108.0,45.5,-105.0,-115.0,0,outdoors,grass,,,00-0033873,00-0038128,Patrick Mahomes,Malik Willis,Andy Reid,Jeff Hafley,,MIA00,Hard Rock Stadium,3
2026_03_TEN_NYG,2026,REG,3,2026-09-27,Sunday,13:00,TEN,,NYG,,Home,,,,2026092706,,,202609270nyg,30645.0,401872956,7058,7,6,110.0,-130.0,2.5,-102.0,-118.0,38.5,-108.0,-112.0,0,outdoors,fieldturf,,,00-0040676,00-0031503,Cam Ward,Jameis Winston,Robert Saleh,John Harbaugh,,NYC01,MetLife Stadium,3
2026_03_CIN_PIT,2026,REG,3,2026-09-27,Sunday,13:00,CIN,,PIT,,Home,,,,2026092707,,,202609270pit,30646.0,401872950,7059,7,7,-185.0,154.0,-3.5,-115.0,-105.0,42.5,-110.0,-110.0,1,outdoors,grass,,,00-0036442,00-0023459,Joe Burrow,Aaron Rodgers,Zac Taylor,Mike McCarthy,,PIT00,Acrisure Stadium,3
2026_03_SEA_WAS,2026,REG,3,2026-09-27,Sunday,13:00,SEA,,WAS,,Home,,,,2026092708,,,202609270was,30647.0,401872955,7060,7,7,-355.0,280.0,-7.5,-105.0,-115.0,40.5,-118.0,-102.0,0,outdoors,grass,,,00-0035704,00-0039910,Drew Lock,Jayden Daniels,Mike Macdonald,Dan Quinn,,WAS00,Northwest Stadium,3
2026_03_ARI_SF,2026,REG,3,2026-09-27,Sunday,16:05,ARI,,SF,,Home,,,,2026092709,,,202609270sfo,30648.0,401872958,7061,7,7,350.0,-455.0,8.5,-112.0,-108.0,47.5,-105.0,-115.0,1,outdoors,grass,,,00-0033119,00-0037834,Jacoby Brissett,Brock Purdy,Jonathan Gannon,Kyle Shanahan,,SFO01,Levi's Stadium,3
2026_03_MIN_TB,2026,REG,3,2026-09-27,Sunday,16:05,MIN,,TB,,Home,,,,2026092710,,,202609270tam,30649.0,401872959,7062,7,7,-122.0,102.0,-1.5,-108.0,-112.0,42.5,-110.0,-110.0,0,outdoors,grass,,,00-0035228,00-0034855,Kyler Murray,Baker Mayfield,Kevin O'Connell,Todd Bowles,,TAM00,Raymond James Stadium,3
2026_03_BAL_DAL,2026,REG,3,2026-09-27,Sunday,16:25,BAL,,DAL,,Neutral,,,,2026092711,,,202609270dal,30650.0,401872960,7063,7,7,-175.0,145.0,-3.5,-105.0,-115.0,52.5,-108.0,-112.0,0,,matrixturf,,,00-0034796,00-0033077,Lamar Jackson,Dak Prescott,Jesse Minter,Brian Schottenheimer,,RIO00,Maracana Stadium,3
2026_03_LV_NO,2026,REG,3,2026-09-27,Sunday,16:25,LV,,NO,,Home,,,,2026092712,,,202609270nor,30651.0,401872961,7064,7,7,154.0,-185.0,3.0,102.0,-122.0,43.5,-110.0,-110.0,0,dome,sportturf,,,00-0029604,00-0040743,Kirk Cousins,Tyler Shough,Klint Kubliak,Kellen Moore,,NOR00,Caesars Superdome,3
2026_03_LA_DEN,2026,REG,3,2026-09-27,Sunday,20:20,LA,,DEN,,Home,,,,2026092713,,,202609270den,30652.0,401872962,7065,6,7,-135.0,114.0,-2.5,-110.0,-110.0,44.5,-105.0,-115.0,0,outdoors,grass,,,00-0026498,00-0039732,Matthew Stafford,Bo Nix,Sean McVay,Sean Payton,,DEN00,Empower Field at Mile High,3
