model,test_year,pmin,edge_min,favorite_only,train_n,train_win,train_roi,test_n,test_wins,test_profit,test_roi,test_win
logit,2016,0.6,0.02,True,620,0.7129032258064516,0.0488874347254184,77,55,522.6429980073054,0.06787571402692279,0.7142857142857143
logit,2017,0.6,0.02,True,714,0.7156862745098039,0.05126547497574812,51,38,518.0490636788285,0.10157824778016245,0.7450980392156863
logit,2018,0.65,0.02,True,667,0.7541229385307346,0.07256859655962003,69,47,-365.2250555805984,-0.05293116747544904,0.6811594202898551
logit,2019,0.6,0.02,False,929,0.7179763186221744,0.048871839509396116,70,45,-287.2712927593006,-0.04103875610847151,0.6428571428571429
logit,2020,0.6,0.02,False,981,0.7104994903160041,0.040032984966426335,73,54,622.5033073806397,0.08527442566858079,0.7397260273972602
logit,2021,0.6,0.02,False,1088,0.7141544117647058,0.04336987114042888,62,36,-983.4322063553733,-0.15861809779925376,0.5806451612903226
logit,2022,0.6,0.02,False,1115,0.7094170403587444,0.041876237968446556,77,55,489.9419856332613,0.06362882930302095,0.7142857142857143
logit,2023,0.6,0.02,False,1251,0.7082334132693845,0.03881666896709353,84,54,-396.4370572392037,-0.047194887766571866,0.6428571428571429
logit,2024,0.6,0.02,True,1280,0.71796875,0.05144606849126078,91,74,1470.0847804348055,0.16154777806975884,0.8131868131868132
logit,2025,0.6,0.02,True,1473,0.7298031228784793,0.0587974353343312,94,58,-1234.067137328312,-0.1312837380136502,0.6170212765957447
hgb,2016,0.6,0.02,False,587,0.948892674616695,0.4071633824631682,49,31,-330.3476834113212,-0.06741789457373902,0.6326530612244898
hgb,2017,0.6,0.02,False,684,0.9444444444444444,0.3947486879427194,60,39,-377.5005658258305,-0.06291676097097175,0.65
hgb,2018,0.6,0.02,False,774,0.91343669250646,0.331990839420496,56,43,388.03959417427825,0.06929278467397826,0.7678571428571429
hgb,2019,0.6,0.02,False,834,0.9244604316546763,0.3583075851856223,49,27,-935.3877689686503,-0.1908954630548266,0.5510204081632653
hgb,2020,0.6,0.02,False,873,0.9175257731958762,0.34848430248579304,79,58,434.38680982398665,0.054985672129618565,0.7341772151898734
hgb,2021,0.6,0.02,False,917,0.916030534351145,0.33306532347919077,72,49,-222.54021867734357,-0.030908363705186608,0.6805555555555556
hgb,2022,0.6,0.02,False,900,0.9044444444444445,0.3111234510808726,64,41,-536.9238163755467,-0.08389434630867917,0.640625
hgb,2023,0.6,0.02,False,973,0.9188078108941419,0.32287937977509285,61,41,-173.61765311328256,-0.028461910346439762,0.6721311475409836
hgb,2024,0.6,0.02,False,954,0.9224318658280922,0.3220776968897326,49,37,200.8376817474698,0.04098728198927955,0.7551020408163265
hgb,2025,0.6,0.02,False,1145,0.9013100436681223,0.30786051586626506,66,41,-949.1494946189877,-0.1438105294877254,0.6212121212121212
