family,rule,n,wins,losses,win_rate,roi,profit,old_n,old_roi,new_n,new_roi,b1,b2,b3,b4,pos_blocks,min_block,avg_line,avg_market
PASS_EPA vs ELITE,week>=10 p>=0.52 ANY favRank<=12 oppRank <=5,110,83,27,0.7545454545454545,0.17990564363064962,1978.9620799371457,52,0.16655811885681568,58,0.19187238997960424,0.1867332676299485,0.13904655234799826,0.1886665747601742,0.19530719200042213,4,0.13904655234799826,-206.47272727272727,0.6306021146570789
SCORING vs ELITE,week>=11 p>=0.52 ANY favRank<=8 oppRank <=8,125,95,30,0.76,0.16653255262984573,2081.6569078730718,62,0.16190689190748578,63,0.17108479016613654,0.11715093029384761,0.20386560592027167,0.2464876615468704,0.11809898865535051,4,0.11715093029384761,-214.544,0.6397675813989777
SCORING vs ELITE,week>=11 p>=0.52 ANY favRank<=8 oppRank <=10,166,127,39,0.7650602409638554,0.16624753308397341,2759.709049193959,83,0.174572160810519,83,0.15792290535742784,0.09539476181405666,0.2518643836403989,0.18419451042476215,0.13969362837193064,4,0.09539476181405666,-219.70481927710844,0.6433087392034187
SCORING vs ELITE,week>=7 p>=0.52 HOME favRank<=10 oppRank <=5,105,79,26,0.7523809523809524,0.14890360461291996,1563.4878484356595,59,0.10538187532754037,46,0.2047249530441678,-0.06474951902625742,0.2698422232028782,0.22831272665123586,0.18658051180796145,3,-0.06474951902625742,-212.45714285714286,0.6415117205446562
SCORING vs ELITE,week>=11 p>=0.52 ANY favRank<=5 oppRank <=10,115,88,27,0.7652173913043478,0.14608969611105024,1680.0315052770777,49,0.1361777106137717,66,0.15344859443478734,0.13955193983861192,0.13236336453351757,0.25383965688883353,0.07947623262654281,4,0.07947623262654281,-235.16521739130434,0.6539799345375814
SCORING vs ELITE,week>=12 p>=0.52 ANY favRank<=8 oppRank <=10,144,108,36,0.75,0.14576707037412076,2099.045813387339,73,0.16869381187280555,71,0.12219450517124766,0.07204676501411997,0.26272877638395914,0.1134079257547682,0.12791599874476914,4,0.07204676501411997,-220.40277777777777,0.6420628583698885
DEF_RUSH_EPA vs WEAK,week>=11 p>=0.60 ANY favRank<=5 oppRank >=18,120,102,18,0.85,0.14468571220634185,1736.2285464761023,60,0.13714333036381113,60,0.15222809404887258,-0.012948391463166519,0.2684735869624166,0.23219423125965225,0.09107751853474694,3,-0.012948391463166519,-370.85,0.724817736435912
PASS_EPA vs ELITE,week>=10 p>=0.52 ANY favRank<=5 oppRank <=8,101,77,24,0.7623762376237624,0.14119777045537824,1426.0974815993202,47,0.05053451530671931,54,0.22010838141809985,0.011847499743960349,0.0984327250510876,0.20516382444750417,0.23398547003365308,4,0.011847499743960349,-236.33663366336634,0.6563721261554494
PASS_EPA vs ELITE,week>=11 p>=0.52 ANY favRank<=5 oppRank <=10,115,88,27,0.7652173913043478,0.14032650935099814,1613.7548575364785,48,0.0940713623134399,67,0.17346452513909957,-0.07977310553288489,0.2411705274141763,0.19905280464721023,0.150069526731684,3,-0.07977310553288489,-239.38260869565218,0.6588232302168484
SCORING vs ELITE,week>=11 p>=0.52 HOME favRank<=8 oppRank <=10,117,89,28,0.7606837606837606,0.14007185204743636,1638.8406689550054,63,0.11071489284030515,54,0.1743216377890895,-0.01491025182166169,0.23241425173158548,0.28802993376770397,0.11259427711498451,3,-0.01491025182166169,-232.77777777777777,0.6548772296751486
SCORING vs ELITE,week>=11 p>=0.55 ANY favRank<=8 oppRank <=10,153,116,37,0.7581699346405228,0.1341385283354671,2052.3194835326467,76,0.11488098399012592,77,0.1531459747022974,0.0594239600186033,0.17333568493308218,0.18021279110152846,0.13490529408542432,4,0.0594239600186033,-228.03267973856208,0.6526587072400348
SCORING vs ELITE,week>=11 p>=0.60 ANY favRank<=8 oppRank <=10,114,90,24,0.7894736842105263,0.13282249121715553,1514.176399875573,61,0.10539153910664481,53,0.16439396440095091,0.04052850999186626,0.18183725199191944,0.17502061728140828,0.1574202234481508,4,0.04052850999186626,-257.3421052631579,0.6807860993805357
OFF_EPA vs ELITE,week>=11 p>=0.52 ANY favRank<=5 oppRank <=10,116,88,28,0.7586206896551724,0.1325954726750697,1538.1074830308085,52,0.12504948632213408,64,0.13872658658682982,0.10881343434217176,0.14128553830209645,0.23073119499739153,0.06716744671194852,4,0.06716744671194852,-257.01724137931035,0.6573222936472549
PASS_EPA vs ELITE,week>=12 p>=0.52 ANY favRank<=5 oppRank <=10,101,77,24,0.7623762376237624,0.1320079805751557,1333.2806038090725,43,0.11819373042527728,58,0.14224957982420347,-0.08871530219303102,0.28199671458143805,0.14888758423898243,0.13646809210810565,3,-0.08871530219303102,-244.4851485148515,0.6618921741188337
SCORING vs ELITE,week>=11 p>=0.55 ANY favRank<=5 oppRank <=10,107,82,25,0.7663551401869159,0.13000330097785467,1391.035320463045,46,0.093296857643932,61,0.15768356972146852,0.08477915175637987,0.10258890043035246,0.2783825067498475,0.06802150221467271,4,0.06802150221467271,-243.55140186915887,0.6629122409029123
PASS_EPA vs ELITE,week>=11 p>=0.55 ANY favRank<=5 oppRank <=10,105,81,24,0.7714285714285715,0.12703506883462892,1333.8682227636036,45,0.045771236263935165,60,0.18798294326264925,-0.16743295576871303,0.21633458989005375,0.1730791175463412,0.2010237907644187,3,-0.16743295576871303,-250.62857142857143,0.6708271766972452
DEF_RUSH_EPA vs WEAK,week>=10 p>=0.60 ANY favRank<=5 oppRank >=18,137,115,22,0.8394160583941606,0.1266971647721291,1735.751157378169,67,0.09412670133121667,70,0.15787175120843105,-0.051095054170482344,0.22690087778991297,0.20523244541985322,0.12022607119422367,3,-0.051095054170482344,-369.6058394160584,0.7271997936436126
PASS_EPA vs ELITE,week>=10 p>=0.52 ANY favRank<=5 oppRank <=10,135,102,33,0.7555555555555555,0.1263932019352403,1706.3082261257443,58,0.056605613256149136,77,0.1789604765246856,-0.09282637953989765,0.20603760605219593,0.15406101849185483,0.20082341528521994,3,-0.09282637953989765,-238.17777777777778,0.6581828026820415
OFF_EPA vs ELITE,week>=11 p>=0.55 ANY favRank<=5 oppRank <=10,107,82,25,0.7663551401869159,0.12582549052520234,1346.3327486196652,49,0.08411267184279651,58,0.1610656304465452,0.05147910413523631,0.1154408968420543,0.22973802461668055,0.10904108940856382,4,0.05147910413523631,-268.33644859813086,0.667709340554638
DEF_RUSH_EPA vs WEAK,week>=8 p>=0.60 ANY favRank<=5 oppRank >=22,110,92,18,0.8363636363636363,0.124529624322488,1369.825867547368,52,0.0601443256510843,58,0.1822543748554706,-0.16773056966984976,0.3062492125976931,0.18777655482201036,0.17862551373460164,3,-0.16773056966984976,-371.25454545454545,0.7259737639505233
DEF_PASS_EPA vs ELITE,week>=11 p>=0.52 HOME favRank<=8 oppRank <=10,122,95,27,0.7786885245901639,0.12302833700527739,1500.9457114643842,66,0.17992493600358747,56,0.05597163104298344,0.1564939000420162,0.20804217915747308,0.01851553294603219,0.08207739638328278,4,0.01851553294603219,-305.5163934426229,0.6839730459464807
DEF_RUSH_EPA vs WEAK,week>=12 p>=0.60 ANY favRank<=5 oppRank >=18,108,90,18,0.8333333333333334,0.12210102076567715,1318.6910242693132,51,0.09887198435715543,57,0.14288489544698604,-0.08191923981159258,0.2595752947293758,0.21979483906539737,0.08695039099723238,3,-0.08191923981159258,-369.0462962962963,0.7240790315990346
DEF_RUSH_EPA vs WEAK,week>=10 p>=0.65 ANY favRank<=5 oppRank >=18,107,93,14,0.8691588785046729,0.12158728411137067,1300.9839399916661,58,0.12813793950251803,49,0.11383344711776765,0.06618235498013482,0.1820992550542711,0.27136549484614303,-0.014525999179427061,3,-0.014525999179427061,-423.0373831775701,0.7563103186961618
DEF_RUSH_EPA vs WEAK,week>=11 p>=0.55 ANY favRank<=5 oppRank >=18,148,119,29,0.8040540540540541,0.12137179080946967,1796.302503980151,75,0.04551365611203212,73,0.1993082305671109,-0.0829167219628948,0.1410897514236056,0.2637593515763077,0.14900491660871346,3,-0.0829167219628948,-328.39864864864865,0.6970457521812529
DEF_RUSH_EPA vs WEAK,week>=7 p>=0.60 ANY favRank<=5 oppRank >=22,113,94,19,0.831858407079646,0.12091625179868548,1366.3536453251459,53,0.04014160252559216,60,0.19226719198991793,-0.19745447789592657,0.3062492125976931,0.20165392059331544,0.18600937292098618,3,-0.19745447789592657,-366.50442477876106,0.7235534859351096
DEF_RUSH_EPA vs WEAK,week>=9 p>=0.60 ANY favRank<=5 oppRank >=22,102,85,17,0.8333333333333334,0.12002386925975173,1224.2434664494676,49,0.07193805431105636,53,0.16448056609911155,-0.13572020696484402,0.3066821757533784,0.17520768435270706,0.15744089474518952,3,-0.13572020696484402,-375.2549019607843,0.7272016257045019
POINTS_ALLOWED vs WEAK,week>=5 p>=0.52 ANY favRank<=5 oppRank >=25,138,118,20,0.855072463768116,0.11781258798974183,1625.8137142584371,47,0.21560632886517217,91,0.06730373281232174,0.15346004511181213,0.27516318412880886,0.12855549836474173,0.029021379342059287,4,0.029021379342059287,-497.8188405797101,0.753253651605376
OFF_EPA vs ELITE,week>=10 p>=0.52 ANY favRank<=5 oppRank <=10,132,99,33,0.75,0.11699154486443743,1544.288392210574,60,0.12117122444270846,72,0.11350847854921159,0.09038101899884066,0.15636003066427165,0.17401917767857022,0.06509991924572467,4,0.06509991924572467,-257.6439393939394,0.6603567464431036
SCORING vs ELITE,week>=10 p>=0.60 ANY favRank<=8 oppRank <=10,127,99,28,0.7795275590551181,0.11394584279127837,1447.1122034492353,65,0.09769216868770225,62,0.1309859849966404,0.04570267782887656,0.15471290059738202,0.08898144135007098,0.1593674334064846,4,0.04570267782887656,-260.92913385826773,0.683301893593039
PASS_EPA vs ELITE,week>=10 p>=0.55 ANY favRank<=5 oppRank <=10,122,93,29,0.7622950819672131,0.11215545830761225,1368.2965913528694,53,0.019385015277143685,69,0.18341391454840697,-0.1956006077041471,0.22640820777764592,0.10456361962237426,0.24773915514595993,3,-0.1956006077041471,-250.54098360655738,0.67131053902542
