result,player1,player2,player1_url,player2_url,weightclass,method,round,time,time_format,referee,details,player1_nickname,player2_nickname,event_date,event_location,event_url,p1_rd1_KD,p1_rd2_KD,p1_rd3_KD,p1_rd4_KD,p1_rd5_KD,p1_rd1_Sig_str,p1_rd2_Sig_str,p1_rd3_Sig_str,p1_rd4_Sig_str,p1_rd5_Sig_str,p1_rd1_Total_str,p1_rd2_Total_str,p1_rd3_Total_str,p1_rd4_Total_str,p1_rd5_Total_str,p1_rd1_Td,p1_rd2_Td,p1_rd3_Td,p1_rd4_Td,p1_rd5_Td,p1_rd1_Sub_att,p1_rd2_Sub_att,p1_rd3_Sub_att,p1_rd4_Sub_att,p1_rd5_Sub_att,p1_rd1_Rev,p1_rd2_Rev,p1_rd3_Rev,p1_rd4_Rev,p1_rd5_Rev,p1_rd1_Ctrl,p1_rd2_Ctrl,p1_rd3_Ctrl,p1_rd4_Ctrl,p1_rd5_Ctrl,p2_rd1_KD,p2_rd2_KD,p2_rd3_KD,p2_rd4_KD,p2_rd5_KD,p2_rd1_Sig_str,p2_rd2_Sig_str,p2_rd3_Sig_str,p2_rd4_Sig_str,p2_rd5_Sig_str,p2_rd1_Total_str,p2_rd2_Total_str,p2_rd3_Total_str,p2_rd4_Total_str,p2_rd5_Total_str,p2_rd1_Td,p2_rd2_Td,p2_rd3_Td,p2_rd4_Td,p2_rd5_Td,p2_rd1_Sub_att,p2_rd2_Sub_att,p2_rd3_Sub_att,p2_rd4_Sub_att,p2_rd5_Sub_att,p2_rd1_Rev,p2_rd2_Rev,p2_rd3_Rev,p2_rd4_Rev,p2_rd5_Rev,p2_rd1_Ctrl,p2_rd2_Ctrl,p2_rd3_Ctrl,p2_rd4_Ctrl,p2_rd5_Ctrl,p1_rd1_Head,p1_rd2_Head,p1_rd3_Head,p1_rd4_Head,p1_rd5_Head,p1_rd1_Body,p1_rd2_Body,p1_rd3_Body,p1_rd4_Body,p1_rd5_Body,p1_rd1_Leg,p1_rd2_Leg,p1_rd3_Leg,p1_rd4_Leg,p1_rd5_Leg,p1_rd1_Distance,p1_rd2_Distance,p1_rd3_Distance,p1_rd4_Distance,p1_rd5_Distance,p1_rd1_Clinch,p1_rd2_Clinch,p1_rd3_Clinch,p1_rd4_Clinch,p1_rd5_Clinch,p1_rd1_Ground,p1_rd2_Ground,p1_rd3_Ground,p1_rd4_Ground,p1_rd5_Ground,p2_rd1_Head,p2_rd2_Head,p2_rd3_Head,p2_rd4_Head,p2_rd5_Head,p2_rd1_Body,p2_rd2_Body,p2_rd3_Body,p2_rd4_Body,p2_rd5_Body,p2_rd1_Leg,p2_rd2_Leg,p2_rd3_Leg,p2_rd4_Leg,p2_rd5_Leg,p2_rd1_Distance,p2_rd2_Distance,p2_rd3_Distance,p2_rd4_Distance,p2_rd5_Distance,p2_rd1_Clinch,p2_rd2_Clinch,p2_rd3_Clinch,p2_rd4_Clinch,p2_rd5_Clinch,p2_rd1_Ground,p2_rd2_Ground,p2_rd3_Ground,p2_rd4_Ground,p2_rd5_Ground,result_norm,dob1,dob2,reach1,reach2,age1,age2,p1_won,pair_key,fav_prob,fav_is_p1,fav_won,fav_dec,fav_ml,age_adv,reach_adv,profit100
W,Viktoriia Dudakova,Jinh Yu Frey,http://ufcstats.com/fighter-details/6c9b66b43663f2f7,http://ufcstats.com/fighter-details/d05cb1e8d1b885d8,Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Daniel Movahedi,Derek Cleary 28 - 29. David Lethaby 28 - 29. Cezary Wojciechowski 28 - 29.,--,--,2023-10-21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",http://ufcstats.com/event-details/13a0fb8fbdafb54f,1,0.0,0.0,,,30 of 53,11 of 23,33 of 70,,,31 of 54,37 of 51,41 of 78,,,0 of 3,0 of 0,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,0:18,0:00,0:00,,,0,0.0,0.0,,,16 of 46,11 of 22,20 of 33,,,16 of 46,28 of 40,21 of 35,,,0 of 0,1 of 1,0 of 2,,,0,0.0,0.0,,,0,0.0,0.0,,,0:00,3:48,0:52,,,19 of 40,6 of 16,22 of 59,,,10 of 12,5 of 7,11 of 11,,,1 of 1,0 of 0,0 of 0,,,22 of 44,8 of 20,30 of 67,,,8 of 9,3 of 3,3 of 3,,,0 of 0,0 of 0,0 of 0,,,9 of 37,8 of 17,14 of 26,,,5 of 7,0 of 2,3 of 4,,,2 of 2,3 of 3,3 of 3,,,15 of 44,4 of 14,18 of 31,,,1 of 2,0 of 0,2 of 2,,,0 of 0,7 of 8,0 of 0,,,W,1999-01-26,1985-05-20,67.0,65.0,24.73425190113418,38.42104902906973,True,http://ufcstats.com/fighter-details/6c9b66b43663f2f7|http://ufcstats.com/fighter-details/d05cb1e8d1b885d8,0.7905405405405406,True,True,1.1923076923076923,-520.0,13.686797127935549,2.0,19.23076923076923
W,Philipe Lins,Maxim Grishin,http://ufcstats.com/fighter-details/53c943c873cffe90,http://ufcstats.com/fighter-details/950d0ef5c17157c5,Light Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Derek Cleary 28 - 29. Mike Bell 28 - 29. Adalaide Byrd 27 - 30.,Monstro,Maximus,2023-06-03,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/7abe471b61725980,0,0.0,0.0,,,17 of 42,12 of 33,16 of 31,,,21 of 46,12 of 35,17 of 32,,,0 of 0,1 of 2,0 of 1,,,0,0.0,0.0,,,0,0.0,0.0,,,2:02,2:40,3:42,,,0,0.0,0.0,,,16 of 29,14 of 30,11 of 21,,,27 of 40,36 of 53,40 of 52,,,0 of 1,0 of 0,0 of 2,,,0,0.0,0.0,,,0,0.0,0.0,,,0:24,0:07,0:05,,,7 of 27,5 of 24,10 of 23,,,8 of 10,5 of 6,4 of 5,,,2 of 5,2 of 3,2 of 3,,,14 of 38,9 of 29,13 of 25,,,3 of 4,3 of 4,3 of 6,,,0 of 0,0 of 0,0 of 0,,,8 of 19,4 of 16,8 of 18,,,2 of 3,3 of 7,1 of 1,,,6 of 7,7 of 7,2 of 2,,,13 of 26,9 of 24,7 of 15,,,3 of 3,5 of 6,4 of 6,,,0 of 0,0 of 0,0 of 0,,,W,1985-08-17,1984-05-02,78.0,78.0,37.79406832446936,39.086360431767936,True,http://ufcstats.com/fighter-details/53c943c873cffe90|http://ufcstats.com/fighter-details/950d0ef5c17157c5,0.5285423037716616,False,False,1.819672131147541,-122.0,-1.2922921072985787,0.0,-100.0
L,Zac Pauga,Modestas Bukauskas,http://ufcstats.com/fighter-details/56f7d7ee06be4aab,http://ufcstats.com/fighter-details/476fe566d2df676e,Light Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Anthony Maness 27 - 30. Derek Cleary 28 - 29. Sal D'amato 28 - 29.,The Ripper,The Baltic Gladiator,2023-06-17,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/b9415726dc3ec526,0,0.0,0.0,,,15 of 29,27 of 48,25 of 40,,,20 of 35,27 of 48,25 of 40,,,1 of 3,0 of 1,0 of 1,,,0,0.0,0.0,,,0,0.0,0.0,,,2:04,0:10,0:03,,,0,0.0,0.0,,,13 of 29,23 of 40,20 of 43,,,14 of 31,23 of 40,25 of 49,,,0 of 0,0 of 0,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,0:00,0:01,1:19,,,11 of 23,14 of 33,10 of 24,,,2 of 4,10 of 12,13 of 14,,,2 of 2,3 of 3,2 of 2,,,11 of 25,26 of 46,21 of 34,,,2 of 2,1 of 2,4 of 6,,,2 of 2,0 of 0,0 of 0,,,9 of 25,18 of 35,15 of 36,,,2 of 2,3 of 3,5 of 7,,,2 of 2,2 of 2,0 of 0,,,12 of 28,21 of 37,17 of 37,,,0 of 0,2 of 3,3 of 6,,,1 of 1,0 of 0,0 of 0,,,L,1988-02-25,1994-02-10,76.0,78.0,35.308048762123796,29.347625207909815,False,http://ufcstats.com/fighter-details/476fe566d2df676e|http://ufcstats.com/fighter-details/56f7d7ee06be4aab,0.6386477179027017,False,True,1.5050505050505052,-197.99999999999994,5.960423554213982,2.0,50.50505050505052
W,Da'Mon Blackshear,Luan Lacerda,http://ufcstats.com/fighter-details/da22387a0407a2dc,http://ufcstats.com/fighter-details/6fc506e1099afe20,Bantamweight Bout,KO/TKO,2,3:54,3 Rnd (5-5-5),Chris Tognoni,Punches to Head On Ground,The Monster,--,2023-06-03,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/7abe471b61725980,0,0.0,,,,30 of 60,36 of 75,,,,44 of 76,41 of 82,,,,1 of 2,0 of 0,,,,0,0.0,,,,0,1.0,,,,1:29,0:45,,,,0,0.0,,,,17 of 34,11 of 30,,,,20 of 37,11 of 30,,,,1 of 2,0 of 2,,,,1,0.0,,,,0,1.0,,,,0:20,0:06,,,,17 of 41,25 of 62,,,,4 of 8,7 of 9,,,,9 of 11,4 of 4,,,,19 of 43,19 of 53,,,,8 of 13,0 of 0,,,,3 of 4,17 of 22,,,,11 of 24,5 of 18,,,,5 of 9,4 of 10,,,,1 of 1,2 of 2,,,,14 of 31,11 of 30,,,,3 of 3,0 of 0,,,,0 of 0,0 of 0,,,,W,1994-08-12,1993-01-07,72.0,71.0,28.808257527533076,30.40171940560039,True,http://ufcstats.com/fighter-details/6fc506e1099afe20|http://ufcstats.com/fighter-details/da22387a0407a2dc,0.5857068876229932,False,False,1.641025641025641,-156.0,-1.5934618780673127,-1.0,-100.0
L,Phil Hawes,Ikram Aliskerov,http://ufcstats.com/fighter-details/547afe1017e72dbe,http://ufcstats.com/fighter-details/b07aed698fba8624,Middleweight Bout,KO/TKO,1,2:10,3 Rnd (5-5-5),Gasper Oliver,Punches to Head At Distance,No Hype,--,2023-05-06,"Newark, New Jersey, USA",http://ufcstats.com/event-details/3c6976f8182d9527,0,,,,,17 of 28,,,,,17 of 28,,,,,0 of 0,,,,,0,,,,,0,,,,,0:00,,,,,1,,,,,20 of 33,,,,,20 of 33,,,,,0 of 0,,,,,0,,,,,0,,,,,0:00,,,,,4 of 14,,,,,10 of 11,,,,,3 of 3,,,,,17 of 28,,,,,0 of 0,,,,,0 of 0,,,,,13 of 24,,,,,6 of 8,,,,,1 of 1,,,,,19 of 31,,,,,1 of 2,,,,,0 of 0,,,,,L,1989-01-08,1992-12-07,77.0,76.0,34.32240223960793,30.409933126621354,False,http://ufcstats.com/fighter-details/547afe1017e72dbe|http://ufcstats.com/fighter-details/b07aed698fba8624,0.6301020408163267,False,True,1.526315789473684,-190.00000000000006,3.912469112986578,-1.0,52.63157894736841
L,Hailey Cowan,Jamey-Lyn Horth,http://ufcstats.com/fighter-details/3c26c420584d912d,http://ufcstats.com/fighter-details/5c637af9472ae7cc,Women's Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Junichiro Kamijo 28 - 29. Anthony Maness 28 - 29. Ron McCarthy 28 - 29.,All Hail,--,2023-04-29,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/51b1e2fd9872005b,0,0.0,0.0,,,21 of 55,23 of 53,19 of 42,,,25 of 59,31 of 62,29 of 52,,,0 of 1,1 of 2,1 of 5,,,0,0.0,0.0,,,0,0.0,0.0,,,0:54,2:13,1:43,,,0,0.0,0.0,,,24 of 29,28 of 42,24 of 33,,,31 of 36,37 of 52,31 of 40,,,0 of 0,0 of 0,0 of 1,,,0,0.0,0.0,,,0,0.0,0.0,,,0:35,0:07,0:25,,,15 of 40,11 of 39,12 of 32,,,6 of 14,9 of 11,6 of 9,,,0 of 1,3 of 3,1 of 1,,,12 of 45,16 of 44,15 of 37,,,9 of 10,4 of 6,3 of 4,,,0 of 0,3 of 3,1 of 1,,,13 of 16,14 of 25,10 of 18,,,7 of 8,11 of 12,12 of 13,,,4 of 5,3 of 5,2 of 2,,,13 of 18,18 of 32,15 of 24,,,11 of 11,10 of 10,9 of 9,,,0 of 0,0 of 0,0 of 0,,,L,1992-02-12,1990-03-30,67.0,66.0,31.209401972661997,33.08213036544214,False,http://ufcstats.com/fighter-details/3c26c420584d912d|http://ufcstats.com/fighter-details/5c637af9472ae7cc,0.5965276928719891,False,True,1.6097560975609757,-163.99999999999997,-1.872728392780143,-1.0,60.97560975609757
L,Joseph Holmes,Claudio Ribeiro,http://ufcstats.com/fighter-details/8d20d76af3f213ce,http://ufcstats.com/fighter-details/972c456ff38b2015,Middleweight Bout,KO/TKO,2,3:21,3 Rnd (5-5-5),Gary Copeland,Punches to Head On Ground,Uglyman Joe,--,2023-05-06,"Newark, New Jersey, USA",http://ufcstats.com/event-details/3c6976f8182d9527,0,0.0,,,,12 of 16,5 of 8,,,,15 of 19,7 of 10,,,,1 of 1,0 of 1,,,,0,0.0,,,,0,0.0,,,,1:36,0:54,,,,0,1.0,,,,19 of 29,18 of 34,,,,39 of 52,21 of 39,,,,1 of 1,0 of 0,,,,0,0.0,,,,0,0.0,,,,2:11,0:56,,,,3 of 6,1 of 4,,,,3 of 4,0 of 0,,,,6 of 6,4 of 4,,,,8 of 12,5 of 8,,,,4 of 4,0 of 0,,,,0 of 0,0 of 0,,,,18 of 26,16 of 31,,,,0 of 1,0 of 0,,,,1 of 2,2 of 3,,,,5 of 12,5 of 12,,,,0 of 0,1 of 2,,,,14 of 17,12 of 20,,,,L,1995-07-04,1992-07-17,80.0,77.0,27.839038447059146,30.801453828620712,False,http://ufcstats.com/fighter-details/8d20d76af3f213ce|http://ufcstats.com/fighter-details/972c456ff38b2015,0.5933697541594238,False,True,1.617283950617284,-161.99999999999997,-2.9624153815615664,-3.0,61.728395061728406
W,Diana Belbita,Maria Oliveira,http://ufcstats.com/fighter-details/d7e40dca3ae125be,http://ufcstats.com/fighter-details/37d752ec41ed84bb,Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Phil Koldyk,Jerin Valel 27 - 30. Jason Darrah 27 - 30. Chris Lee 28 - 29.,The Warrior Princess,Spider-Girl,2023-06-10,"Vancouver, British Columbia, Canada",http://ufcstats.com/event-details/b6c6d1731ff00eeb,0,0.0,0.0,,,41 of 84,22 of 37,43 of 87,,,60 of 104,49 of 65,45 of 89,,,0 of 0,1 of 2,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,0:22,1:29,0:13,,,0,0.0,0.0,,,28 of 66,7 of 17,29 of 85,,,36 of 79,19 of 35,30 of 86,,,1 of 1,1 of 1,0 of 3,,,0,0.0,0.0,,,0,0.0,0.0,,,1:20,2:37,0:09,,,30 of 68,9 of 24,32 of 73,,,4 of 7,11 of 11,5 of 7,,,7 of 9,2 of 2,6 of 7,,,33 of 76,6 of 20,37 of 80,,,4 of 4,12 of 13,6 of 7,,,4 of 4,4 of 4,0 of 0,,,19 of 55,5 of 15,21 of 72,,,6 of 8,1 of 1,4 of 9,,,3 of 3,1 of 1,4 of 4,,,28 of 66,6 of 16,28 of 84,,,0 of 0,0 of 0,1 of 1,,,0 of 0,1 of 1,0 of 0,,,W,1996-06-26,1996-12-12,68.0,69.0,26.954694483801855,26.4919881996208,True,http://ufcstats.com/fighter-details/37d752ec41ed84bb|http://ufcstats.com/fighter-details/d7e40dca3ae125be,0.5594871427548169,True,True,1.6849315068493151,-145.99999999999997,-0.4627062841810563,-1.0,68.49315068493152
L,Takashi Sato,Themba Gorimbo,http://ufcstats.com/fighter-details/8abac218746e04ca,http://ufcstats.com/fighter-details/40f3cb27fc7305a1,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Mike Bell 27 - 30. Junichiro Kamijo 27 - 30. Tony Weeks 27 - 30.,Ten,The Answer,2023-05-20,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/6f812143641ceff8,0,0.0,0.0,,,3 of 8,14 of 17,13 of 22,,,15 of 21,21 of 25,20 of 30,,,1 of 2,1 of 4,0 of 0,,,0,0.0,0.0,,,0,0.0,1.0,,,0:32,1:14,0:35,,,0,1.0,0.0,,,7 of 16,18 of 30,8 of 10,,,39 of 57,40 of 57,31 of 44,,,1 of 3,1 of 2,1 of 3,,,0,0.0,0.0,,,1,1.0,0.0,,,3:58,3:20,3:57,,,2 of 7,9 of 12,10 of 18,,,1 of 1,5 of 5,3 of 4,,,0 of 0,0 of 0,0 of 0,,,0 of 4,1 of 4,4 of 8,,,3 of 4,11 of 11,1 of 1,,,0 of 0,2 of 2,8 of 13,,,1 of 9,15 of 25,5 of 7,,,6 of 7,3 of 5,3 of 3,,,0 of 0,0 of 0,0 of 0,,,1 of 9,5 of 8,6 of 8,,,6 of 7,2 of 4,1 of 1,,,0 of 0,11 of 18,1 of 1,,,L,1990-06-09,1991-01-23,73.0,77.0,32.94523501509271,32.32099221749933,False,http://ufcstats.com/fighter-details/40f3cb27fc7305a1|http://ufcstats.com/fighter-details/8abac218746e04ca,0.5634920634920635,False,True,1.704225352112676,-142.0,0.6242427975933822,4.0,70.4225352112676
L,Shannon Ross,Jesus Aguilar,http://ufcstats.com/fighter-details/51c655162e462ceb,http://ufcstats.com/fighter-details/c051c2e12d692b8a,Flyweight Bout,KO/TKO,1,0:17,3 Rnd (5-5-5),Jason Herzog,Punch to Head At Distance,The Turkish Delight,--,2023-07-08,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/6085ceb59087514b,0,,,,,2 of 3,,,,,2 of 3,,,,,0 of 0,,,,,0,,,,,0,,,,,0:00,,,,,1,,,,,2 of 3,,,,,2 of 3,,,,,0 of 0,,,,,0,,,,,0,,,,,0:00,,,,,1 of 2,,,,,1 of 1,,,,,0 of 0,,,,,2 of 3,,,,,0 of 0,,,,,0 of 0,,,,,1 of 1,,,,,0 of 0,,,,,1 of 2,,,,,2 of 3,,,,,0 of 0,,,,,0 of 0,,,,,L,1989-05-12,1996-03-13,66.0,62.0,34.15538991218163,27.31883611573133,False,http://ufcstats.com/fighter-details/51c655162e462ceb|http://ufcstats.com/fighter-details/c051c2e12d692b8a,0.5789895749799518,False,True,1.6578947368421053,-152.0,6.836553796450303,-4.0,65.78947368421053
