division,min_height_gap_in,all_n,all_wins,all_win_rate,all_ci_low,all_ci_high,discovery_n,discovery_wins,discovery_win_rate,discovery_ci_low,discovery_ci_high,validation_n,validation_wins,validation_win_rate,validation_ci_low,validation_ci_high
ALL,1,6149,3188,0.5184582859001464,0.5059616546126989,0.530931867885914,3755,1909,0.5083888149134488,0.49239798871746704,0.5243624940865969,2394,1279,0.5342522974101922,0.5142311935405799,0.5541636495549775
ALL,2,3904,2053,0.5258709016393442,0.5101896411947413,0.5415012973530238,2418,1273,0.5264681555004136,0.5065402906118949,0.5463120511762717,1486,780,0.5248990578734859,0.4994766645821111,0.5501930452716076
ALL,3,2250,1205,0.5355555555555556,0.5149045226671887,0.5560853818584888,1404,750,0.5341880341880342,0.5080371481936272,0.5601523413057596,846,455,0.5378250591016549,0.5041331162115064,0.5711750353310872
ALL,4,1163,631,0.5425623387790198,0.513836689097005,0.5710077319452342,741,399,0.5384615384615384,0.5024607749082914,0.5740655630406093,422,232,0.5497630331753555,0.502057783609606,0.5965704387153149
ALL,5,541,284,0.5249537892791127,0.48284510466967573,0.5667105827080868,359,181,0.5041782729805014,0.45268792614600784,0.5555801445493039,182,103,0.5659340659340659,0.4932981586173573,0.6358440786427609
ALL,6,227,118,0.5198237885462555,0.4550423735150886,0.5839453999191626,160,83,0.51875,0.44180083048790497,0.5948199056377189,67,35,0.5223880597014925,0.40484988526831645,0.6374981136475746
Bantamweight,1,573,302,0.5270506108202443,0.48612628681606845,0.5676146361686817,305,150,0.4918032786885246,0.43614808903744906,0.5476623820907927,268,152,0.5671641791044776,0.5073075451084978,0.6251225171042025
Bantamweight,2,356,187,0.5252808988764045,0.47341447593067143,0.5766075337535898,187,85,0.45454545454545453,0.38480853386502845,0.526112355500812,169,102,0.6035502958579881,0.528286410782611,0.6742111361042494
Bantamweight,3,202,104,0.5148514851485149,0.44629778776870244,0.5828508391366463,110,49,0.44545454545454544,0.3559755711590631,0.53861480705066,92,55,0.5978260869565217,0.4956578768521757,0.6921520094602397
Bantamweight,4,89,49,0.550561797752809,0.4472614742822269,0.6496778287888101,55,25,0.45454545454545453,0.33025071746446194,0.5847753865163952,34,24,0.7058823529411765,0.5383077411853625,0.8316554739006805
Bantamweight,5,37,19,0.5135135135135135,0.3589463722598092,0.6655384667278896,23,10,0.43478260869565216,0.25634368332198654,0.6318895069498304,14,9,0.6428571428571429,0.3876400468214042,0.8365550926279727
Bantamweight,6,18,11,0.6111111111111112,0.3861866858065617,0.7969500807306884,13,8,0.6153846153846154,0.35522480972268555,0.8229055341876319,5,3,0.6,0.23071993220883708,0.8823817688407467
Featherweight,1,672,338,0.5029761904761905,0.4652632128299684,0.5406553337643815,367,177,0.4822888283378747,0.4316139769027017,0.5333306247816832,305,161,0.5278688524590164,0.47184326192948645,0.5832011362344914
Featherweight,2,457,237,0.5185995623632386,0.4728248542786303,0.5640641765727513,256,130,0.5078125,0.4469087669627319,0.5684852269166163,201,107,0.5323383084577115,0.46339987921422615,0.6000637922275124
Featherweight,3,284,150,0.528169014084507,0.4701206396773603,0.5854654882485544,160,82,0.5125,0.43566815412418414,0.5887456699595649,124,68,0.5483870967741935,0.4606534174133777,0.6332127419588452
Featherweight,4,146,70,0.4794520547945205,0.3999858090092327,0.5599719063381742,85,39,0.4588235294117647,0.3569695582911919,0.5642385244088045,61,31,0.5081967213114754,0.386024064532302,0.6293981335627482
Featherweight,5,69,33,0.4782608695652174,0.36468525497597737,0.5941294882476751,44,19,0.4318181818181818,0.29682504164854573,0.5777610925944561,25,14,0.56,0.37067017019564436,0.7333462505299744
Featherweight,6,26,12,0.46153846153846156,0.28755582695234905,0.6454236379556988,19,8,0.42105263157894735,0.2314162039203038,0.6372444853483988,7,4,0.5714285714285714,0.2504542304090258,0.8417830777373732
Flyweight,1,296,134,0.4527027027027027,0.3969639322401083,0.5096534283929726,147,51,0.3469387755102041,0.2747745162425409,0.42689929257412507,149,83,0.5570469798657718,0.47684836279164045,0.6343779002152896
Flyweight,2,169,75,0.4437869822485207,0.3709562798586838,0.5191164804027347,87,34,0.39080459770114945,0.2949766847095907,0.49586803841285554,82,41,0.5,0.39422642728441165,0.6057735727155883
Flyweight,3,86,38,0.4418604651162791,0.3416256631747516,0.547067325373983,43,16,0.37209302325581395,0.2437613889377433,0.5214046173472684,43,22,0.5116279069767442,0.36752063766074083,0.6538279072224399
Flyweight,4,39,18,0.46153846153846156,0.3156664723404835,0.6143081317826119,18,8,0.4444444444444444,0.24559231101389126,0.6628393057174837,21,10,0.47619047619047616,0.28343712296762946,0.6763078209973324
Flyweight,5,18,6,0.3333333333333333,0.1627855436366286,0.5625093065574964,10,3,0.3,0.10778928748621183,0.6032267800204347,8,3,0.375,0.13684175946152105,0.6942621454161981
Flyweight,6,6,1,0.16666666666666666,0.03005258587173032,0.563509436563646,4,1,0.25,0.045586062644636216,0.6993639475573634,2,0,0.0,0.0,0.6576280471103807
Heavyweight,1,475,256,0.5389473684210526,0.4939851382731938,0.5832846728710342,313,164,0.5239616613418531,0.46867758433537354,0.5786646838516322,162,92,0.5679012345679012,0.49091786595301856,0.6417388377932066
Heavyweight,2,323,178,0.5510835913312694,0.4965562260811407,0.604410113576969,228,124,0.543859649122807,0.4790147520651148,0.6072510432019987,95,54,0.5684210526315789,0.46808026950252796,0.6634432995210411
Heavyweight,3,212,118,0.5566037735849056,0.4893124749734605,0.6218801774160696,152,83,0.5460526315789473,0.46674019289559576,0.6230946137285661,60,35,0.5833333333333334,0.45727854313239624,0.6993591351212818
Heavyweight,4,134,76,0.5671641791044776,0.4825566078616206,0.6480280632391211,98,55,0.5612244897959183,0.46250823376575,0.6553218081817449,36,21,0.5833333333333334,0.4219996966427768,0.7285966649491271
Heavyweight,5,82,45,0.5487804878048781,0.44130583571145193,0.6518890721187844,62,33,0.532258064516129,0.40983817375848014,0.650913691323778,20,12,0.6,0.3865779423152061,0.7811960325858074
Heavyweight,6,46,24,0.5217391304347826,0.38137172148151327,0.6587554012432788,36,19,0.5277777777777778,0.3700567162693947,0.6801420709279067,10,5,0.5,0.23658959361548731,0.7634104063845126
Light Heavyweight,1,511,274,0.5362035225048923,0.4928553011419573,0.5790114633153048,350,200,0.5714285714285714,0.5190835358894706,0.6222226304855399,161,74,0.45962732919254656,0.3844820789110116,0.5366543332567907
Light Heavyweight,2,318,179,0.5628930817610063,0.5079443478953943,0.616340393418345,219,129,0.589041095890411,0.5228882531903105,0.6521239527891836,99,50,0.5050505050505051,0.4082299868548984,0.6014937047251627
