division,market_prob_min,min_height_gap_in,all_n,all_wins,all_win_rate,all_ci_low,all_ci_high,discovery_n,discovery_wins,discovery_win_rate,discovery_ci_low,discovery_ci_high,validation_n,validation_wins,validation_win_rate,validation_ci_low,validation_ci_high
ALL,0.55,1,2188,1523,0.6960694698354661,0.6764668065399141,0.7149848385059688,1355,917,0.6767527675276753,0.651379290264197,0.7011268443728351,833,606,0.7274909963985594,0.6962611517660465,0.7566322034400045
ALL,0.55,2,1434,999,0.696652719665272,0.6723597291496851,0.7198948835976441,893,616,0.6898096304591266,0.6587111697416387,0.7192820009587392,541,383,0.7079482439926063,0.6682725101439966,0.7446915513373586
ALL,0.55,3,821,580,0.7064555420219245,0.674401336988644,0.7365866636165631,507,351,0.6923076923076923,0.6508113605322187,0.7309116628080888,314,229,0.7292993630573248,0.6776012090864121,0.7754546527013462
ALL,0.55,4,425,300,0.7058823529411765,0.6608731043801153,0.7472029777910174,269,184,0.6840148698884758,0.6261977246489431,0.7366501695138238,156,116,0.7435897435897436,0.6697893948361946,0.8056813211726541
ALL,0.55,5,203,138,0.6798029556650246,0.6127934431165809,0.740133627646747,127,83,0.6535433070866141,0.5673754970084879,0.7306948414771313,76,55,0.7236842105263158,0.6142442230029846,0.8115989464725769
ALL,0.6,1,1699,1249,0.735138316656857,0.7136424966190772,0.7555731955509991,1056,755,0.7149621212121212,0.6869931008463359,0.741372798359734,643,494,0.7682737169517885,0.7341250039007,0.7992358683746762
ALL,0.6,2,1141,835,0.7318141980718668,0.7053618816883055,0.7567107753500132,718,515,0.7172701949860725,0.6832415151048573,0.7489862755904976,423,320,0.7565011820330969,0.7134102500884549,0.794975061933616
ALL,0.6,3,648,482,0.7438271604938271,0.7088483645222003,0.7759319870233286,404,291,0.7202970297029703,0.6746098959304541,0.7618340568198294,244,191,0.7827868852459017,0.7268794536672677,0.8299277974156821
ALL,0.6,4,324,243,0.75,0.7001058755424944,0.7940351974634939,204,148,0.7254901960784313,0.660507934592882,0.7821368487421191,120,95,0.7916666666666666,0.7105215895553653,0.8547165856620093
ALL,0.6,5,154,113,0.7337662337662337,0.6588890163521484,0.7972644945093734,96,69,0.71875,0.6217391618504083,0.7989271736249847,58,44,0.7586206896551724,0.6346977437031315,0.8504126027303373
ALL,0.65,1,1261,969,0.7684377478191912,0.7443606530655357,0.7908842345156445,796,603,0.757537688442211,0.7265735063336259,0.786027988762403,465,366,0.7870967741935484,0.7476146445099044,0.8218740698021362
ALL,0.65,2,845,651,0.770414201183432,0.7408710372854088,0.7975097395285455,542,413,0.7619926199261993,0.7243744443291741,0.7959230192573316,303,238,0.7854785478547854,0.7358350238042282,0.827973794817497
ALL,0.65,3,477,373,0.7819706498951782,0.7427422893645271,0.8166934998849887,305,232,0.760655737704918,0.7097155924055398,0.8051114257163712,172,141,0.8197674418604651,0.7555393738198233,0.8700236328862121
ALL,0.65,4,247,196,0.7935222672064778,0.7387332527891436,0.8393207860943591,158,122,0.7721518987341772,0.7007471058303899,0.8306366669449657,89,74,0.8314606741573034,0.7403726049688804,0.8951183818301409
ALL,0.65,5,119,91,0.7647058823529411,0.6809594823373151,0.8318960975313938,73,56,0.7671232876712328,0.6583251745764003,0.8492124092323698,46,35,0.7608695652173914,0.6206458383088198,0.860879634388686
ALL,0.7,1,830,667,0.8036144578313253,0.775214882008985,0.8292164632249299,544,429,0.7886029411764706,0.7523287050903643,0.8208296676947618,286,238,0.8321678321678322,0.7845157771310244,0.8710146919251774
ALL,0.7,2,547,442,0.8080438756855576,0.7729356779721979,0.8388554431050772,362,289,0.7983425414364641,0.7539745088342829,0.8364449513911263,185,153,0.827027027027027,0.7660200357984419,0.8747286128044083
ALL,0.7,3,313,256,0.8178913738019169,0.7713666133049051,0.8567074779760377,201,161,0.8009950248756219,0.7403839011405386,0.8503164253556419,112,95,0.8482142857142857,0.77031213348588,0.9030211077676937
