result,player1,player2,player1_url,player2_url,weightclass,method,round,time,time_format,referee,details,player1_nickname,player2_nickname,event_date,event_location,event_url,p1_rd1_KD,p1_rd2_KD,p1_rd3_KD,p1_rd4_KD,p1_rd5_KD,p1_rd1_Sig_str,p1_rd2_Sig_str,p1_rd3_Sig_str,p1_rd4_Sig_str,p1_rd5_Sig_str,p1_rd1_Total_str,p1_rd2_Total_str,p1_rd3_Total_str,p1_rd4_Total_str,p1_rd5_Total_str,p1_rd1_Td,p1_rd2_Td,p1_rd3_Td,p1_rd4_Td,p1_rd5_Td,p1_rd1_Sub_att,p1_rd2_Sub_att,p1_rd3_Sub_att,p1_rd4_Sub_att,p1_rd5_Sub_att,p1_rd1_Rev,p1_rd2_Rev,p1_rd3_Rev,p1_rd4_Rev,p1_rd5_Rev,p1_rd1_Ctrl,p1_rd2_Ctrl,p1_rd3_Ctrl,p1_rd4_Ctrl,p1_rd5_Ctrl,p2_rd1_KD,p2_rd2_KD,p2_rd3_KD,p2_rd4_KD,p2_rd5_KD,p2_rd1_Sig_str,p2_rd2_Sig_str,p2_rd3_Sig_str,p2_rd4_Sig_str,p2_rd5_Sig_str,p2_rd1_Total_str,p2_rd2_Total_str,p2_rd3_Total_str,p2_rd4_Total_str,p2_rd5_Total_str,p2_rd1_Td,p2_rd2_Td,p2_rd3_Td,p2_rd4_Td,p2_rd5_Td,p2_rd1_Sub_att,p2_rd2_Sub_att,p2_rd3_Sub_att,p2_rd4_Sub_att,p2_rd5_Sub_att,p2_rd1_Rev,p2_rd2_Rev,p2_rd3_Rev,p2_rd4_Rev,p2_rd5_Rev,p2_rd1_Ctrl,p2_rd2_Ctrl,p2_rd3_Ctrl,p2_rd4_Ctrl,p2_rd5_Ctrl,p1_rd1_Head,p1_rd2_Head,p1_rd3_Head,p1_rd4_Head,p1_rd5_Head,p1_rd1_Body,p1_rd2_Body,p1_rd3_Body,p1_rd4_Body,p1_rd5_Body,p1_rd1_Leg,p1_rd2_Leg,p1_rd3_Leg,p1_rd4_Leg,p1_rd5_Leg,p1_rd1_Distance,p1_rd2_Distance,p1_rd3_Distance,p1_rd4_Distance,p1_rd5_Distance,p1_rd1_Clinch,p1_rd2_Clinch,p1_rd3_Clinch,p1_rd4_Clinch,p1_rd5_Clinch,p1_rd1_Ground,p1_rd2_Ground,p1_rd3_Ground,p1_rd4_Ground,p1_rd5_Ground,p2_rd1_Head,p2_rd2_Head,p2_rd3_Head,p2_rd4_Head,p2_rd5_Head,p2_rd1_Body,p2_rd2_Body,p2_rd3_Body,p2_rd4_Body,p2_rd5_Body,p2_rd1_Leg,p2_rd2_Leg,p2_rd3_Leg,p2_rd4_Leg,p2_rd5_Leg,p2_rd1_Distance,p2_rd2_Distance,p2_rd3_Distance,p2_rd4_Distance,p2_rd5_Distance,p2_rd1_Clinch,p2_rd2_Clinch,p2_rd3_Clinch,p2_rd4_Clinch,p2_rd5_Clinch,p2_rd1_Ground,p2_rd2_Ground,p2_rd3_Ground,p2_rd4_Ground,p2_rd5_Ground,division,result_norm,h1,h2,height_diff,height_gap,taller_is_p1,p1_won,taller_won,shorter_won,pair_key,market_prob,favorite_decimal_odds,market_fav_won,market_fav_taller,american_odds
L,Ignacio Bahamondes,Ludovit Klein,http://ufcstats.com/fighter-details/e4a47b07044ddd72,http://ufcstats.com/fighter-details/5b86d491d63890c5,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Rick Winter 27 - 30. Derek Cleary 28 - 29. Anthony Maness 28 - 29.,La Jaula,Mr. Highlight,2023-08-05,"Nashville, Tennessee, USA",http://ufcstats.com/event-details/6f81b6de2557739a,0,0.0,0.0,,,7 of 33,29 of 76,7 of 30,,,16 of 44,35 of 85,11 of 37,,,0 of 0,0 of 0,0 of 1,,,0,0.0,0.0,,,0,0.0,0.0,,,0:00,0:00,0:07,,,0,0.0,0.0,,,20 of 34,19 of 41,17 of 33,,,48 of 65,25 of 47,21 of 39,,,0 of 0,2 of 3,1 of 2,,,0,0.0,0.0,,,0,0.0,0.0,,,2:45,1:04,2:16,,,5 of 26,21 of 68,3 of 20,,,1 of 3,5 of 5,3 of 8,,,1 of 4,3 of 3,1 of 2,,,7 of 31,28 of 75,6 of 27,,,0 of 2,1 of 1,1 of 3,,,0 of 0,0 of 0,0 of 0,,,17 of 28,8 of 27,11 of 27,,,0 of 3,6 of 8,5 of 5,,,3 of 3,5 of 6,1 of 1,,,10 of 20,19 of 41,14 of 27,,,0 of 0,0 of 0,1 of 1,,,10 of 14,0 of 0,2 of 5,,,Lightweight,L,75.0,67.0,8.0,8.0,True,False,False,True,http://ufcstats.com/fighter-details/5b86d491d63890c5|http://ufcstats.com/fighter-details/e4a47b07044ddd72,0.6690070210631895,1.434782608695652,False,True,-230.00000000000003
L,Jessica Andrade,Tatiana Suarez,http://ufcstats.com/fighter-details/6a1901c62ab3870f,http://ufcstats.com/fighter-details/b08012bbe542592a,Women's Strawweight Bout,Submission,2,1:31,3 Rnd (5-5-5),Kevin MacDonald,Guillotine Choke After Drop to Guard,Bate Estaca,--,2023-08-05,"Nashville, Tennessee, USA",http://ufcstats.com/event-details/6f81b6de2557739a,0,0.0,,,,11 of 27,0 of 2,,,,13 of 29,0 of 2,,,,0 of 0,0 of 0,,,,0,0.0,,,,0,0.0,,,,0:05,0:12,,,,0,0.0,,,,19 of 43,4 of 6,,,,20 of 44,5 of 7,,,,1 of 1,2 of 2,,,,0,1.0,,,,0,0.0,,,,1:38,0:44,,,,2 of 12,0 of 2,,,,5 of 8,0 of 0,,,,4 of 7,0 of 0,,,,8 of 21,0 of 2,,,,3 of 6,0 of 0,,,,0 of 0,0 of 0,,,,3 of 18,0 of 2,,,,14 of 23,3 of 3,,,,2 of 2,1 of 1,,,,9 of 30,4 of 6,,,,10 of 13,0 of 0,,,,0 of 0,0 of 0,,,,Women's Strawweight,L,61.0,65.0,-4.0,4.0,False,False,True,False,http://ufcstats.com/fighter-details/6a1901c62ab3870f|http://ufcstats.com/fighter-details/b08012bbe542592a,0.757188498402556,1.2666666666666666,True,True,-375.00000000000006
L,Abu Azaitar,Sedriques Dumas,http://ufcstats.com/fighter-details/46d0a888d87d91ac,http://ufcstats.com/fighter-details/4e6738062d469256,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Derek Cleary 28 - 29. Darryl Ransom 28 - 29. Clemens Werner 28 - 29.,Captain Morocco,The Reaper,2023-10-21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",http://ufcstats.com/event-details/13a0fb8fbdafb54f,0,0.0,0.0,,,5 of 9,20 of 50,16 of 47,,,50 of 55,21 of 51,16 of 47,,,1 of 1,1 of 2,0 of 1,,,0,0.0,0.0,,,0,0.0,0.0,,,0:09,0:23,0:00,,,0,0.0,0.0,,,5 of 7,14 of 29,15 of 43,,,43 of 45,14 of 29,15 of 43,,,1 of 1,0 of 0,0 of 1,,,0,0.0,0.0,,,0,0.0,0.0,,,4:10,0:00,0:00,,,4 of 8,13 of 39,4 of 31,,,0 of 0,4 of 7,9 of 11,,,1 of 1,3 of 4,3 of 5,,,2 of 3,14 of 42,15 of 45,,,0 of 2,2 of 2,1 of 2,,,3 of 4,4 of 6,0 of 0,,,2 of 4,3 of 16,6 of 25,,,1 of 1,2 of 2,2 of 8,,,2 of 2,9 of 11,7 of 10,,,2 of 4,14 of 29,15 of 43,,,0 of 0,0 of 0,0 of 0,,,3 of 3,0 of 0,0 of 0,,,Middleweight,L,69.0,74.0,-5.0,5.0,False,False,True,False,http://ufcstats.com/fighter-details/46d0a888d87d91ac|http://ufcstats.com/fighter-details/4e6738062d469256,0.6750312469954811,1.4201680672268908,True,True,-237.99999999999997
W,Duane Ludwig,Nick Osipczak,http://ufcstats.com/fighter-details/84ac950d4c1722dd,http://ufcstats.com/fighter-details/5b407acfe0ef9b76,Welterweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Marc Goddard,Richard Bertrand 28 - 29. Howard Hughes 28 - 29. Chris Watts 29 - 28.,Bang,--,2010-11-13,"Oberhausen, North Rhine-Westphalia, Germany",http://ufcstats.com/event-details/0ff11cc094e887bc,0,0.0,0.0,,,25 of 60,21 of 54,53 of 117,,,29 of 64,22 of 55,55 of 119,,,0 of 0,0 of 1,0 of 3,,,0,0.0,0.0,,,0,0.0,0.0,,,0:02,0:06,0:55,,,2,0.0,0.0,,,27 of 44,17 of 35,16 of 31,,,46 of 64,21 of 39,17 of 32,,,1 of 3,1 of 1,0 of 1,,,0,0.0,0.0,,,0,0.0,0.0,,,2:14,1:25,0:18,,,15 of 42,8 of 30,26 of 81,,,10 of 16,7 of 16,21 of 29,,,0 of 2,6 of 8,6 of 7,,,16 of 48,17 of 49,37 of 87,,,8 of 11,4 of 5,16 of 30,,,1 of 1,0 of 0,0 of 0,,,16 of 31,6 of 19,8 of 21,,,4 of 4,2 of 4,3 of 5,,,7 of 9,9 of 12,5 of 5,,,14 of 25,17 of 33,15 of 28,,,5 of 6,0 of 1,1 of 3,,,8 of 13,0 of 1,0 of 0,,,Welterweight,W,70.0,74.0,-4.0,4.0,False,True,False,True,http://ufcstats.com/fighter-details/5b407acfe0ef9b76|http://ufcstats.com/fighter-details/84ac950d4c1722dd,0.745958429561201,1.2941176470588236,False,True,-339.99999999999994
W,Pascal Krauss,Mark Scanlon,http://ufcstats.com/fighter-details/a01e84abefd85ec0,http://ufcstats.com/fighter-details/771b60ff889661c8,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Leon Roberts,Chris Lee 27 - 30. Paul Sutherland 27 - 30. Chris Watts 27 - 30.,Panzer,--,2010-11-13,"Oberhausen, North Rhine-Westphalia, Germany",http://ufcstats.com/event-details/0ff11cc094e887bc,0,0.0,0.0,,,22 of 48,17 of 27,11 of 23,,,65 of 92,62 of 77,103 of 121,,,2 of 2,1 of 1,0 of 1,,,0,2.0,0.0,,,0,0.0,0.0,,,2:09,3:26,2:33,,,0,0.0,0.0,,,8 of 41,10 of 23,15 of 30,,,17 of 54,24 of 38,21 of 37,,,1 of 2,0 of 0,2 of 2,,,1,0.0,1.0,,,0,1.0,0.0,,,1:24,0:53,1:00,,,6 of 28,8 of 17,10 of 22,,,13 of 16,8 of 9,0 of 0,,,3 of 4,1 of 1,1 of 1,,,4 of 24,2 of 6,5 of 17,,,11 of 14,3 of 4,0 of 0,,,7 of 10,12 of 17,6 of 6,,,7 of 36,10 of 22,11 of 25,,,1 of 4,0 of 1,1 of 2,,,0 of 1,0 of 0,3 of 3,,,6 of 36,9 of 18,11 of 25,,,2 of 5,1 of 4,0 of 0,,,0 of 0,0 of 1,4 of 5,,,Welterweight,W,73.0,69.0,4.0,4.0,True,True,True,False,http://ufcstats.com/fighter-details/771b60ff889661c8|http://ufcstats.com/fighter-details/a01e84abefd85ec0,0.6690070210631895,1.434782608695652,True,True,-230.00000000000003
W,Vladimir Matyushenko,Alexandre Ferreira,http://ufcstats.com/fighter-details/ccdd90bd1fc7dab6,http://ufcstats.com/fighter-details/28ba5f27e473420c,Light Heavyweight Bout,KO/TKO,1,2:20,3 Rnd (5-5-5),Kevin Mulhall,Elbows to Head From Mount,The Janitor,Cacareco,2010-11-13,"Oberhausen, North Rhine-Westphalia, Germany",http://ufcstats.com/event-details/0ff11cc094e887bc,0,,,,,19 of 33,,,,,33 of 48,,,,,2 of 2,,,,,0,,,,,0,,,,,0:38,,,,,0,,,,,6 of 10,,,,,9 of 13,,,,,0 of 3,,,,,0,,,,,0,,,,,0:00,,,,,19 of 32,,,,,0 of 1,,,,,0 of 0,,,,,3 of 9,,,,,0 of 1,,,,,16 of 23,,,,,1 of 3,,,,,3 of 5,,,,,2 of 2,,,,,3 of 5,,,,,3 of 5,,,,,0 of 0,,,,,Light Heavyweight,W,72.0,67.0,5.0,5.0,True,True,True,False,http://ufcstats.com/fighter-details/28ba5f27e473420c|http://ufcstats.com/fighter-details/ccdd90bd1fc7dab6,0.6581196581196581,1.4545454545454546,True,True,-219.99999999999997
W,Stephan Bonnar,Igor Pokrajac,http://ufcstats.com/fighter-details/c6a33ff198aaaeeb,http://ufcstats.com/fighter-details/53278852bcd91e11,Light Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Steve Mazzagatti,Points Deducted: Illegal Strikes by Each Fighter,The American Psycho,The Duke,2010-12-04,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/5d7bdab5e03e3216,0,0.0,0.0,,,13 of 24,19 of 37,12 of 19,,,28 of 43,52 of 75,67 of 81,,,1 of 1,1 of 3,1 of 1,,,1,0.0,0.0,,,1,0.0,0.0,,,3:34,3:46,4:38,,,0,0.0,0.0,,,8 of 18,13 of 34,2 of 3,,,11 of 21,15 of 36,14 of 16,,,0 of 0,0 of 1,0 of 0,,,0,0.0,0.0,,,0,0.0,1.0,,,0:46,0:31,0:06,,,3 of 13,12 of 27,4 of 10,,,10 of 11,6 of 9,7 of 8,,,0 of 0,1 of 1,1 of 1,,,0 of 7,9 of 19,1 of 2,,,6 of 8,10 of 18,0 of 0,,,7 of 9,0 of 0,11 of 17,,,5 of 15,9 of 29,2 of 3,,,2 of 2,3 of 4,0 of 0,,,1 of 1,1 of 1,0 of 0,,,5 of 13,5 of 25,0 of 0,,,3 of 5,6 of 7,0 of 0,,,0 of 0,2 of 2,2 of 3,,,Light Heavyweight,W,76.0,72.0,4.0,4.0,True,True,True,False,http://ufcstats.com/fighter-details/53278852bcd91e11|http://ufcstats.com/fighter-details/c6a33ff198aaaeeb,0.6931407942238267,1.4166666666666667,True,True,-239.99999999999997
L,Ben Saunders,Dennis Hallman,http://ufcstats.com/fighter-details/484acc7b0f856ce9,http://ufcstats.com/fighter-details/8a8a84b743ae7699,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marcos Rosales,Nelson Hamilton 28 - 29. Susan Thomas-Gitlin 27 - 30. Alejandro Rochin 28 - 29.,Killa B,Superman,2010-08-07,"Oakland, California, USA",http://ufcstats.com/event-details/2f3f12002564bb55,0,0.0,0.0,,,1 of 1,6 of 12,23 of 32,,,9 of 11,11 of 17,34 of 44,,,0 of 0,0 of 0,0 of 0,,,0,1.0,0.0,,,0,0.0,0.0,,,0:00,0:00,0:00,,,0,0.0,0.0,,,9 of 19,9 of 15,10 of 21,,,25 of 38,38 of 46,33 of 48,,,1 of 3,1 of 1,1 of 2,,,0,0.0,0.0,,,0,0.0,0.0,,,4:49,4:13,2:47,,,0 of 0,1 of 6,16 of 24,,,1 of 1,5 of 6,7 of 8,,,0 of 0,0 of 0,0 of 0,,,1 of 1,4 of 10,15 of 23,,,0 of 0,2 of 2,8 of 9,,,0 of 0,0 of 0,0 of 0,,,9 of 19,7 of 12,8 of 18,,,0 of 0,1 of 1,0 of 1,,,0 of 0,1 of 2,2 of 2,,,0 of 0,1 of 5,2 of 9,,,0 of 2,1 of 1,3 of 5,,,9 of 17,7 of 9,5 of 7,,,Welterweight,L,74.0,69.0,5.0,5.0,True,False,False,True,http://ufcstats.com/fighter-details/484acc7b0f856ce9|http://ufcstats.com/fighter-details/8a8a84b743ae7699,0.7241379310344829,1.3333333333333333,False,True,-300.00000000000006
L,Roy Nelson,Junior Dos Santos,http://ufcstats.com/fighter-details/3f7c14c7eca7195d,http://ufcstats.com/fighter-details/63def5a5662a6917,Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marcos Rosales,Alejandro Rochin 27 - 30. Jon Schorle 26 - 30. Dan Stell 27 - 30.,Big Country,Cigano,2010-08-07,"Oakland, California, USA",http://ufcstats.com/event-details/2f3f12002564bb55,0,0.0,0.0,,,11 of 24,8 of 31,21 of 46,,,11 of 24,8 of 31,21 of 46,,,0 of 3,0 of 4,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,0:56,0:34,0:00,,,1,0.0,0.0,,,49 of 95,27 of 80,54 of 107,,,50 of 96,30 of 84,58 of 111,,,0 of 0,0 of 1,1 of 1,,,0,0.0,0.0,,,0,0.0,0.0,,,0:12,0:00,0:08,,,11 of 24,8 of 31,19 of 44,,,0 of 0,0 of 0,1 of 1,,,0 of 0,0 of 0,1 of 1,,,10 of 22,7 of 30,18 of 38,,,1 of 2,1 of 1,3 of 8,,,0 of 0,0 of 0,0 of 0,,,39 of 81,20 of 69,37 of 86,,,10 of 13,7 of 11,16 of 20,,,0 of 1,0 of 0,1 of 1,,,35 of 66,26 of 77,48 of 96,,,13 of 27,1 of 3,6 of 11,,,1 of 2,0 of 0,0 of 0,,,Heavyweight,L,72.0,76.0,-4.0,4.0,False,False,True,False,http://ufcstats.com/fighter-details/3f7c14c7eca7195d|http://ufcstats.com/fighter-details/63def5a5662a6917,0.762887971226855,1.289855072463768,True,True,-345.00000000000006
L,Rodney Wallace,Phil Davis,http://ufcstats.com/fighter-details/b9415726dc3ec526,http://ufcstats.com/fighter-details/902ab9197b83d0db,Light Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Jon Schorle 26 - 30. Alejandro Rochin 27 - 30. Susan Thomas-Gitlin 27 - 30.,Shonuff the Master,Mr. Wonderful,2010-08-07,"Oakland, California, USA",http://ufcstats.com/event-details/2f3f12002564bb55,0,0.0,0.0,,,1 of 3,0 of 3,1 of 3,,,1 of 3,0 of 3,4 of 6,,,0 of 1,0 of 3,0 of 1,,,0,0.0,0.0,,,0,0.0,0.0,,,0:00,0:00,0:00,,,0,0.0,0.0,,,29 of 34,18 of 34,12 of 24,,,47 of 57,30 of 47,20 of 33,,,2 of 2,0 of 0,1 of 2,,,0,0.0,0.0,,,0,0.0,0.0,,,3:59,4:12,3:13,,,0 of 2,0 of 3,1 of 2,,,1 of 1,0 of 0,0 of 1,,,0 of 0,0 of 0,0 of 0,,,0 of 2,0 of 2,1 of 2,,,1 of 1,0 of 1,0 of 1,,,0 of 0,0 of 0,0 of 0,,,22 of 27,11 of 26,7 of 15,,,7 of 7,7 of 8,5 of 8,,,0 of 0,0 of 0,0 of 1,,,1 of 3,2 of 4,4 of 14,,,3 of 3,1 of 1,3 of 3,,,25 of 28,15 of 29,5 of 7,,,Light Heavyweight,L,69.0,74.0,-5.0,5.0,False,False,True,False,http://ufcstats.com/fighter-details/902ab9197b83d0db|http://ufcstats.com/fighter-details/b9415726dc3ec526,0.863013698630137,1.1111111111111112,True,True,-899.9999999999995
W,Randy Couture,James Toney,http://ufcstats.com/fighter-details/0aa92558424ced9e,http://ufcstats.com/fighter-details/d10b35152277cf98,Heavyweight Bout,Submission,1,3:19,3 Rnd (5-5-5),Mario Yamasaki,Arm Triangle From Mount,The Natural,Lights Out,2010-08-28,"Boston, Massachusetts, USA",http://ufcstats.com/event-details/054defd5420a551f,0,,,,,8 of 11,,,,,41 of 50,,,,,1 of 1,,,,,2,,,,,0,,,,,3:02,,,,,0,,,,,0 of 0,,,,,4 of 6,,,,,0 of 0,,,,,0,,,,,0,,,,,0:00,,,,,7 of 10,,,,,1 of 1,,,,,0 of 0,,,,,0 of 0,,,,,0 of 0,,,,,8 of 11,,,,,0 of 0,,,,,0 of 0,,,,,0 of 0,,,,,0 of 0,,,,,0 of 0,,,,,0 of 0,,,,,Heavyweight,W,73.0,69.0,4.0,4.0,True,True,True,False,http://ufcstats.com/fighter-details/0aa92558424ced9e|http://ufcstats.com/fighter-details/d10b35152277cf98,0.8372093023255814,1.1666666666666667,True,True,-599.9999999999998
W,Nate Marquardt,Rousimar Palhares,http://ufcstats.com/fighter-details/a8e6a69796280f17,http://ufcstats.com/fighter-details/8ddf9c51c5fdea75,Middleweight Bout,KO/TKO,1,3:28,3 Rnd (5-5-5),Herb Dean,Punches to Head On Ground,The Great,Toquinho,2010-09-15,"Austin, Texas, USA",http://ufcstats.com/event-details/acff437707625fc7,0,,,,,13 of 35,,,,,18 of 40,,,,,0 of 0,,,,,1,,,,,0,,,,,0:17,,,,,0,,,,,1 of 6,,,,,1 of 6,,,,,0 of 1,,,,,1,,,,,0,,,,,0:27,,,,,12 of 33,,,,,0 of 1,,,,,1 of 1,,,,,4 of 20,,,,,0 of 0,,,,,9 of 15,,,,,1 of 6,,,,,0 of 0,,,,,0 of 0,,,,,1 of 6,,,,,0 of 0,,,,,0 of 0,,,,,Middleweight,W,72.0,68.0,4.0,4.0,True,True,True,False,http://ufcstats.com/fighter-details/8ddf9c51c5fdea75|http://ufcstats.com/fighter-details/a8e6a69796280f17,0.6884445477795862,1.425531914893617,True,True,-235.00000000000003
