result,player1,player2,player1_url,player2_url,weightclass,method,round,time,time_format,referee,details,player1_nickname,player2_nickname,event_date,event_location,event_url,p1_rd1_KD,p1_rd2_KD,p1_rd3_KD,p1_rd4_KD,p1_rd5_KD,p1_rd1_Sig_str,p1_rd2_Sig_str,p1_rd3_Sig_str,p1_rd4_Sig_str,p1_rd5_Sig_str,p1_rd1_Total_str,p1_rd2_Total_str,p1_rd3_Total_str,p1_rd4_Total_str,p1_rd5_Total_str,p1_rd1_Td,p1_rd2_Td,p1_rd3_Td,p1_rd4_Td,p1_rd5_Td,p1_rd1_Sub_att,p1_rd2_Sub_att,p1_rd3_Sub_att,p1_rd4_Sub_att,p1_rd5_Sub_att,p1_rd1_Rev,p1_rd2_Rev,p1_rd3_Rev,p1_rd4_Rev,p1_rd5_Rev,p1_rd1_Ctrl,p1_rd2_Ctrl,p1_rd3_Ctrl,p1_rd4_Ctrl,p1_rd5_Ctrl,p2_rd1_KD,p2_rd2_KD,p2_rd3_KD,p2_rd4_KD,p2_rd5_KD,p2_rd1_Sig_str,p2_rd2_Sig_str,p2_rd3_Sig_str,p2_rd4_Sig_str,p2_rd5_Sig_str,p2_rd1_Total_str,p2_rd2_Total_str,p2_rd3_Total_str,p2_rd4_Total_str,p2_rd5_Total_str,p2_rd1_Td,p2_rd2_Td,p2_rd3_Td,p2_rd4_Td,p2_rd5_Td,p2_rd1_Sub_att,p2_rd2_Sub_att,p2_rd3_Sub_att,p2_rd4_Sub_att,p2_rd5_Sub_att,p2_rd1_Rev,p2_rd2_Rev,p2_rd3_Rev,p2_rd4_Rev,p2_rd5_Rev,p2_rd1_Ctrl,p2_rd2_Ctrl,p2_rd3_Ctrl,p2_rd4_Ctrl,p2_rd5_Ctrl,p1_rd1_Head,p1_rd2_Head,p1_rd3_Head,p1_rd4_Head,p1_rd5_Head,p1_rd1_Body,p1_rd2_Body,p1_rd3_Body,p1_rd4_Body,p1_rd5_Body,p1_rd1_Leg,p1_rd2_Leg,p1_rd3_Leg,p1_rd4_Leg,p1_rd5_Leg,p1_rd1_Distance,p1_rd2_Distance,p1_rd3_Distance,p1_rd4_Distance,p1_rd5_Distance,p1_rd1_Clinch,p1_rd2_Clinch,p1_rd3_Clinch,p1_rd4_Clinch,p1_rd5_Clinch,p1_rd1_Ground,p1_rd2_Ground,p1_rd3_Ground,p1_rd4_Ground,p1_rd5_Ground,p2_rd1_Head,p2_rd2_Head,p2_rd3_Head,p2_rd4_Head,p2_rd5_Head,p2_rd1_Body,p2_rd2_Body,p2_rd3_Body,p2_rd4_Body,p2_rd5_Body,p2_rd1_Leg,p2_rd2_Leg,p2_rd3_Leg,p2_rd4_Leg,p2_rd5_Leg,p2_rd1_Distance,p2_rd2_Distance,p2_rd3_Distance,p2_rd4_Distance,p2_rd5_Distance,p2_rd1_Clinch,p2_rd2_Clinch,p2_rd3_Clinch,p2_rd4_Clinch,p2_rd5_Clinch,p2_rd1_Ground,p2_rd2_Ground,p2_rd3_Ground,p2_rd4_Ground,p2_rd5_Ground,division,result_norm,u1,u2,r1,r2,reach_diff,reach_gap,longer_is_p1,p1_won,longer_won,pair_key
W,Shara Magomedov,Bruno Silva,http://ufcstats.com/fighter-details/06734ca9d88dec3a,http://ufcstats.com/fighter-details/12ebd7d157e91701,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Ben Cartlidge 27 - 30. Vito Paolillo 27 - 30. Darryl Ransom 27 - 30.,Bullet,Blindado,2023-10-21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",http://ufcstats.com/event-details/13a0fb8fbdafb54f,0,0.0,0.0,,,46 of 66,43 of 58,24 of 30,,,46 of 66,82 of 101,94 of 107,,,0 of 0,0 of 0,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,0:00,0:00,0:00,,,0,0.0,0.0,,,28 of 42,26 of 36,11 of 13,,,28 of 42,44 of 56,35 of 40,,,0 of 1,1 of 2,2 of 4,,,0,0.0,0.0,,,0,0.0,0.0,,,0:00,2:25,4:19,,,16 of 31,21 of 36,19 of 25,,,10 of 12,9 of 9,3 of 3,,,20 of 23,13 of 13,2 of 2,,,46 of 66,24 of 35,4 of 5,,,0 of 0,7 of 9,8 of 12,,,0 of 0,12 of 14,12 of 13,,,20 of 33,20 of 30,11 of 13,,,3 of 4,3 of 3,0 of 0,,,5 of 5,3 of 3,0 of 0,,,27 of 41,8 of 15,0 of 0,,,1 of 1,3 of 3,1 of 1,,,0 of 0,15 of 18,10 of 12,,,Middleweight,W,http://ufcstats.com/fighter-details/06734ca9d88dec3a,http://ufcstats.com/fighter-details/12ebd7d157e91701,73.0,74.0,-1.0,1.0,False,True,False,http://ufcstats.com/fighter-details/06734ca9d88dec3a|http://ufcstats.com/fighter-details/12ebd7d157e91701
W,Viktoriia Dudakova,Jinh Yu Frey,http://ufcstats.com/fighter-details/6c9b66b43663f2f7,http://ufcstats.com/fighter-details/d05cb1e8d1b885d8,Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Daniel Movahedi,Derek Cleary 28 - 29. David Lethaby 28 - 29. Cezary Wojciechowski 28 - 29.,--,--,2023-10-21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",http://ufcstats.com/event-details/13a0fb8fbdafb54f,1,0.0,0.0,,,30 of 53,11 of 23,33 of 70,,,31 of 54,37 of 51,41 of 78,,,0 of 3,0 of 0,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,0:18,0:00,0:00,,,0,0.0,0.0,,,16 of 46,11 of 22,20 of 33,,,16 of 46,28 of 40,21 of 35,,,0 of 0,1 of 1,0 of 2,,,0,0.0,0.0,,,0,0.0,0.0,,,0:00,3:48,0:52,,,19 of 40,6 of 16,22 of 59,,,10 of 12,5 of 7,11 of 11,,,1 of 1,0 of 0,0 of 0,,,22 of 44,8 of 20,30 of 67,,,8 of 9,3 of 3,3 of 3,,,0 of 0,0 of 0,0 of 0,,,9 of 37,8 of 17,14 of 26,,,5 of 7,0 of 2,3 of 4,,,2 of 2,3 of 3,3 of 3,,,15 of 44,4 of 14,18 of 31,,,1 of 2,0 of 0,2 of 2,,,0 of 0,7 of 8,0 of 0,,,Women's Strawweight,W,http://ufcstats.com/fighter-details/6c9b66b43663f2f7,http://ufcstats.com/fighter-details/d05cb1e8d1b885d8,67.0,65.0,2.0,2.0,True,True,True,http://ufcstats.com/fighter-details/6c9b66b43663f2f7|http://ufcstats.com/fighter-details/d05cb1e8d1b885d8
L,Zac Pauga,Modestas Bukauskas,http://ufcstats.com/fighter-details/56f7d7ee06be4aab,http://ufcstats.com/fighter-details/476fe566d2df676e,Light Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Anthony Maness 27 - 30. Derek Cleary 28 - 29. Sal D'amato 28 - 29.,The Ripper,The Baltic Gladiator,2023-06-17,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/b9415726dc3ec526,0,0.0,0.0,,,15 of 29,27 of 48,25 of 40,,,20 of 35,27 of 48,25 of 40,,,1 of 3,0 of 1,0 of 1,,,0,0.0,0.0,,,0,0.0,0.0,,,2:04,0:10,0:03,,,0,0.0,0.0,,,13 of 29,23 of 40,20 of 43,,,14 of 31,23 of 40,25 of 49,,,0 of 0,0 of 0,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,0:00,0:01,1:19,,,11 of 23,14 of 33,10 of 24,,,2 of 4,10 of 12,13 of 14,,,2 of 2,3 of 3,2 of 2,,,11 of 25,26 of 46,21 of 34,,,2 of 2,1 of 2,4 of 6,,,2 of 2,0 of 0,0 of 0,,,9 of 25,18 of 35,15 of 36,,,2 of 2,3 of 3,5 of 7,,,2 of 2,2 of 2,0 of 0,,,12 of 28,21 of 37,17 of 37,,,0 of 0,2 of 3,3 of 6,,,1 of 1,0 of 0,0 of 0,,,Light Heavyweight,L,http://ufcstats.com/fighter-details/56f7d7ee06be4aab,http://ufcstats.com/fighter-details/476fe566d2df676e,76.0,78.0,-2.0,2.0,False,False,True,http://ufcstats.com/fighter-details/476fe566d2df676e|http://ufcstats.com/fighter-details/56f7d7ee06be4aab
W,Da'Mon Blackshear,Luan Lacerda,http://ufcstats.com/fighter-details/da22387a0407a2dc,http://ufcstats.com/fighter-details/6fc506e1099afe20,Bantamweight Bout,KO/TKO,2,3:54,3 Rnd (5-5-5),Chris Tognoni,Punches to Head On Ground,The Monster,--,2023-06-03,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/7abe471b61725980,0,0.0,,,,30 of 60,36 of 75,,,,44 of 76,41 of 82,,,,1 of 2,0 of 0,,,,0,0.0,,,,0,1.0,,,,1:29,0:45,,,,0,0.0,,,,17 of 34,11 of 30,,,,20 of 37,11 of 30,,,,1 of 2,0 of 2,,,,1,0.0,,,,0,1.0,,,,0:20,0:06,,,,17 of 41,25 of 62,,,,4 of 8,7 of 9,,,,9 of 11,4 of 4,,,,19 of 43,19 of 53,,,,8 of 13,0 of 0,,,,3 of 4,17 of 22,,,,11 of 24,5 of 18,,,,5 of 9,4 of 10,,,,1 of 1,2 of 2,,,,14 of 31,11 of 30,,,,3 of 3,0 of 0,,,,0 of 0,0 of 0,,,,Bantamweight,W,http://ufcstats.com/fighter-details/da22387a0407a2dc,http://ufcstats.com/fighter-details/6fc506e1099afe20,72.0,71.0,1.0,1.0,True,True,True,http://ufcstats.com/fighter-details/6fc506e1099afe20|http://ufcstats.com/fighter-details/da22387a0407a2dc
L,Phil Hawes,Ikram Aliskerov,http://ufcstats.com/fighter-details/547afe1017e72dbe,http://ufcstats.com/fighter-details/b07aed698fba8624,Middleweight Bout,KO/TKO,1,2:10,3 Rnd (5-5-5),Gasper Oliver,Punches to Head At Distance,No Hype,--,2023-05-06,"Newark, New Jersey, USA",http://ufcstats.com/event-details/3c6976f8182d9527,0,,,,,17 of 28,,,,,17 of 28,,,,,0 of 0,,,,,0,,,,,0,,,,,0:00,,,,,1,,,,,20 of 33,,,,,20 of 33,,,,,0 of 0,,,,,0,,,,,0,,,,,0:00,,,,,4 of 14,,,,,10 of 11,,,,,3 of 3,,,,,17 of 28,,,,,0 of 0,,,,,0 of 0,,,,,13 of 24,,,,,6 of 8,,,,,1 of 1,,,,,19 of 31,,,,,1 of 2,,,,,0 of 0,,,,,Middleweight,L,http://ufcstats.com/fighter-details/547afe1017e72dbe,http://ufcstats.com/fighter-details/b07aed698fba8624,77.0,76.0,1.0,1.0,True,False,False,http://ufcstats.com/fighter-details/547afe1017e72dbe|http://ufcstats.com/fighter-details/b07aed698fba8624
L,Hailey Cowan,Jamey-Lyn Horth,http://ufcstats.com/fighter-details/3c26c420584d912d,http://ufcstats.com/fighter-details/5c637af9472ae7cc,Women's Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Junichiro Kamijo 28 - 29. Anthony Maness 28 - 29. Ron McCarthy 28 - 29.,All Hail,--,2023-04-29,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/51b1e2fd9872005b,0,0.0,0.0,,,21 of 55,23 of 53,19 of 42,,,25 of 59,31 of 62,29 of 52,,,0 of 1,1 of 2,1 of 5,,,0,0.0,0.0,,,0,0.0,0.0,,,0:54,2:13,1:43,,,0,0.0,0.0,,,24 of 29,28 of 42,24 of 33,,,31 of 36,37 of 52,31 of 40,,,0 of 0,0 of 0,0 of 1,,,0,0.0,0.0,,,0,0.0,0.0,,,0:35,0:07,0:25,,,15 of 40,11 of 39,12 of 32,,,6 of 14,9 of 11,6 of 9,,,0 of 1,3 of 3,1 of 1,,,12 of 45,16 of 44,15 of 37,,,9 of 10,4 of 6,3 of 4,,,0 of 0,3 of 3,1 of 1,,,13 of 16,14 of 25,10 of 18,,,7 of 8,11 of 12,12 of 13,,,4 of 5,3 of 5,2 of 2,,,13 of 18,18 of 32,15 of 24,,,11 of 11,10 of 10,9 of 9,,,0 of 0,0 of 0,0 of 0,,,Women's Bantamweight,L,http://ufcstats.com/fighter-details/3c26c420584d912d,http://ufcstats.com/fighter-details/5c637af9472ae7cc,67.0,66.0,1.0,1.0,True,False,False,http://ufcstats.com/fighter-details/3c26c420584d912d|http://ufcstats.com/fighter-details/5c637af9472ae7cc
L,Joseph Holmes,Claudio Ribeiro,http://ufcstats.com/fighter-details/8d20d76af3f213ce,http://ufcstats.com/fighter-details/972c456ff38b2015,Middleweight Bout,KO/TKO,2,3:21,3 Rnd (5-5-5),Gary Copeland,Punches to Head On Ground,Uglyman Joe,--,2023-05-06,"Newark, New Jersey, USA",http://ufcstats.com/event-details/3c6976f8182d9527,0,0.0,,,,12 of 16,5 of 8,,,,15 of 19,7 of 10,,,,1 of 1,0 of 1,,,,0,0.0,,,,0,0.0,,,,1:36,0:54,,,,0,1.0,,,,19 of 29,18 of 34,,,,39 of 52,21 of 39,,,,1 of 1,0 of 0,,,,0,0.0,,,,0,0.0,,,,2:11,0:56,,,,3 of 6,1 of 4,,,,3 of 4,0 of 0,,,,6 of 6,4 of 4,,,,8 of 12,5 of 8,,,,4 of 4,0 of 0,,,,0 of 0,0 of 0,,,,18 of 26,16 of 31,,,,0 of 1,0 of 0,,,,1 of 2,2 of 3,,,,5 of 12,5 of 12,,,,0 of 0,1 of 2,,,,14 of 17,12 of 20,,,,Middleweight,L,http://ufcstats.com/fighter-details/8d20d76af3f213ce,http://ufcstats.com/fighter-details/972c456ff38b2015,80.0,77.0,3.0,3.0,True,False,False,http://ufcstats.com/fighter-details/8d20d76af3f213ce|http://ufcstats.com/fighter-details/972c456ff38b2015
W,Diana Belbita,Maria Oliveira,http://ufcstats.com/fighter-details/d7e40dca3ae125be,http://ufcstats.com/fighter-details/37d752ec41ed84bb,Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Phil Koldyk,Jerin Valel 27 - 30. Jason Darrah 27 - 30. Chris Lee 28 - 29.,The Warrior Princess,Spider-Girl,2023-06-10,"Vancouver, British Columbia, Canada",http://ufcstats.com/event-details/b6c6d1731ff00eeb,0,0.0,0.0,,,41 of 84,22 of 37,43 of 87,,,60 of 104,49 of 65,45 of 89,,,0 of 0,1 of 2,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,0:22,1:29,0:13,,,0,0.0,0.0,,,28 of 66,7 of 17,29 of 85,,,36 of 79,19 of 35,30 of 86,,,1 of 1,1 of 1,0 of 3,,,0,0.0,0.0,,,0,0.0,0.0,,,1:20,2:37,0:09,,,30 of 68,9 of 24,32 of 73,,,4 of 7,11 of 11,5 of 7,,,7 of 9,2 of 2,6 of 7,,,33 of 76,6 of 20,37 of 80,,,4 of 4,12 of 13,6 of 7,,,4 of 4,4 of 4,0 of 0,,,19 of 55,5 of 15,21 of 72,,,6 of 8,1 of 1,4 of 9,,,3 of 3,1 of 1,4 of 4,,,28 of 66,6 of 16,28 of 84,,,0 of 0,0 of 0,1 of 1,,,0 of 0,1 of 1,0 of 0,,,Women's Strawweight,W,http://ufcstats.com/fighter-details/d7e40dca3ae125be,http://ufcstats.com/fighter-details/37d752ec41ed84bb,68.0,69.0,-1.0,1.0,False,True,False,http://ufcstats.com/fighter-details/37d752ec41ed84bb|http://ufcstats.com/fighter-details/d7e40dca3ae125be
L,Takashi Sato,Themba Gorimbo,http://ufcstats.com/fighter-details/8abac218746e04ca,http://ufcstats.com/fighter-details/40f3cb27fc7305a1,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Mike Bell 27 - 30. Junichiro Kamijo 27 - 30. Tony Weeks 27 - 30.,Ten,The Answer,2023-05-20,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/6f812143641ceff8,0,0.0,0.0,,,3 of 8,14 of 17,13 of 22,,,15 of 21,21 of 25,20 of 30,,,1 of 2,1 of 4,0 of 0,,,0,0.0,0.0,,,0,0.0,1.0,,,0:32,1:14,0:35,,,0,1.0,0.0,,,7 of 16,18 of 30,8 of 10,,,39 of 57,40 of 57,31 of 44,,,1 of 3,1 of 2,1 of 3,,,0,0.0,0.0,,,1,1.0,0.0,,,3:58,3:20,3:57,,,2 of 7,9 of 12,10 of 18,,,1 of 1,5 of 5,3 of 4,,,0 of 0,0 of 0,0 of 0,,,0 of 4,1 of 4,4 of 8,,,3 of 4,11 of 11,1 of 1,,,0 of 0,2 of 2,8 of 13,,,1 of 9,15 of 25,5 of 7,,,6 of 7,3 of 5,3 of 3,,,0 of 0,0 of 0,0 of 0,,,1 of 9,5 of 8,6 of 8,,,6 of 7,2 of 4,1 of 1,,,0 of 0,11 of 18,1 of 1,,,Welterweight,L,http://ufcstats.com/fighter-details/8abac218746e04ca,http://ufcstats.com/fighter-details/40f3cb27fc7305a1,73.0,77.0,-4.0,4.0,False,False,True,http://ufcstats.com/fighter-details/40f3cb27fc7305a1|http://ufcstats.com/fighter-details/8abac218746e04ca
L,Shannon Ross,Jesus Aguilar,http://ufcstats.com/fighter-details/51c655162e462ceb,http://ufcstats.com/fighter-details/c051c2e12d692b8a,Flyweight Bout,KO/TKO,1,0:17,3 Rnd (5-5-5),Jason Herzog,Punch to Head At Distance,The Turkish Delight,--,2023-07-08,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/6085ceb59087514b,0,,,,,2 of 3,,,,,2 of 3,,,,,0 of 0,,,,,0,,,,,0,,,,,0:00,,,,,1,,,,,2 of 3,,,,,2 of 3,,,,,0 of 0,,,,,0,,,,,0,,,,,0:00,,,,,1 of 2,,,,,1 of 1,,,,,0 of 0,,,,,2 of 3,,,,,0 of 0,,,,,0 of 0,,,,,1 of 1,,,,,0 of 0,,,,,1 of 2,,,,,2 of 3,,,,,0 of 0,,,,,0 of 0,,,,,Flyweight,L,http://ufcstats.com/fighter-details/51c655162e462ceb,http://ufcstats.com/fighter-details/c051c2e12d692b8a,66.0,62.0,4.0,4.0,True,False,False,http://ufcstats.com/fighter-details/51c655162e462ceb|http://ufcstats.com/fighter-details/c051c2e12d692b8a
