event_date,year,event_name,weight_class,fighter_1,fighter_2,favorite,underdog,favorite_age,underdog_age,younger_advantage,market_prob,favorite_decimal_odds,won,profit,snapshot_mode,snapshot_rows,source_values,region_values,adding_date_selected,fight_url
2024-01-13,2024,UFC Fight Night 234 - Ankalaev vs. Walker 2,,Waldo Cortes-Acosta,Andrei Arlovski,Waldo Cortes-Acosta,Andrei Arlovski,32.279923612394505,44.94000561270936,12.660082000314858,0.8115183246073299,1.1612903225806452,True,8.064516129032262,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/6f13fe34cb3ca906
2024-01-13,2024,UFC Fight Night 234 - Ankalaev vs. Walker 2,,Marcus McGhee,Gaston Bolanos,Marcus McGhee,Gaston Bolanos,33.687207813986596,31.329869880969493,-2.357337933017103,0.6853932584269663,1.4,True,19.999999999999996,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/03de7404decde12f
2024-01-13,2024,UFC Fight Night 234 - Ankalaev vs. Walker 2,,Farid Basharat,Taylor Lapilus,Farid Basharat,Taylor Lapilus,26.448181687508985,31.765197095080666,5.317015407571681,0.7449664429530202,1.2666666666666666,True,13.33333333333333,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/477c3b9de012e4b3
2024-01-13,2024,UFC Fight Night 234 - Ankalaev vs. Walker 2,,Mario Bautista,Ricky Simon,Ricky Simon,Mario Bautista,31.36820057906733,30.535876848942824,-0.8323237301245072,0.6067415730337078,1.5555555555555556,False,-50.0,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/a8239866e1222eae
2024-01-13,2024,UFC Fight Night 234 - Ankalaev vs. Walker 2,,Felipe Bunes,Joshua Van,Joshua Van,Felipe Bunes,22.25918396681657,34.20741014531441,11.948226178497844,0.7055341817105653,1.3355704697986577,True,16.778523489932883,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/fd29123ff92789e4
2024-01-13,2024,UFC Fight Night 234 - Ankalaev vs. Walker 2,,Westin Wilson,Jean Silva,Jean Silva,Westin Wilson,27.04504541503248,34.96854829325722,7.923502878224742,0.8677165354330709,1.1052631578947367,True,5.263157894736836,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/0494ebcee93e717b
2024-01-13,2024,UFC Fight Night 234 - Ankalaev vs. Walker 2,,Nikolas Motta,Tom Nolan,Tom Nolan,Nikolas Motta,23.84990793787689,30.92739755094218,7.077489613065293,0.7508125677139762,1.2777777777777777,False,-50.0,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/5344e76e26503716
2024-01-20,2024,UFC 297 - Strickland vs. Du Plessis,,Mike Malott,Neil Magny,Mike Malott,Neil Magny,32.20326221619882,36.46618342607993,4.262921209881107,0.76,1.263157894736842,False,-50.0,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/97817609ed46baa0
2024-01-20,2024,UFC 297 - Strickland vs. Du Plessis,,Dricus Du Plessis,Sean Strickland,Dricus Du Plessis,Sean Strickland,30.015674517615007,32.89595268896692,2.8802781713519146,0.5043297540699689,1.8928571428571428,True,44.64285714285714,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/14e53999507c76a7
2024-01-20,2024,UFC 297 - Strickland vs. Du Plessis,,Garrett Armfield,Brad Katona,Brad Katona,Garrett Armfield,32.08827012190531,27.28050541763349,-4.807764704271822,0.6750312469954812,1.4201680672268908,False,-50.0,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/670e4754d8d3d172
2024-01-20,2024,UFC 297 - Strickland vs. Du Plessis,,Polyana Viana,Gillian Robertson,Gillian Robertson,Polyana Viana,28.679575898204618,31.600922674661355,2.921346776456737,0.7179705215419501,1.3355704697986577,True,16.778523489932883,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/dff2685afd98ed9e
2024-01-20,2024,UFC 297 - Strickland vs. Du Plessis,,Movsar Evloev,Arnold Allen,Movsar Evloev,Arnold Allen,29.93901312141933,29.9937712615591,0.05475814013977143,0.6574752261956054,1.4587155963302751,True,22.935779816513758,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/1a7cd191f0cf160c
2024-02-03,2024,UFC Fight Night 235 - Dolidze vs. Imavov,,Viviane Araujo,Natalia Silva,Natalia Silva,Viviane Araujo,26.998500995913673,37.20268041095984,10.20417941504617,0.7408716136631331,1.2941176470588236,True,14.70588235294118,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/7b1882dc76786d77
2024-02-10,2024,UFC Fight Night 236 - Hermansson vs. Pyfer,,Robert Bryczek,Ihor Potieria,Robert Bryczek,Ihor Potieria,33.605070603776944,27.70214309670972,-5.902927507067226,0.6690070210631895,1.434782608695652,False,-50.0,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/17050a7b673dc49d
2024-02-10,2024,UFC Fight Night 236 - Hermansson vs. Pyfer,,Jack Hermansson,Joe Pyfer,Joe Pyfer,Jack Hermansson,27.398235418933996,35.66945248704628,8.271217068112282,0.6853932584269663,1.4,False,-50.0,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/406f2aacd1d1faf9
2024-02-10,2024,UFC Fight Night 236 - Hermansson vs. Pyfer,,Carlos Prates,Trevin Giles,Carlos Prates,Trevin Giles,30.483856615810044,31.513309650437723,1.0294530346276787,0.690792883054068,1.3875968992248062,True,19.379844961240313,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/246fef4b19c3a7ed
2024-02-17,2024,UFC 298 - Volkanovski vs. Topuria,,Merab Dvalishvili,Henry Cejudo,Merab Dvalishvili,Henry Cejudo,33.10403362149805,37.0219785484986,3.917944927000555,0.7179705215419501,1.3355704697986577,True,16.778523489932883,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/9785420602b452f7
2024-02-17,2024,UFC 298 - Volkanovski vs. Topuria,,Amanda Lemos,Mackenzie Dern,Amanda Lemos,Mackenzie Dern,36.74271203378577,30.902756387879286,-5.839955645906485,0.593369754159424,1.617283950617284,True,30.864197530864203,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/2aeb3ec2d8c05dc8
