event_date,year,player1,player2,player1_url,player2_url,favorite,underdog,favorite_age,underdog_age,younger_advantage,market_prob,favorite_decimal_odds,won,profit,date_offset_days,snapshot_mode,fight_url,source,region
2024-01-13,2024,Andrei Arlovski,Waldo Cortes-Acosta,http://ufcstats.com/fighter-details/3738e68d2261e60f,http://ufcstats.com/fighter-details/fc08099550072fe4,Waldo Cortes-Acosta,Andrei Arlovski,32.279923612394505,44.94000561270936,12.660082000314858,0.8115183246073299,1.1612903225806452,True,8.064516129032262,0,historical_import_fallback,http://ufcstats.com/fight-details/6f13fe34cb3ca906,zewnetrzne,us
2024-01-13,2024,Jim Miller,Gabriel Benitez,http://ufcstats.com/fighter-details/d1941565abf50b16,http://ufcstats.com/fighter-details/436f970c9ea9169c,Jim Miller,Gabriel Benitez,40.37317672505253,35.579101555815654,-4.794075169236876,0.5893794380981784,1.6024096385542168,True,30.12048192771084,0,historical_import_fallback,http://ufcstats.com/fight-details/640f2ae3995b3b4f,zewnetrzne,us
2024-01-13,2024,Marcus McGhee,Gaston Bolanos,http://ufcstats.com/fighter-details/c0ac37a4a1133da9,http://ufcstats.com/fighter-details/96924b0019b3aff1,Marcus McGhee,Gaston Bolanos,33.687207813986596,31.329869880969493,-2.357337933017103,0.6853932584269663,1.4,True,19.999999999999996,0,historical_import_fallback,http://ufcstats.com/fight-details/03de7404decde12f,zewnetrzne,us
2024-01-13,2024,Farid Basharat,Taylor Lapilus,http://ufcstats.com/fighter-details/a09ed60aa67a3f67,http://ufcstats.com/fighter-details/8b1ed83b02303075,Farid Basharat,Taylor Lapilus,26.448181687508985,31.765197095080666,5.317015407571681,0.7449664429530202,1.2666666666666666,True,13.33333333333333,0,historical_import_fallback,http://ufcstats.com/fight-details/477c3b9de012e4b3,zewnetrzne,us
2024-01-13,2024,Ricky Simon,Mario Bautista,http://ufcstats.com/fighter-details/5987b2458f4b5290,http://ufcstats.com/fighter-details/bc711b6dd95c1af6,Ricky Simon,Mario Bautista,31.36820057906733,30.535876848942824,-0.8323237301245072,0.6067415730337078,1.5555555555555556,False,-50.0,0,historical_import_fallback,http://ufcstats.com/fight-details/a8239866e1222eae,zewnetrzne,us
2024-01-13,2024,Joshua Van,Felipe Bunes,http://ufcstats.com/fighter-details/17e97649403ba428,http://ufcstats.com/fighter-details/53c10176e3bc7416,Joshua Van,Felipe Bunes,22.25918396681657,34.20741014531441,11.948226178497844,0.7055341817105653,1.3355704697986577,True,16.778523489932883,0,historical_import_fallback,http://ufcstats.com/fight-details/fd29123ff92789e4,zewnetrzne,us
2024-01-13,2024,Magomed Ankalaev,Johnny Walker,http://ufcstats.com/fighter-details/d802174b0c0c1f4e,http://ufcstats.com/fighter-details/c21f26bbde777573,Magomed Ankalaev,Johnny Walker,31.614612209696297,31.78983825814356,0.1752260484472643,0.8042929292929294,1.1923076923076923,True,9.615384615384615,0,historical_import_fallback,http://ufcstats.com/fight-details/f2b407019b2a5c15,zewnetrzne,us
2024-01-13,2024,Phil Hawes,Brunno Ferreira,http://ufcstats.com/fighter-details/547afe1017e72dbe,http://ufcstats.com/fighter-details/1e719d4b676dc19a,Brunno Ferreira,Phil Hawes,31.190236623613078,35.012354805369036,3.8221181817559575,0.558797046641455,1.6896551724137931,True,34.48275862068966,0,historical_import_fallback,http://ufcstats.com/fight-details/d0d99889c6abd8e1,zewnetrzne,us
2024-01-13,2024,Westin Wilson,Jean Silva,http://ufcstats.com/fighter-details/7b3503352cd53abb,http://ufcstats.com/fighter-details/52ef95b5860fb28c,Jean Silva,Westin Wilson,27.083376113130317,34.96854829325722,7.885172180126904,0.8677165354330709,1.1052631578947367,True,5.263157894736836,0,historical_import_fallback,http://ufcstats.com/fight-details/0494ebcee93e717b,zewnetrzne,us
2024-01-13,2024,Matthew Semelsberger,Preston Parsons,http://ufcstats.com/fighter-details/4aa58269d0664b5b,http://ufcstats.com/fighter-details/9fe7af8b3fbe00a0,Matthew Semelsberger,Preston Parsons,31.138216390480295,28.498874035743377,-2.639342354736918,0.5306122448979592,1.7692307692307692,False,-50.0,0,historical_import_fallback,http://ufcstats.com/fight-details/5f622d812b8f407f,zewnetrzne,us
2024-01-13,2024,Nikolas Motta,Tom Nolan,http://ufcstats.com/fighter-details/37f560436d745c18,http://ufcstats.com/fighter-details/6c3b2525436cf5d4,Tom Nolan,Nikolas Motta,23.84990793787689,30.92739755094218,7.077489613065293,0.7508125677139762,1.2777777777777777,False,-50.0,0,historical_import_fallback,http://ufcstats.com/fight-details/5344e76e26503716,zewnetrzne,us
2024-01-20,2024,Neil Magny,Mike Malott,http://ufcstats.com/fighter-details/84b3e7d38f2d2ec5,http://ufcstats.com/fighter-details/dd6103dd7127db1d,Mike Malott,Neil Magny,32.20326221619882,36.46618342607993,4.262921209881107,0.76,1.263157894736842,False,-50.0,0,historical_import_fallback,http://ufcstats.com/fight-details/97817609ed46baa0,zewnetrzne,us
2024-01-20,2024,Chris Curtis,Marc-Andre Barriault,http://ufcstats.com/fighter-details/5442f1bc4b47eaf3,http://ufcstats.com/fighter-details/8e9eb3fc86db0f7d,Chris Curtis,Marc-Andre Barriault,36.518203659212716,33.919929909580624,-2.5982737496320922,0.6092362344582594,1.5714285714285714,True,28.57142857142857,0,historical_import_fallback,http://ufcstats.com/fight-details/ba5005d1116fa45f,zewnetrzne,us
2024-01-20,2024,Arnold Allen,Movsar Evloev,http://ufcstats.com/fighter-details/040a74bb0a465c54,http://ufcstats.com/fighter-details/76e2870ffafbe38f,Movsar Evloev,Arnold Allen,29.93901312141933,29.9937712615591,0.05475814013977143,0.6574752261956054,1.4587155963302751,True,22.935779816513758,0,historical_import_fallback,http://ufcstats.com/fight-details/1a7cd191f0cf160c,zewnetrzne,us
2024-01-20,2024,Raquel Pennington,Mayra Bueno Silva,http://ufcstats.com/fighter-details/fc169c387b4b465d,http://ufcstats.com/fighter-details/cc8c623cca88f54f,Mayra Bueno Silva,Raquel Pennington,32.41408105573694,35.37375853029152,2.9596774745545744,0.6037569709421778,1.5882352941176472,False,-50.0,0,historical_import_fallback,http://ufcstats.com/fight-details/faf15b752fb8924c,zewnetrzne,us
2024-01-20,2024,Yohan Lainesse,Sam Patterson,http://ufcstats.com/fighter-details/f998f5c102250d6e,http://ufcstats.com/fighter-details/8b6e5dc2ba1edbe7,Yohan Lainesse,Sam Patterson,31.433910347235056,27.72404635276563,-3.7098639944694263,0.5634920634920635,1.704225352112676,False,-50.0,0,historical_import_fallback,http://ufcstats.com/fight-details/a10e2d5416972b9c,zewnetrzne,us
2024-01-20,2024,Sean Strickland,Dricus Du Plessis,http://ufcstats.com/fighter-details/0d8011111be000b2,http://ufcstats.com/fighter-details/0d7b51c9d2649a6e,Dricus Du Plessis,Sean Strickland,30.015674517615007,32.89595268896692,2.8802781713519146,0.5043297540699689,1.8928571428571428,True,44.64285714285714,0,historical_import_fallback,http://ufcstats.com/fight-details/14e53999507c76a7,zewnetrzne,us
2024-01-20,2024,Serhiy Sidey,Ramon Taveras,http://ufcstats.com/fighter-details/1a2bf44edb8055b6,http://ufcstats.com/fighter-details/c5ccd878231c5407,Serhiy Sidey,Ramon Taveras,27.546082397311373,30.02936405264995,2.483281655338576,0.6369041816941222,1.5050505050505052,False,-50.0,0,historical_import_fallback,http://ufcstats.com/fight-details/43d90683078fcee5,zewnetrzne,us
2024-01-20,2024,Jasmine Jasudavicius,Priscila Cachoeira,http://ufcstats.com/fighter-details/a9e260472d321361,http://ufcstats.com/fighter-details/b1e5bcaad32a3cac,Jasmine Jasudavicius,Priscila Cachoeira,34.88914899005455,35.42030294941032,0.5311539593557697,0.7768331562167907,1.2352941176470589,True,11.764705882352944,0,historical_import_fallback,http://ufcstats.com/fight-details/7736eb6bd5c1ff4a,zewnetrzne,us
2024-01-20,2024,Brad Katona,Garrett Armfield,http://ufcstats.com/fighter-details/7b433309b0fd12aa,http://ufcstats.com/fighter-details/1effd880e1f1bb30,Brad Katona,Garrett Armfield,32.08827012190531,27.28050541763349,-4.807764704271822,0.6750312469954812,1.4201680672268908,False,-50.0,0,historical_import_fallback,http://ufcstats.com/fight-details/670e4754d8d3d172,zewnetrzne,us
2024-01-20,2024,Gillian Robertson,Polyana Viana,http://ufcstats.com/fighter-details/38c7f72747f4f712,http://ufcstats.com/fighter-details/9673a497a9da119a,Gillian Robertson,Polyana Viana,28.679575898204618,31.600922674661355,2.921346776456737,0.7179705215419501,1.3355704697986577,True,16.778523489932883,0,historical_import_fallback,http://ufcstats.com/fight-details/dff2685afd98ed9e,zewnetrzne,us
2024-01-20,2024,Charles Jourdain,Sean Woodson,http://ufcstats.com/fighter-details/f1d64ae34e088832,http://ufcstats.com/fighter-details/4682bc59d5f55145,Charles Jourdain,Sean Woodson,28.148421938848845,31.620088023710274,3.471666084861429,0.6574752261956054,1.4587155963302751,False,-50.0,0,historical_import_fallback,http://ufcstats.com/fight-details/331ddc1141e934d1,zewnetrzne,us
2024-02-03,2024,Renato Moicano,Drew Dober,http://ufcstats.com/fighter-details/b6452706b373eea1,http://ufcstats.com/fighter-details/519e4fe37ce9ff75,Renato Moicano,Drew Dober,34.70570922058632,35.291621320081866,0.5859120994955447,0.644729178800233,1.4878048780487805,True,24.390243902439025,0,historical_import_fallback,http://ufcstats.com/fight-details/733e675fd7c0052a,zewnetrzne,us
2024-02-03,2024,Randy Brown,Muslim Salikhov,http://ufcstats.com/fighter-details/c6aee362c7a7d482,http://ufcstats.com/fighter-details/447f9858ae78f921,Randy Brown,Muslim Salikhov,33.574953626700065,39.653107182214555,6.07815355551449,0.6957699520733487,1.3773584905660377,True,18.867924528301884,0,historical_import_fallback,http://ufcstats.com/fight-details/af6d56860ba4d259,zewnetrzne,us
2024-02-03,2024,Gilbert Urbina,Charles Radtke,http://ufcstats.com/fighter-details/b12fb759e02378de,http://ufcstats.com/fighter-details/feedf3053472fe56,Gilbert Urbina,Charles Radtke,27.83082472603818,33.57221571969308,5.741390993654896,0.6574752261956054,1.4587155963302751,False,-50.0,0,historical_import_fallback,http://ufcstats.com/fight-details/330d86bfaa4155fe,zewnetrzne,us
2024-02-03,2024,Roman Dolidze,Nassourdine Imavov,http://ufcstats.com/fighter-details/327d5f279895110d,http://ufcstats.com/fighter-details/881bf86d4cba8578,Nassourdine Imavov,Roman Dolidze,28.928725435840573,35.55446039275276,6.625734956912186,0.6164383561643836,1.5555555555555556,True,27.77777777777778,0,historical_import_fallback,http://ufcstats.com/fight-details/767ceb4a0cb43ade,zewnetrzne,us
2024-02-03,2024,Viviane Araujo,Natalia Silva,http://ufcstats.com/fighter-details/36541f1e6c5d4955,http://ufcstats.com/fighter-details/262d32ebda89efc4,Natalia Silva,Viviane Araujo,26.998500995913673,37.20268041095984,10.20417941504617,0.7408716136631331,1.2941176470588236,True,14.70588235294118,0,historical_import_fallback,http://ufcstats.com/fight-details/7b1882dc76786d77,zewnetrzne,us
2024-02-10,2024,Brad Tavares,Gregory Rodrigues,http://ufcstats.com/fighter-details/0c6d9ea8306c029e,http://ufcstats.com/fighter-details/d1c65d2cf2925ddd,Gregory Rodrigues,Brad Tavares,31.981491748632756,36.140372492248304,4.158880743615548,0.6690070210631895,1.434782608695652,True,21.739130434782606,0,historical_import_fallback,http://ufcstats.com/fight-details/e7938bac3ec8b442,zewnetrzne,us
2024-02-10,2024,Robert Bryczek,Ihor Potieria,http://ufcstats.com/fighter-details/f96856f9d69fd7e4,http://ufcstats.com/fighter-details/260bd4cef10b033f,Robert Bryczek,Ihor Potieria,33.605070603776944,27.70214309670972,-5.902927507067226,0.6690070210631895,1.434782608695652,False,-50.0,0,historical_import_fallback,http://ufcstats.com/fight-details/17050a7b673dc49d,zewnetrzne,us
2024-02-10,2024,Michael Johnson,Darrius Flowers,http://ufcstats.com/fighter-details/511e82663651438d,http://ufcstats.com/fighter-details/65db4065e2bc107d,Michael Johnson,Darrius Flowers,37.68728995119681,29.46261730220333,-8.22467264899348,0.5829926410466068,1.6451612903225803,True,32.25806451612902,0,historical_import_fallback,http://ufcstats.com/fight-details/5304956aada097e8,zewnetrzne,us
2024-02-10,2024,Rodolfo Vieira,Armen Petrosyan,http://ufcstats.com/fighter-details/260e9e0d4954aea6,http://ufcstats.com/fighter-details/369ea36e450ae62a,Armen Petrosyan,Rodolfo Vieira,33.273783855931335,34.3771603797477,1.1033765238163653,0.5108342361863489,1.869565217391304,False,-50.0,0,historical_import_fallback,http://ufcstats.com/fight-details/9d8473ae274ed625,zewnetrzne,us
2024-02-10,2024,Dan Ige,Andre Fili,http://ufcstats.com/fighter-details/82a5152216251682,http://ufcstats.com/fighter-details/8fd808923cffff82,Dan Ige,Andre Fili,32.515383614995514,33.62971176683984,1.114328151844326,0.6224665518611737,1.5405405405405406,True,27.027027027027028,0,historical_import_fallback,http://ufcstats.com/fight-details/25259e230be9cdc9,zewnetrzne,us
2024-02-10,2024,Jack Hermansson,Joe Pyfer,http://ufcstats.com/fighter-details/0a1942069c9ad6b6,http://ufcstats.com/fighter-details/c1085e1701b13eca,Joe Pyfer,Jack Hermansson,27.398235418933996,35.66945248704628,8.271217068112282,0.6853932584269663,1.4,False,-50.0,0,historical_import_fallback,http://ufcstats.com/fight-details/406f2aacd1d1faf9,zewnetrzne,us
2024-02-10,2024,Trevin Giles,Carlos Prates,http://ufcstats.com/fighter-details/b27a1fcb56a3035a,http://ufcstats.com/fighter-details/7ee0fd831c0fe7c3,Carlos Prates,Trevin Giles,30.483856615810044,31.513309650437723,1.0294530346276787,0.690792883054068,1.3875968992248062,True,19.379844961240313,0,historical_import_fallback,http://ufcstats.com/fight-details/246fef4b19c3a7ed,zewnetrzne,us
