event_name,event_date,status,score,href,bfo_label,matched_fights,bfo_bouts
UFC Fight Night 234 - Ankalaev vs. Walker 2,2024-01-13,ok,85.5,/events/ufc-fight-night-santos-vs-walker-2167,UFC Fight Night: Santos vs. Walker,0.0,50.0
UFC 297 - Strickland vs. Du Plessis,2024-01-20,ok,210.0,/events/ufc-297-3106,UFC 297,2.0,43.0
UFC Fight Night 235 - Dolidze vs. Imavov,2024-02-03,ok,85.5,/events/ufc-fight-night-dolidze-vs-hernandez-odds-3789,UFC Fight Night: Dolidze vs. Hernandez Odds,0.0,50.0
UFC Fight Night 236 - Hermansson vs. Pyfer,2024-02-10,no_odds_rows,85.5,/events/ufc-on-espn-8-jacare-vs-hermansson-1657,UFC on ESPN+ 8: Jacare vs. Hermansson,,
UFC 298 - Volkanovski vs. Topuria,2024-02-17,ok,210.0,/events/ufc-298-3112,UFC 298,1.0,39.0
UFC Fight Night 237 - Moreno vs. Royval 2,2024-02-24,no_odds_rows,85.5,/events/ufc-fight-night-114-pettis-vs-moreno-1307,UFC Fight Night 114: Pettis vs. Moreno,,
UFC Fight Night 238 - Rozenstruik vs. Gaziev,2024-03-02,ok,90.0,/events/ufc-fight-night-186-rozenstruik-vs-gane-2039,UFC Fight Night 186: Rozenstruik vs. Gane,0.0,36.0
UFC 299 - O'Malley vs. Vera 2,2024-03-09,ok,210.0,/events/ufc-299-3155,UFC 299,4.0,48.0
UFC Fight Night 239 - Tuivasa vs. Tybura,2024-03-16,ok,86.66666666666667,/events/ufc-fight-night-gane-vs-tuivasa-2518,UFC Fight Night: Gane vs. Tuivasa,0.0,52.0
UFC on ESPN 53 - Ribas vs. Namajunas,2024-03-23,no_odds_rows,85.5,/events/ufc-fight-night-80-vanzant-vs-namajunas-1023,UFC Fight Night 80: VanZant vs. Namajunas,,
UFC on ESPN 54 - Blanchfield vs. Fiorot,2024-03-30,no_odds_rows,85.5,/events/ufc-on-espn-1-cejudo-vs-dillashaw-1623,UFC on ESPN+ 1: Cejudo vs. Dillashaw,,
UFC Fight Night 240 - Allen vs. Curtis 2,2024-04-06,ok,85.5,/events/ufc-fight-night-holloway-vs-allen-2796,UFC Fight Night: Holloway vs. Allen,0.0,58.0
UFC 300 - Pereira vs. Hill,2024-04-13,ok,210.0,/events/ufc-300-3205,UFC 300,3.0,38.0
UFC on ESPN 55 - Nicolau vs. Perez,2024-04-27,no_odds_rows,85.5,/events/ufc-255-figueiredo-vs-perez-1967,UFC 255: Figueiredo vs. Perez,,
UFC 301 - Pantoja vs. Erceg,2024-05-04,no_odds_rows,85.5,/events/ufc-73-stacked-1,UFC 73: Stacked,,
UFC on ESPN 56 - Lewis vs. Nascimento,2024-05-11,no_odds_rows,85.5,/events/ufc-fight-night-102-lewis-vs-abdurakhimov-1203,UFC Fight Night 102: Lewis vs. Abdurakhimov,,
UFC Fight Night 241 - Barboza vs. Murphy,2024-05-18,no_odds_rows,85.5,/events/ufc-fight-night-128-barboza-vs-lee-1455,UFC Fight Night 128: Barboza vs. Lee,,
UFC 302 - Makhachev vs. Poirier,2024-06-01,ok,85.5,/events/ufc-on-espn-makhachev-vs-moises-2139,UFC on ESPN: Makhachev vs. Moises,0.0,44.0
UFC on ESPN 57 - Cannonier vs. Imavov,2024-06-08,no_odds_rows,85.5,/events/ufc-on-espn-18-hermansson-vs-cannonier-1747,UFC on ESPN+ 18: Hermansson vs. Cannonier,,
UFC on ESPN 58 - Perez vs. Taira,2024-06-15,ok,85.5,/events/ufc-fight-night-albazi-vs-taira-odds-3777,UFC Fight Night: Albazi vs Taira Odds,0.0,43.0
UFC on ABC 6 - Whittaker vs. Aliskerov,2024-06-22,no_odds_rows,85.5,/events/ufc-fight-night-101-whittaker-vs-brunson-1191,UFC Fight Night 101: Whittaker vs. Brunson,,
UFC 303 - Pereira vs. Prochazka 2,2024-06-29,ok,210.0,/events/ufc-303-3283,UFC 303,1.0,42.0
UFC on ESPN 59 - Namajunas vs. Cortez,2024-07-13,no_odds_rows,85.5,/events/ufc-fight-night-80-vanzant-vs-namajunas-1023,UFC Fight Night 80: VanZant vs. Namajunas,,
UFC on ESPN 60 - Lemos vs. Jandiroba,2024-07-20,ok,85.5,/events/ufc-fight-night-lemos-vs-andrade-2435,UFC Fight Night: Lemos vs. Andrade,0.0,55.0
UFC 304 - Edwards vs. Muhammad 2,2024-07-27,ok,185.5,/events/ufc-fight-night-187-edwards-vs-muhammad-2048,UFC Fight Night 187: Edwards vs. Muhammad,0.0,52.0
UFC on ABC 7 - Sandhagen vs. Nurmagomedov,2024-08-03,ok,190.0,/events/ufc-fight-night-sandhagen-vs-nurmagomedov-2936,UFC Fight Night: Sandhagen vs. Nurmagomedov,0.0,17.0
UFC on ESPN 61 - Tybura vs. Spivac 2,2024-08-10,no_odds_rows,85.5,/events/ufc-fight-night-121-werdum-vs-tybura-1354,UFC Fight Night 121: Werdum vs. Tybura,,
UFC 305 - Du Plessis vs. Adesanya,2024-08-17,no_odds_rows,85.5,/events/ufc-the-ultimate-fighter-27-finale-tavares-vs-adesanya-1503,UFC: The Ultimate Fighter 27 Finale: Tavares vs. Adesanya,,
UFC on ESPN 62 - Cannonier vs. Borralho,2024-08-24,no_odds_rows,85.5,/events/ufc-on-espn-18-hermansson-vs-cannonier-1747,UFC on ESPN+ 18: Hermansson vs. Cannonier,,
UFC Fight Night 242 - Burns vs. Brady,2024-09-07,no_odds_rows,85.5,/events/ufc-on-espn-9-woodley-vs-burns-1910,UFC on ESPN 9: Woodley vs. Burns,,
UFC 306 - Noche UFC: O'Malley vs. Dvalishvili,2024-09-14,ok,210.0,/events/ufc-306-3399,UFC 306,0.0,4.0
UFC Fight Night 243 - Moicano vs. St. Denis,2024-09-28,no_odds_rows,85.5,/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680,UFC on ESPN+ 12: Moicano vs. The Korean Zombie,,
UFC 307 - Pereira vs. Rountree,2024-10-05,ok,210.0,/events/ufc-307-3449,UFC 307,0.0,12.0
UFC Fight Night 244 - Royval vs. Taira,2024-10-12,ok,85.5,/events/ufc-fight-night-albazi-vs-taira-odds-3777,UFC Fight Night: Albazi vs Taira Odds,0.0,43.0
UFC Fight Night 245 - Hernandez vs. Pereira,2024-10-19,ok,85.5,/events/ufc-fight-night-dolidze-vs-hernandez-odds-3789,UFC Fight Night: Dolidze vs. Hernandez Odds,0.0,50.0
UFC 308 - Topuria vs. Holloway,2024-10-26,no_odds_rows,85.5,/events/ufc-fight-night-74-holloway-vs-oliveira-984,UFC Fight Night 74: Holloway vs. Oliveira,,
UFC Fight Night 246 - Moreno vs. Albazi,2024-11-02,ok,85.5,/events/ufc-fight-night-albazi-vs-taira-odds-3777,UFC Fight Night: Albazi vs Taira Odds,0.0,43.0
UFC Fight Night 247 - Magny vs. Prates,2024-11-09,no_odds_rows,85.5,/events/ufc-fight-night-78-magny-vs-gastelum-999,UFC Fight Night 78: Magny vs. Gastelum,,
UFC 309 - Jones vs. Miocic,2024-11-16,no_odds_rows,85.5,/events/ufc-on-fuel-tv-5-struve-vs-miocic-569,UFC on FUEL TV 5: Struve vs. Miocic,,
UFC Fight Night 248 - Yan vs. Figueiredo,2024-11-23,no_odds_rows,85.5,/events/ufc-on-espn-27-benavidez-vs-figueiredo-1862,UFC on ESPN+ 27: Benavidez vs. Figueiredo,,
UFC 310 - Pantoja vs. Asakura,2024-12-07,no_odds_rows,85.5,/events/ufc-73-stacked-1,UFC 73: Stacked,,
UFC on ESPN 63 - Covington vs. Buckley,2024-12-14,no_odds_rows,85.71428571428572,/events/ufc-on-espn-36-covington-vs-woodley-1944,UFC on ESPN+ 36: Covington vs. Woodley,,
UFC Fight Night 249 - Dern vs. Ribas 2,2025-01-11,ok,85.5,/events/ufc-fight-night-dern-vs-rodriguez-2173,UFC Fight Night: Dern vs. Rodriguez,0.0,42.0
UFC 311 - Makhachev vs. Moicano,2025-01-18,ok,210.0,/events/ufc-311-3596,UFC 311,0.0,8.0
UFC Fight Night 250 - Adesanya vs. Imavov,2025-02-01,no_odds_rows,85.5,/events/ufc-the-ultimate-fighter-27-finale-tavares-vs-adesanya-1503,UFC: The Ultimate Fighter 27 Finale: Tavares vs. Adesanya,,
UFC 312 - Du Plessis vs. Strickland 2,2025-02-08,ok,85.5,/events/ufc-fight-night-strickland-vs-magomedov-2871,UFC Fight Night: Strickland vs. Magomedov,0.0,28.0
UFC Fight Night 251 - Cannonier vs. Rodrigues,2025-02-15,no_odds_rows,85.5,/events/ufc-on-espn-18-hermansson-vs-cannonier-1747,UFC on ESPN+ 18: Hermansson vs. Cannonier,,
