event_date,year,fighter_1,fighter_2,favorite,underdog,favorite_age,underdog_age,younger_advantage,market_prob,favorite_decimal_odds,won,profit,snapshot_mode,source_dataset,fight_key
2024-01-13,2024,Andrei Arlovski,Waldo Cortes-Acosta,Waldo Cortes-Acosta,Andrei Arlovski,32.279923612394505,44.94000561270936,12.660082000314858,0.8115183246073299,1.1612903225806452,True,8.064516129032262,historical_import_fallback,exact_id_ufcstats_mirror,2024-01-13|andrei arlovski|waldo cortes acosta
2024-01-13,2024,Farid Basharat,Taylor Lapilus,Farid Basharat,Taylor Lapilus,26.448181687508985,31.765197095080666,5.317015407571681,0.7449664429530202,1.2666666666666666,True,13.33333333333333,historical_import_fallback,exact_id_ufcstats_mirror,2024-01-13|farid basharat|taylor lapilus
2024-01-13,2024,Joshua Van,Felipe Bunes,Joshua Van,Felipe Bunes,22.25918396681657,34.20741014531441,11.948226178497844,0.7055341817105653,1.3355704697986577,True,16.778523489932883,historical_import_fallback,exact_id_ufcstats_mirror,2024-01-13|felipe bunes|joshua van
2024-01-13,2024,Westin Wilson,Jean Silva,Jean Silva,Westin Wilson,27.08337611313032,34.96854829325722,7.885172180126904,0.8677165354330709,1.1052631578947367,True,5.263157894736836,historical_import_fallback,exact_id_ufcstats_mirror,2024-01-13|jean silva|westin wilson
2024-01-13,2024,Nikolas Motta,Tom Nolan,Tom Nolan,Nikolas Motta,23.84990793787689,30.92739755094218,7.077489613065293,0.7508125677139762,1.2777777777777777,False,-50.0,historical_import_fallback,exact_id_ufcstats_mirror,2024-01-13|nikolas motta|tom nolan
2024-01-20,2024,Neil Magny,Mike Malott,Mike Malott,Neil Magny,32.20326221619882,36.46618342607993,4.262921209881107,0.76,1.263157894736842,False,-50.0,historical_import_fallback,exact_id_ufcstats_mirror,2024-01-20|mike malott|neil magny
2024-02-03,2024,Viviane Araujo,Natalia Silva,Natalia Silva,Viviane Araujo,26.998500995913677,37.20268041095984,10.20417941504617,0.740871613663133,1.2941176470588236,True,14.70588235294118,historical_import_fallback,exact_id_ufcstats_mirror,2024-02-03|natalia silva|viviane araujo
2024-02-17,2024,Oban Elliott,Val Woodburn,Oban Elliott,Val Woodburn,26.163439358782178,30.52218731390788,4.358747955125704,0.76,1.263157894736842,True,13.157894736842104,historical_import_fallback,exact_id_ufcstats_mirror,2024-02-17|oban elliott|val woodburn
2024-02-17,2024,Rinya Nakamura,Carlos Vera,Rinya Nakamura,Carlos Vera,28.906822179784665,36.28548156361869,7.378659383834027,0.8988580750407832,1.0689655172413792,True,3.4482758620689613,historical_import_fallback,exact_id_ufcstats_mirror,2024-02-17|carlos vera|rinya nakamura
2024-02-24,2024,Yazmin Jauregui,Sam Hughes,Yazmin Jauregui,Sam Hughes,24.988877252784107,31.658418721808115,6.669541469024008,0.8524590163934427,1.125,True,6.25,historical_import_fallback,exact_id_ufcstats_mirror,2024-02-24|sam hughes|yazmin jauregui
2024-02-24,2024,Victor Altamirano,Felipe dos Santos,Felipe dos Santos,Victor Altamirano,23.45291142186356,33.08760617945612,9.63469475759256,0.7095435684647303,1.350877192982456,True,17.543859649122794,historical_import_fallback,exact_id_ufcstats_mirror,2024-02-24|felipe dos santos|victor altamirano
2024-02-24,2024,Erik Silva,Muhammad Naimov,Muhammad Naimov,Erik Silva,29.550230326426963,36.94531715230292,7.395086825875957,0.8118668596237337,1.181818181818182,True,9.090909090909104,historical_import_fallback,exact_id_ufcstats_mirror,2024-02-24|erik silva|muhammad naimov
2024-03-02,2024,Matt Schnell,Steve Erceg,Steve Erceg,Matt Schnell,28.60017659500195,34.12801084211175,5.527834247109798,0.7957758771164252,1.2061855670103092,True,10.30927835051546,historical_import_fallback,exact_id_ufcstats_mirror,2024-03-02|matt schnell|steve erceg
2024-03-02,2024,Vitor Petrino,Tyson Pedro,Vitor Petrino,Tyson Pedro,26.51115354866972,32.45788756784876,5.94673401917904,0.786743515850144,1.21978021978022,True,10.989010989011003,historical_import_fallback,exact_id_ufcstats_mirror,2024-03-02|tyson pedro|vitor petrino
2024-03-02,2024,Alex Perez,Muhammad Mokaev,Muhammad Mokaev,Alex Perez,23.58980677221298,31.94863686454889,8.358830092335914,0.771505376344086,1.2439024390243902,True,12.195121951219512,historical_import_fallback,exact_id_ufcstats_mirror,2024-03-02|alex perez|muhammad mokaev
2024-03-02,2024,Aiemann Zahabi,Javid Basharat,Javid Basharat,Aiemann Zahabi,28.48518450070843,36.28548156361869,7.800297062910257,0.8524590163934426,1.125,False,-50.0,historical_import_fallback,exact_id_ufcstats_mirror,2024-03-02|aiemann zahabi|javid basharat
2024-03-09,2024,Mateusz Gamrot,Rafael Dos Anjos,Mateusz Gamrot,Rafael Dos Anjos,33.24366687885446,39.36836485348775,6.1246979746332855,0.7957758771164253,1.2061855670103092,True,10.30927835051546,historical_import_fallback,exact_id_ufcstats_mirror,2024-03-09|mateusz gamrot|rafael dos anjos
2024-03-16,2024,Ovince Saint Preux,Kennedy Nzechukwu,Kennedy Nzechukwu,Ovince Saint Preux,31.7569833740597,40.93992347549916,9.182940101439456,0.827123695976155,1.16,False,-50.0,historical_import_fallback,exact_id_ufcstats_mirror,2024-03-16|kennedy nzechukwu|ovince saint preux
2024-03-23,2024,Montserrat Rendon,Daria Zhelezniakova,Daria Zhelezniakova,Montserrat Rendon,28.16484938089078,35.02056852639,6.855719145499222,0.7220792588780236,1.3278688524590163,True,16.393442622950815,historical_import_fallback,exact_id_ufcstats_mirror,2024-03-23|daria zhelezniakova|montserrat rendon
2024-04-06,2024,Ignacio Bahamondes,Christos Giagos,Ignacio Bahamondes,Christos Giagos,26.609718200921304,34.20193433130044,7.592216130379132,0.725752508361204,1.3225806451612905,True,16.129032258064523,historical_import_fallback,exact_id_ufcstats_mirror,2024-04-06|christos giagos|ignacio bahamondes
2024-04-06,2024,Court McGee,Alex Morono,Alex Morono,Court McGee,33.640663394867794,39.31634462035497,5.675681225487175,0.7508125677139762,1.2777777777777777,True,13.888888888888884,historical_import_fallback,exact_id_ufcstats_mirror,2024-04-06|alex morono|court mcgee
2024-04-13,2024,Holly Holm,Kayla Harrison,Kayla Harrison,Holly Holm,33.7830345592312,42.48957884145465,8.706544282223454,0.786743515850144,1.21978021978022,True,10.989010989011003,historical_import_fallback,exact_id_ufcstats_mirror,2024-04-13|holly holm|kayla harrison
2024-05-04,2024,Karolina Kowalkiewicz,Iasmin Lucindo,Iasmin Lucindo,Karolina Kowalkiewicz,22.319417920970317,38.55246856540518,16.233050644434865,0.7477827050997783,1.2816901408450705,True,14.084507042253524,historical_import_fallback,exact_id_ufcstats_mirror,2024-05-04|iasmin lucindo|karolina kowalkiewicz
2024-05-04,2024,Paul Craig,Caio Borralho,Caio Borralho,Paul Craig,31.29701499688563,36.43606644900306,5.139051452117428,0.8042929292929293,1.1923076923076923,True,9.615384615384617,historical_import_fallback,exact_id_ufcstats_mirror,2024-05-04|caio borralho|paul craig
2024-05-04,2024,Anthony Smith,Vitor Petrino,Vitor Petrino,Anthony Smith,26.683641690109997,35.77349295331184,9.089851263201844,0.771505376344086,1.2439024390243902,False,-50.0,historical_import_fallback,exact_id_ufcstats_mirror,2024-05-04|anthony smith|vitor petrino
2024-06-08,2024,Raul Rosas Jr.,Ricky Turcios,Raul Rosas Jr.,Ricky Turcios,19.66638603119845,31.00953476115184,11.343148729953388,0.7055341817105653,1.3355704697986577,True,16.778523489932883,historical_import_fallback,exact_id_ufcstats_mirror,2024-06-08|raul rosas|ricky turcios
2024-06-15,2024,Jeka Saragih,Westin Wilson,Jeka Saragih,Westin Wilson,29.454403581182365,35.39018597233345,5.935782391151083,0.7380410022779044,1.2777777777777777,False,-50.0,historical_import_fallback,exact_id_ufcstats_mirror,2024-06-15|jeka saragih|westin wilson
2024-06-22,2024,Rinat Fakhretdinov,Nicolas Dalby,Rinat Fakhretdinov,Nicolas Dalby,32.7344161755546,39.59834904207479,6.863932866520187,0.7659021045164341,1.2531645569620251,True,12.658227848101255,historical_import_fallback,exact_id_ufcstats_mirror,2024-06-22|nicolas dalby|rinat fakhretdinov
2024-06-29,2024,Joe Pyfer,Marc-Andre Barriault,Joe Pyfer,Marc-Andre Barriault,27.781542399912382,34.36073293770577,6.579190537793384,0.7307110438729199,1.289855072463768,True,14.492753623188404,historical_import_fallback,exact_id_ufcstats_mirror,2024-06-29|joe pyfer|marc andre barriault
2024-07-13,2024,Julian Erosa,Christian Rodriguez,Christian Rodriguez,Julian Erosa,26.571387502823463,34.95212085121529,8.380733348391825,0.700162074554295,1.3703703703703702,False,-50.0,historical_import_fallback,exact_id_ufcstats_mirror,2024-07-13|christian rodriguez|julian erosa
2024-07-13,2024,Joshua Van,Charles Johnson,Joshua Van,Charles Johnson,22.757483042088477,33.506505951525355,10.74902290943688,0.700162074554295,1.3703703703703702,False,-50.0,historical_import_fallback,exact_id_ufcstats_mirror,2024-07-13|charles johnson|joshua van
2024-07-13,2024,Gabriel Bonfim,Ange Loosa,Gabriel Bonfim,Ange Loosa,26.8971984366551,31.321656159948528,4.424457723293429,0.771505376344086,1.2439024390243902,True,12.195121951219512,historical_import_fallback,exact_id_ufcstats_mirror,2024-07-13|ange loosa|gabriel bonfim
2024-07-27,2024,Nathaniel Wood,Daniel Pineda,Nathaniel Wood,Daniel Pineda,31.22035360068995,38.974106244481405,7.753752643791454,0.7783132530120482,1.2105263157894737,True,10.526315789473683,historical_import_fallback,exact_id_ufcstats_mirror,2024-07-27|daniel pineda|nathaniel wood
2024-07-27,2024,Arnold Allen,Giga Chikadze,Arnold Allen,Giga Chikadze,30.511235685879928,35.92133993168922,5.41010424580929,0.700162074554295,1.3703703703703702,True,18.518518518518512,historical_import_fallback,exact_id_ufcstats_mirror,2024-07-27|arnold allen|giga chikadze
2024-08-10,2024,Danny Barlow,Nikolay Veretennikov,Danny Barlow,Nikolay Veretennikov,29.02455218108517,34.63452363840462,5.609971457319453,0.7640449438202247,1.2352941176470589,True,11.764705882352944,historical_import_fallback,exact_id_ufcstats_mirror,2024-08-10|danny barlow|nikolay veretennikov
2024-08-17,2024,Li Jingliang,Carlos Prates,Carlos Prates,Li Jingliang,31.001321040130872,36.41142528594016,5.41010424580929,0.771505376344086,1.2439024390243902,True,12.195121951219512,historical_import_fallback,exact_id_ufcstats_mirror,2024-08-17|carlos prates|li jingliang
2024-08-17,2024,Jack Jenkins,Herbert Burns,Jack Jenkins,Herbert Burns,30.787764293585766,36.54010691526862,5.752342621682857,0.8647058823529412,1.0952380952380951,True,4.761904761904756,historical_import_fallback,exact_id_ufcstats_mirror,2024-08-17|herbert burns|jack jenkins
2024-08-24,2024,Neil Magny,Michael Morales,Michael Morales,Neil Magny,25.16957911524535,37.06030924659644,11.890730131351088,0.863013698630137,1.1111111111111112,True,5.555555555555558,historical_import_fallback,exact_id_ufcstats_mirror,2024-08-24|michael morales|neil magny
2024-08-24,2024,Jared Cannonier,Caio Borralho,Caio Borralho,Jared Cannonier,31.603660581668343,40.44162440022725,8.837963818558904,0.7335423197492162,1.3076923076923077,True,15.384615384615383,historical_import_fallback,exact_id_ufcstats_mirror,2024-08-24|caio borralho|jared cannonier
2024-08-24,2024,Edmen Shahbazyan,Gerald Meerschaert,Edmen Shahbazyan,Gerald Meerschaert,26.760303086305672,36.685215986639015,9.924912900333345,0.7335423197492164,1.3076923076923077,False,-50.0,historical_import_fallback,exact_id_ufcstats_mirror,2024-08-24|edmen shahbazyan|gerald meerschaert
2024-09-14,2024,Yazmin Jauregui,Ketlen Souza,Yazmin Jauregui,Ketlen Souza,25.544672375202776,30.07590847176876,4.53123609656598,0.8081570996978852,1.1869158878504673,False,-50.0,historical_import_fallback,exact_id_ufcstats_mirror,2024-09-14|ketlen souza|yazmin jauregui
2024-09-14,2024,Edgar Chairez,Joshua Van,Joshua Van,Edgar Chairez,22.92997118352875,28.63303147908581,5.703060295557062,0.7050331642606321,1.359712230215827,True,17.985611510791355,historical_import_fallback,exact_id_ufcstats_mirror,2024-09-14|edgar chairez|joshua van
2024-09-28,2024,Morgan Charriere,Gabriel Miranda,Morgan Charriere,Gabriel Miranda,28.925987528833584,34.51405573009713,5.588068201263543,0.8042929292929294,1.1923076923076923,True,9.615384615384617,historical_import_fallback,exact_id_ufcstats_mirror,2024-09-28|gabriel miranda|morgan charriere
2024-10-12,2024,CJ Vergara,Ramazan Temirov,Ramazan Temirov,CJ Vergara,27.696667282695746,33.32032827505014,5.623660992354395,0.7179705215419501,1.3355704697986577,True,16.778523489932883,historical_import_fallback,exact_id_ufcstats_mirror,2024-10-12|cj vergara|ramazan temirov
2024-10-19,2024,Rob Font,Kyler Phillips,Kyler Phillips,Rob Font,29.35583892893078,37.32041041226034,7.964571483329564,0.827123695976155,1.16,False,-50.0,historical_import_fallback,exact_id_ufcstats_mirror,2024-10-19|kyler phillips|rob font
