family,rule,n,wins,losses,win_rate,roi,pre_n,pre_roi,recent_n,recent_roi,removed_n,removed_wins,removed_losses,removed_roi,loss_capture_rate,winner_removal_rate,roi_change_pp,win_change_pp,sample_retained,promotion_screen
POWER RISK PRODUCT,veto opponent KD/15 * favorite KDabs/15 >= 0.12,42,42,0,1.0,0.2385599837735498,23,0.24118566563285476,19,0.23538152678597019,12,9,3,-0.041340248645591667,1.0,0.17647058823529413,6.2200051648698125,5.555555555555558,0.7777777777777778,True
POWER RISK PRODUCT,veto opponent KD/15 * favorite KDabs/15 >= 0.10,39,39,0,1.0,0.23609041403438438,20,0.2367638569203779,19,0.23538152678597019,15,12,3,0.02106067916006673,1.0,0.23529411764705882,5.97304819095327,5.555555555555558,0.7222222222222222,True
POWER TWO-FACTOR,veto oppKD15>=0.350 AND favKDabs15>=0.150,39,39,0,1.0,0.23577176002890354,20,0.23614248160969026,19,0.23538152678597019,15,12,3,0.021889179574316936,1.0,0.23529411764705882,5.941182790405186,5.555555555555558,0.7222222222222222,True
POWER RISK PRODUCT,veto opponent KD/15 * favorite KDabs/15 >= 0.09,38,38,0,1.0,0.2352857758072191,20,0.2367638569203779,18,0.23364346345926482,16,13,3,0.03641105337922921,1.0,0.2549019607843137,5.892584368236742,5.555555555555558,0.7037037037037037,True
POWER TWO-FACTOR,veto oppKD15>=0.350 AND favKDabs15>=0.050,38,38,0,1.0,0.23495873617001506,20,0.23614248160969026,18,0.23364346345926482,16,13,3,0.03718777251758878,1.0,0.2549019607843137,5.859880404516337,5.555555555555558,0.7037037037037037,True
POWER TWO-FACTOR,veto oppKD15>=0.350 AND favKDabs15>=0.100,38,38,0,1.0,0.23495873617001506,20,0.23614248160969026,18,0.23364346345926482,16,13,3,0.03718777251758878,1.0,0.2549019607843137,5.859880404516337,5.555555555555558,0.7037037037037037,True
POWER TWO-FACTOR,veto oppKD15>=0.350 AND favKDabs15>=0.125,38,38,0,1.0,0.23495873617001506,20,0.23614248160969026,18,0.23364346345926482,16,13,3,0.03718777251758878,1.0,0.2549019607843137,5.859880404516337,5.555555555555558,0.7037037037037037,True
POWER TWO-FACTOR,veto oppKD15>=0.150 AND favKDabs15>=0.150,38,38,0,1.0,0.2345633815863728,19,0.2337452363867755,19,0.23538152678597019,16,13,3,0.03812673965373902,1.0,0.2549019607843137,5.820344946152112,5.555555555555558,0.7037037037037037,True
POWER TWO-FACTOR,veto oppKD15>=0.200 AND favKDabs15>=0.150,38,38,0,1.0,0.2345633815863728,19,0.2337452363867755,19,0.23538152678597019,16,13,3,0.03812673965373902,1.0,0.2549019607843137,5.820344946152112,5.555555555555558,0.7037037037037037,True
POWER TWO-FACTOR,veto oppKD15>=0.250 AND favKDabs15>=0.150,38,38,0,1.0,0.2345633815863728,19,0.2337452363867755,19,0.23538152678597019,16,13,3,0.03812673965373902,1.0,0.2549019607843137,5.820344946152112,5.555555555555558,0.7037037037037037,True
POWER TWO-FACTOR,veto oppKD15>=0.300 AND favKDabs15>=0.150,38,38,0,1.0,0.2345633815863728,19,0.2337452363867755,19,0.23538152678597019,16,13,3,0.03812673965373902,1.0,0.2549019607843137,5.820344946152112,5.555555555555558,0.7037037037037037,True
POWER RISK PRODUCT,veto opponent KD/15 * favorite KDabs/15 >= 0.11,40,40,0,1.0,0.23435482035019145,21,0.233425895479725,19,0.23538152678597019,14,11,3,0.010660251481023866,1.0,0.21568627450980393,5.799488822533977,5.555555555555558,0.7407407407407407,True
POWER RISK PRODUCT,veto opponent KD/15 * favorite KDabs/15 >= 0.04,37,37,0,1.0,0.23369572523285137,19,0.2337452363867755,18,0.23364346345926482,17,14,3,0.05157026477214653,1.0,0.27450980392156865,5.733579310799969,5.555555555555558,0.6851851851851852,True
POWER RISK PRODUCT,veto opponent KD/15 * favorite KDabs/15 >= 0.05,37,37,0,1.0,0.23369572523285137,19,0.2337452363867755,18,0.23364346345926482,17,14,3,0.05157026477214653,1.0,0.27450980392156865,5.733579310799969,5.555555555555558,0.6851851851851852,True
POWER RISK PRODUCT,veto opponent KD/15 * favorite KDabs/15 >= 0.06,37,37,0,1.0,0.23369572523285137,19,0.2337452363867755,18,0.23364346345926482,17,14,3,0.05157026477214653,1.0,0.27450980392156865,5.733579310799969,5.555555555555558,0.6851851851851852,True
POWER RISK PRODUCT,veto opponent KD/15 * favorite KDabs/15 >= 0.07,37,37,0,1.0,0.23369572523285137,19,0.2337452363867755,18,0.23364346345926482,17,14,3,0.05157026477214653,1.0,0.27450980392156865,5.733579310799969,5.555555555555558,0.6851851851851852,True
POWER RISK PRODUCT,veto opponent KD/15 * favorite KDabs/15 >= 0.08,37,37,0,1.0,0.23369572523285137,19,0.2337452363867755,18,0.23364346345926482,17,14,3,0.05157026477214653,1.0,0.27450980392156865,5.733579310799969,5.555555555555558,0.6851851851851852,True
POWER TWO-FACTOR,veto oppKD15>=0.150 AND favKDabs15>=0.050,37,37,0,1.0,0.23369572523285137,19,0.2337452363867755,18,0.23364346345926482,17,14,3,0.05157026477214653,1.0,0.27450980392156865,5.733579310799969,5.555555555555558,0.6851851851851852,True
POWER TWO-FACTOR,veto oppKD15>=0.150 AND favKDabs15>=0.100,37,37,0,1.0,0.23369572523285137,19,0.2337452363867755,18,0.23364346345926482,17,14,3,0.05157026477214653,1.0,0.27450980392156865,5.733579310799969,5.555555555555558,0.6851851851851852,True
POWER TWO-FACTOR,veto oppKD15>=0.150 AND favKDabs15>=0.125,37,37,0,1.0,0.23369572523285137,19,0.2337452363867755,18,0.23364346345926482,17,14,3,0.05157026477214653,1.0,0.27450980392156865,5.733579310799969,5.555555555555558,0.6851851851851852,True
POWER TWO-FACTOR,veto oppKD15>=0.200 AND favKDabs15>=0.050,37,37,0,1.0,0.23369572523285137,19,0.2337452363867755,18,0.23364346345926482,17,14,3,0.05157026477214653,1.0,0.27450980392156865,5.733579310799969,5.555555555555558,0.6851851851851852,True
POWER TWO-FACTOR,veto oppKD15>=0.200 AND favKDabs15>=0.100,37,37,0,1.0,0.23369572523285137,19,0.2337452363867755,18,0.23364346345926482,17,14,3,0.05157026477214653,1.0,0.27450980392156865,5.733579310799969,5.555555555555558,0.6851851851851852,True
POWER TWO-FACTOR,veto oppKD15>=0.200 AND favKDabs15>=0.125,37,37,0,1.0,0.23369572523285137,19,0.2337452363867755,18,0.23364346345926482,17,14,3,0.05157026477214653,1.0,0.27450980392156865,5.733579310799969,5.555555555555558,0.6851851851851852,True
POWER TWO-FACTOR,veto oppKD15>=0.250 AND favKDabs15>=0.050,37,37,0,1.0,0.23369572523285137,19,0.2337452363867755,18,0.23364346345926482,17,14,3,0.05157026477214653,1.0,0.27450980392156865,5.733579310799969,5.555555555555558,0.6851851851851852,True
POWER TWO-FACTOR,veto oppKD15>=0.250 AND favKDabs15>=0.100,37,37,0,1.0,0.23369572523285137,19,0.2337452363867755,18,0.23364346345926482,17,14,3,0.05157026477214653,1.0,0.27450980392156865,5.733579310799969,5.555555555555558,0.6851851851851852,True
POWER TWO-FACTOR,veto oppKD15>=0.250 AND favKDabs15>=0.125,37,37,0,1.0,0.23369572523285137,19,0.2337452363867755,18,0.23364346345926482,17,14,3,0.05157026477214653,1.0,0.27450980392156865,5.733579310799969,5.555555555555558,0.6851851851851852,True
