family,rule,complexity,n,wins,losses,win_rate,roi,pre_n,pre_roi,recent_n,recent_roi,y2022_n,y2022_roi,removed_n,removed_wins,removed_losses,removed_roi,loss_capture_rate,winner_removal_rate,roi_change_pp,win_change_pp,sample_retained,both_eras_positive,recent_2022_positive,promotion_screen
POWER INTERACTION,veto opp KD/15 >= 0.25 AND fav KD-abs/15 >= 0.125,1,37,37,0,1.0,0.23369572523285137,19,0.2337452363867755,18,0.23364346345926482,14,0.22398758338008937,17,14,3,0.05157026477214653,1.0,0.27450980392156865,5.733579310799969,5.555555555555558,0.6851851851851852,True,True,True
LAYOFF,veto if favorite layoff exceeds opponent by > 90 days,1,38,37,1,0.9736842105263158,0.2108442644632557,18,0.26042312371931653,20,0.16622329113280102,16,0.13655328062240282,16,14,2,0.09445964282114216,0.6666666666666666,0.27450980392156865,3.4484332338404005,2.92397660818714,0.7037037037037037,True,True,True
MATCHUP-RELEVANT WRESTLING,keep if opp TDatt/15 >= 4 OR (fav TDatt/15 >= 2 & fav ctrl/15 >=1 & opp TDD<=75%),3,39,38,1,0.9743589743589743,0.20796879800491572,21,0.19623495795656157,18,0.22165827806132893,13,0.20085955774894068,15,13,2,0.09417688083668528,0.6666666666666666,0.2549019607843137,3.1608865880064037,2.991452991452992,0.7222222222222222,True,True,True
MATCHUP-RELEVANT WRESTLING,keep if opp TDatt/15 >= 2 OR (fav TDatt/15 >= 5 & fav ctrl/15 >=1 & opp TDD<=75%),3,37,36,1,0.972972972972973,0.20671705011495353,23,0.2477719757609644,14,0.13926967226793568,12,0.12394455222747244,17,15,2,0.11028855767580655,0.6666666666666666,0.29411764705882354,3.035711799010185,2.8528528528528607,0.6851851851851852,True,True,True
MATCHUP-RELEVANT WRESTLING,keep if opp TDatt/15 >= 5 OR (fav TDatt/15 >= 2 & fav ctrl/15 >=1 & opp TDD<=75%),3,38,37,1,0.9736842105263158,0.20546717945161605,20,0.19089519070287453,18,0.22165827806132893,13,0.20085955774894068,16,14,2,0.1072302197237864,0.6666666666666666,0.27450980392156865,2.910724732676437,2.92397660818714,0.7037037037037037,True,True,True
MATCHUP-RELEVANT WRESTLING,keep if opp TDatt/15 >= 4 OR (fav TDatt/15 >= 3 & fav ctrl/15 >=1 & opp TDD<=75%),3,37,36,1,0.972972972972973,0.20416922656922376,21,0.19623495795656157,16,0.21458295412334288,13,0.20085955774894068,17,15,2,0.11583382068710081,0.6666666666666666,0.29411764705882354,2.780929444437208,2.8528528528528607,0.6851851851851852,True,True,True
MATCHUP-RELEVANT WRESTLING,keep if opp TDatt/15 >= 5 OR (fav TDatt/15 >= 3 & fav ctrl/15 >=1 & opp TDD<=75%),3,36,35,1,0.9722222222222222,0.20142308555641597,20,0.19089519070287453,16,0.21458295412334288,13,0.20085955774894068,18,16,2,0.12623362526172316,0.6666666666666666,0.3137254901960784,2.506315343156429,2.777777777777779,0.6666666666666666,True,True,True
LAYOFF,veto if favorite layoff exceeds opponent by > 270 days,1,49,47,2,0.9591836734693877,0.19144477169274574,24,0.2040050850263238,25,0.17938687089251082,18,0.14029882254155104,5,4,1,0.02852850435949023,0.3333333333333333,0.0784313725490196,1.5084839567894055,1.473922902494329,0.9074074074074074,True,True,True
LAYOFF,veto if favorite layoff exceeds opponent by > 365 days,1,49,47,2,0.9591836734693877,0.19144477169274574,24,0.2040050850263238,25,0.17938687089251082,18,0.14029882254155104,5,4,1,0.02852850435949023,0.3333333333333333,0.0784313725490196,1.5084839567894055,1.473922902494329,0.9074074074074074,True,True,True
MATCHUP-RELEVANT WRESTLING,keep if opp TDatt/15 >= 2 OR (fav TDatt/15 >= 1.5 & fav ctrl/15 >=1 & opp TDD<=75%),3,49,47,2,0.9591836734693877,0.19132019414716922,26,0.20485409318824382,23,0.1760210039268241,18,0.14832268533051451,5,4,1,0.02974936430614018,0.3333333333333333,0.0784313725490196,1.4960262022317539,1.473922902494329,0.9074074074074074,True,True,True
LAST5 FORM,veto if favorite last5 trails opponent by > 0.00,1,50,48,2,0.96,0.19074412754948397,25,0.19728987341509022,25,0.18419838168387773,19,0.15817783188146942,4,3,1,-0.003442510683051463,0.3333333333333333,0.058823529411764705,1.4384195424632291,1.5555555555555545,0.9259259259259259,True,True,True
LAST5 FORM,veto if favorite last5 trails opponent by > 0.10,1,50,48,2,0.96,0.19074412754948397,25,0.19728987341509022,25,0.18419838168387773,19,0.15817783188146942,4,3,1,-0.003442510683051463,0.3333333333333333,0.058823529411764705,1.4384195424632291,1.5555555555555545,0.9259259259259259,True,True,True
