family,veto_score_at,n,wins,losses,win_rate,roi,pre_n,pre_roi,recent_n,recent_roi,removed_n,removed_losses,removed_roi,components,robust,lift
age_defense,1,4,4,0,1.0,0.45758341650836587,2,0.5300127713920817,2,0.38515406162465005,37,4,0.3233877995093916,older_2plus|low_td_def_60|high_ctrl_allowed_3|negative_sig_diff|finish_vuln_40,False,0.12110336168200114
age_defense,2,15,14,1,0.9333333333333333,0.4179191004582144,7,0.5753138942794115,8,0.2801986558646669,26,3,0.28949599003875914,older_2plus|low_td_def_60|high_ctrl_allowed_3|negative_sig_diff|finish_vuln_40,False,0.08143904563184967
age_defense,3,23,22,1,0.9565217391304348,0.4392644600934921,11,0.5073648491478346,12,0.3768391034603448,18,3,0.20514442587392423,older_2plus|low_td_def_60|high_ctrl_allowed_3|negative_sig_diff|finish_vuln_40,False,0.1027844052671274
age_defense,4,35,34,1,0.9714285714285714,0.4347698082130646,18,0.4744443845581652,17,0.39276143325942864,6,3,-0.2368768399293844,older_2plus|low_td_def_60|high_ctrl_allowed_3|negative_sig_diff|finish_vuln_40,True,0.09828975338669987
age_defense,5,40,36,4,0.9,0.3342537583246834,18,0.4744443845581652,22,0.21955233686092562,1,0,0.42553191489361697,older_2plus|low_td_def_60|high_ctrl_allowed_3|negative_sig_diff|finish_vuln_40,True,-0.002226296501681324
decline_balanced,1,3,3,0,1.0,0.5120720063248799,2,0.5300127713920817,1,0.4761904761904765,38,4,0.32261753233963986,older_2plus|negative_sig_diff|low_td_def_60|high_ctrl_allowed_3|recent5_below_500|finish_vuln_40,False,0.1755919514985152
decline_balanced,2,10,10,0,1.0,0.5193281456368165,4,0.5879230523627074,6,0.473598207819556,31,4,0.277496799726219,older_2plus|negative_sig_diff|low_td_def_60|high_ctrl_allowed_3|recent5_below_500|finish_vuln_40,False,0.18284809081045178
decline_balanced,3,20,19,1,0.95,0.43645105180366306,9,0.5391236760968562,11,0.3524461773819597,21,3,0.24126958151465194,older_2plus|negative_sig_diff|low_td_def_60|high_ctrl_allowed_3|recent5_below_500|finish_vuln_40,False,0.09997099697729833
decline_balanced,4,32,31,1,0.96875,0.443436869787641,16,0.4866880044083721,16,0.4001857351669101,9,3,-0.04381084281372908,older_2plus|negative_sig_diff|low_td_def_60|high_ctrl_allowed_3|recent5_below_500|finish_vuln_40,True,0.10695681496127629
decline_balanced,5,38,35,3,0.9210526315789473,0.3626819747070971,18,0.4744443845581652,20,0.2620958058411358,3,1,0.004589069670421395,older_2plus|negative_sig_diff|low_td_def_60|high_ctrl_allowed_3|recent5_below_500|finish_vuln_40,True,0.026201919880732394
decline_balanced,6,41,37,4,0.9024390243902439,0.3364800548263647,18,0.4744443845581652,23,0.22850797068843393,0,0,,older_2plus|negative_sig_diff|low_td_def_60|high_ctrl_allowed_3|recent5_below_500|finish_vuln_40,True,0.0
hard_decline,1,5,5,0,1.0,0.5461023838305786,2,0.5300127713920817,3,0.5568287921229099,36,4,0.30736584246466836,older_4plus|negative_sig_diff|low_td_def_50|high_ctrl_allowed_4|recent3_below_500|finish_vuln_50|kd_abs_050,False,0.2096223290042139
hard_decline,2,13,13,0,1.0,0.5257243237031703,7,0.5000507587221582,6,0.5556768161810179,28,4,0.24861664427641922,older_4plus|negative_sig_diff|low_td_def_50|high_ctrl_allowed_4|recent3_below_500|finish_vuln_50|kd_abs_050,False,0.18924426887680562
hard_decline,3,28,27,1,0.9642857142857143,0.4367842344552575,14,0.49269142909234626,14,0.38087703981816884,13,3,0.12044028331798018,older_4plus|negative_sig_diff|low_td_def_50|high_ctrl_allowed_4|recent3_below_500|finish_vuln_50|kd_abs_050,False,0.10030417962889276
hard_decline,4,38,36,2,0.9473684210526315,0.40846604329319025,18,0.4744443845581652,20,0.3490855361547127,3,2,-0.5753424657534247,older_4plus|negative_sig_diff|low_td_def_50|high_ctrl_allowed_4|recent3_below_500|finish_vuln_50|kd_abs_050,True,0.07198598846682552
hard_decline,5,40,37,3,0.925,0.36989205619702387,18,0.4744443845581652,22,0.28434924208336276,1,1,-1.0,older_4plus|negative_sig_diff|low_td_def_50|high_ctrl_allowed_4|recent3_below_500|finish_vuln_50|kd_abs_050,True,0.03341200137065914
hard_decline,6,41,37,4,0.9024390243902439,0.3364800548263647,18,0.4744443845581652,23,0.22850797068843393,0,0,,older_4plus|negative_sig_diff|low_td_def_50|high_ctrl_allowed_4|recent3_below_500|finish_vuln_50|kd_abs_050,True,0.0
hard_decline,7,41,37,4,0.9024390243902439,0.3364800548263647,18,0.4744443845581652,23,0.22850797068843393,0,0,,older_4plus|negative_sig_diff|low_td_def_50|high_ctrl_allowed_4|recent3_below_500|finish_vuln_50|kd_abs_050,True,0.0
no_age,1,5,5,0,1.0,0.5065229156796819,2,0.5300127713920817,3,0.49086301187141534,36,4,0.3128629908189596,negative_sig_diff|low_td_def_60|high_ctrl_allowed_3|recent5_below_500|finish_vuln_40|kd_abs_050,False,0.17004286085331716
no_age,2,11,11,0,1.0,0.53393276027361,5,0.5444125159642399,6,0.5251996305314185,30,4,0.2640807294957081,negative_sig_diff|low_td_def_60|high_ctrl_allowed_3|recent5_below_500|finish_vuln_40|kd_abs_050,False,0.1974527054472453
no_age,3,30,29,1,0.9666666666666667,0.44870265258166814,14,0.5041505581985342,16,0.4001857351669101,11,3,0.03041842458462854,negative_sig_diff|low_td_def_60|high_ctrl_allowed_3|recent5_below_500|finish_vuln_40|kd_abs_050,True,0.11222259775530341
no_age,4,37,34,3,0.918918918918919,0.363164525747643,17,0.4820689021082398,20,0.2620958058411358,4,1,0.08964869880454017,negative_sig_diff|low_td_def_60|high_ctrl_allowed_3|recent5_below_500|finish_vuln_40|kd_abs_050,True,0.02668447092127829
no_age,5,40,37,3,0.925,0.36989205619702387,18,0.4744443845581652,22,0.28434924208336276,1,1,-1.0,negative_sig_diff|low_td_def_60|high_ctrl_allowed_3|recent5_below_500|finish_vuln_40|kd_abs_050,True,0.03341200137065914
no_age,6,40,37,3,0.925,0.36989205619702387,18,0.4744443845581652,22,0.28434924208336276,1,1,-1.0,negative_sig_diff|low_td_def_60|high_ctrl_allowed_3|recent5_below_500|finish_vuln_40|kd_abs_050,True,0.03341200137065914
