rule,n,wins,losses,win,roi,profit,pre_n,pre_roi,recent_n,recent_roi,removed_n,removed_losses,removed_roi,roi_lift
fav_finish_loss_pct<0.3,13,12,1,0.9230769230769231,0.3253972766952756,423.01645970385823,5,0.4508286379685974,8,0.24700267589944944,35,5,0.2763291644541917,0.035778831842457004
fav_finish_loss_pct<0.4,17,16,1,0.9411764705882353,0.3686104813038359,626.637818216521,9,0.47670630832995725,8,0.24700267589944944,31,5,0.24630023131516388,0.07899203645101732
fav_finish_loss_pct<0.5,20,17,3,0.85,0.24362193941129084,487.2438788225817,9,0.47670630832995725,11,0.052916546659654645,28,3,0.32247309159676696,-0.045996505441527724
fav_finish_loss_pct<0.6,29,26,3,0.896551724137931,0.330653931647962,958.8964017790897,14,0.49398542495155945,15,0.1782112045646043,19,3,0.2269853334286524,0.041035486795143405
fav_finish_loss_pct<0.7,39,34,5,0.8717948717948718,0.2867046065146861,1118.1479654072757,18,0.3936363037500844,21,0.19504886602720176,9,1,0.30224507765139297,-0.0029138383381324684
opp_finish_win_pct<0.3,12,11,1,0.9166666666666666,0.38480265843711225,461.7631901245347,6,0.27913943355119825,6,0.49046588332302615,36,5,0.25789037365805406,0.09518421358429369
opp_finish_win_pct<0.4,12,11,1,0.9166666666666666,0.38480265843711225,461.7631901245347,6,0.27913943355119825,6,0.49046588332302615,36,5,0.25789037365805406,0.09518421358429369
opp_finish_win_pct<0.5,12,11,1,0.9166666666666666,0.38480265843711225,461.7631901245347,6,0.27913943355119825,6,0.49046588332302615,36,5,0.25789037365805406,0.09518421358429369
opp_finish_win_pct<0.6,14,13,1,0.9285714285714286,0.39335428317760385,550.6959964486454,8,0.32052058306853703,6,0.49046588332302615,34,5,0.2469036878955541,0.10373583832478528
opp_finish_win_pct<0.7,14,13,1,0.9285714285714286,0.39335428317760385,550.6959964486454,8,0.32052058306853703,6,0.49046588332302615,34,5,0.2469036878955541,0.10373583832478528
finish_loss_gap<=0.2,29,26,3,0.896551724137931,0.30244307041875784,877.0849042143977,12,0.4453983600643727,17,0.20153345419832386,19,3,0.2700440163574377,0.012824625565939274
finish_loss_gap<=0.3,29,26,3,0.896551724137931,0.30244307041875784,877.0849042143977,12,0.4453983600643727,17,0.20153345419832386,19,3,0.2700440163574377,0.012824625565939274
finish_loss_gap<=0.4,33,30,3,0.9090909090909091,0.334628874635177,1104.275286296084,15,0.467374902368582,18,0.2240071848573396,15,3,0.19059549933163006,0.04501042978235842
finish_loss_gap<=0.5,37,33,4,0.8918918918918919,0.3140137956410383,1161.8510438718417,17,0.4783432739259324,20,0.1743337390988783,11,2,0.20756135583789775,0.02439535078821975
opp_finish_edge<=0.2,14,13,1,0.9285714285714286,0.39335428317760385,550.6959964486454,8,0.32052058306853703,6,0.49046588332302615,34,5,0.2469036878955541,0.10373583832478528
opp_finish_edge<=0.3,15,14,1,0.9333333333333333,0.39182202232378827,587.7330334856824,9,0.32605944832429623,6,0.49046588332302615,33,5,0.24316227327510515,0.1022035774709697
opp_finish_edge<=0.4,20,19,1,0.95,0.406856313508729,813.712627017458,11,0.3610520065414275,9,0.462839355357653,28,5,0.20587711009859683,0.1172378686559104
opp_finish_edge<=0.5,23,22,1,0.9565217391304348,0.4158393877584514,956.4305918444383,11,0.3610520065414275,12,0.4660611538740566,25,5,0.17349517737963632,0.12622094290563285
fav_kd_abs15<=0.50,45,40,5,0.8888888888888888,0.31515635091073,1418.2035790982852,22,0.3418359581322599,23,0.2896367266118754,3,1,-0.09345014601585315,0.025537906057911453
fav_kd_abs15<=0.75,48,42,6,0.875,0.28961844485281857,1390.1685352935292,22,0.3418359581322599,26,0.2454343951548298,0,0,,0.0
fav_kd_abs15<=1.00,48,42,6,0.875,0.28961844485281857,1390.1685352935292,22,0.3418359581322599,26,0.2454343951548298,0,0,,0.0
fav_kd_abs15<=1.25,48,42,6,0.875,0.28961844485281857,1390.1685352935292,22,0.3418359581322599,26,0.2454343951548298,0,0,,0.0
fav_kd_abs15<=1.50,48,42,6,0.875,0.28961844485281857,1390.1685352935292,22,0.3418359581322599,26,0.2454343951548298,0,0,,0.0
opp_kd15<=0.25,30,24,6,0.8,0.17937739559371293,538.1321867811388,12,0.22652865584923718,18,0.1479432220900301,18,0,0.47335352695132793,-0.11024104925910563
opp_kd15<=0.50,33,27,6,0.8181818181818182,0.19784297993601527,652.8818337888504,14,0.253089978221905,19,0.15713466540957016,15,0,0.4915244676697859,-0.0917754649168033
opp_kd15<=0.75,37,31,6,0.8378378378378378,0.228245471028801,844.5082428065637,18,0.30330687696021136,19,0.15713466540957016,11,0,0.49605481135178686,-0.061372973824017574
opp_kd15<=1.00,38,32,6,0.8421052631578947,0.2381879745822695,905.1143034126242,18,0.30330687696021136,20,0.17958096244212196,10,0,0.48505423188090496,-0.05143047027054906
fav_finish_loss<0.4+kd_abs<=0.75,17,16,1,0.9411764705882353,0.3686104813038359,626.637818216521,9,0.47670630832995725,8,0.24700267589944944,31,5,0.24630023131516388,0.07899203645101732
fav_finish_loss<0.4+kd_abs<=1.00,17,16,1,0.9411764705882353,0.3686104813038359,626.637818216521,9,0.47670630832995725,8,0.24700267589944944,31,5,0.24630023131516388,0.07899203645101732
fav_finish_loss<0.4+kd_abs<=1.25,17,16,1,0.9411764705882353,0.3686104813038359,626.637818216521,9,0.47670630832995725,8,0.24700267589944944,31,5,0.24630023131516388,0.07899203645101732
fav_finish_loss<0.5+kd_abs<=0.75,20,17,3,0.85,0.24362193941129084,487.2438788225817,9,0.47670630832995725,11,0.052916546659654645,28,3,0.32247309159676696,-0.045996505441527724
fav_finish_loss<0.5+kd_abs<=1.00,20,17,3,0.85,0.24362193941129084,487.2438788225817,9,0.47670630832995725,11,0.052916546659654645,28,3,0.32247309159676696,-0.045996505441527724
fav_finish_loss<0.5+kd_abs<=1.25,20,17,3,0.85,0.24362193941129084,487.2438788225817,9,0.47670630832995725,11,0.052916546659654645,28,3,0.32247309159676696,-0.045996505441527724
fav_finish_loss<0.6+kd_abs<=0.75,29,26,3,0.896551724137931,0.330653931647962,958.8964017790897,14,0.49398542495155945,15,0.1782112045646043,19,3,0.2269853334286524,0.041035486795143405
fav_finish_loss<0.6+kd_abs<=1.00,29,26,3,0.896551724137931,0.330653931647962,958.8964017790897,14,0.49398542495155945,15,0.1782112045646043,19,3,0.2269853334286524,0.041035486795143405
fav_finish_loss<0.6+kd_abs<=1.25,29,26,3,0.896551724137931,0.330653931647962,958.8964017790897,14,0.49398542495155945,15,0.1782112045646043,19,3,0.2269853334286524,0.041035486795143405
fav_finish_loss<0.4+opp_finish<0.4,3,3,0,1.0,0.5031179138321996,150.93537414965988,1,0.625,2,0.44217687074829937,45,6,0.27538514692085986,0.21349946897938105
fav_finish_loss<0.4+opp_finish<0.5,3,3,0,1.0,0.5031179138321996,150.93537414965988,1,0.625,2,0.44217687074829937,45,6,0.27538514692085986,0.21349946897938105
fav_finish_loss<0.4+opp_finish<0.6,3,3,0,1.0,0.5031179138321996,150.93537414965988,1,0.625,2,0.44217687074829937,45,6,0.27538514692085986,0.21349946897938105
fav_finish_loss<0.5+opp_finish<0.4,3,3,0,1.0,0.5031179138321996,150.93537414965988,1,0.625,2,0.44217687074829937,45,6,0.27538514692085986,0.21349946897938105
fav_finish_loss<0.5+opp_finish<0.5,3,3,0,1.0,0.5031179138321996,150.93537414965988,1,0.625,2,0.44217687074829937,45,6,0.27538514692085986,0.21349946897938105
fav_finish_loss<0.5+opp_finish<0.6,3,3,0,1.0,0.5031179138321996,150.93537414965988,1,0.625,2,0.44217687074829937,45,6,0.27538514692085986,0.21349946897938105
fav_finish_loss<0.6+opp_finish<0.4,5,5,0,1.0,0.5157596371882087,257.87981859410434,3,0.5648148148148149,2,0.44217687074829937,43,6,0.2633229573719593,0.22614119233539015
fav_finish_loss<0.6+opp_finish<0.5,5,5,0,1.0,0.5157596371882087,257.87981859410434,3,0.5648148148148149,2,0.44217687074829937,43,6,0.2633229573719593,0.22614119233539015
fav_finish_loss<0.6+opp_finish<0.6,7,7,0,1.0,0.4954466070260214,346.81262491821496,5,0.5167545015371102,2,0.44217687074829937,41,6,0.25447705131105225,0.20582816217320282
