feature,win_n,loss_n,win_mean,loss_mean,mean_diff,win_median,loss_median
market_prob,45,7,0.6656939945746783,0.6634681588987165,0.002225835675961796,0.6690070210631895,0.6777862016679302
age_adv,0,0,,,,,
reach_adv,0,0,,,,,
exp_gap,45,7,8.577777777777778,9.0,-0.4222222222222225,7.0,8.0
winpct_gap,45,7,0.29381222691482034,0.4242216117216117,-0.13040938480679137,0.22222222222222227,0.5
last3_gap,45,7,0.2444444444444445,0.26190476190476186,-0.01746031746031737,0.3333333333333333,0.3333333333333333
last5_gap,45,7,0.24740740740740744,0.36666666666666664,-0.1192592592592592,0.2,0.4
layoff_gap,45,7,82.2,177.28571428571428,-95.08571428571427,28.0,98.0
sig_diff_gap,45,7,1.4689362016030427,2.2966465622239025,-0.8277103606208598,1.4166398761683636,1.390662562773368
sig_def_gap,44,7,0.07638798945200587,0.05726362950042612,0.019124359951579746,0.07213324297255433,0.02296587926509186
kd_gap,45,7,-0.17023220606258246,0.35648931985845506,-0.5267215259210375,0.1026342798494697,0.3219747786423396
kd_abs_gap,45,7,0.10770211118080376,1.7141841092800636,-1.6064819980992597,-0.1105108055009823,0.2826113721043254
td_l_gap,45,7,-0.09348807841902008,0.3462102359427867,-0.4396983143618068,0.2881844380403458,0.5089151863392297
td_a_gap,45,7,0.18199302550188448,-0.11913769783097639,0.30113072333286084,0.2881844380403458,1.0711027636168495
td_def_gap,40,6,0.1079675587111463,0.13469998936530372,-0.026732430654157424,0.11091628959276023,0.025456389452332695
sub_gap,45,7,0.21345505131482553,0.08778209392159116,0.12567295739323436,0.1917341286749041,0.1609873893211698
ctrl_gap,45,7,0.5190600265855981,0.2619532591560639,0.25710676742953426,0.836114029868599,0.14693123049963652
ctrl_allowed_gap,45,7,1.4417997732725252,2.978130499792645,-1.53633072652012,1.1833715592943923,2.6326660760623017
ground_gap,45,7,2.5322889769105204,2.797992074996448,-0.2657030980859276,2.7377521613832854,6.821480406386068
finish_win_gap,28,2,-0.10340681144252573,0.020833333333333315,-0.12424014477585904,-0.29285714285714287,0.020833333333333315
finish_loss_safety_gap,45,7,0.07302549302549302,-0.17551020408163262,0.24853569710712564,0.0,-0.06666666666666671
