family,rule,n,wins,win_rate,roi,profit100,pre2020_n,pre2020_roi,recent_n,recent_roi,existing_overlap,worst_era_roi,novelty,score
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.575-0.775; fav_fights>=8; opp_fights<=3; career_gap>=0.05,52,45,0.8653846153846154,0.26345641155737193,1369.9733400983341,24,0.2829442228824996,28,0.24675257327869113,0.1346153846153846,0.24675257327869113,0.8653846153846154,0.3649238557853098
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.575-0.800; fav_fights>=8; opp_fights<=3; career_gap>=0.05,56,49,0.875,0.25991365231106617,1455.5164529419706,26,0.27754589477206176,30,0.24463237551153663,0.14285714285714285,0.24463237551153663,0.8571428571428572,0.3613164395346955
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.575-0.725; fav_fights>=8; opp_fights<=4; career_gap>=0.05,59,50,0.847457627118644,0.2710742471667827,1599.3380582840177,28,0.33359462652691924,31,0.21460422709956253,0.1016949152542373,0.21460422709956253,0.8983050847457628,0.3364293661503094
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.575-0.700; fav_fights>=8; opp_fights<=4; career_gap>=0.05,52,43,0.8269230769230769,0.25749448124203383,1338.971302458576,23,0.3251183793582636,29,0.20386173446019648,0.057692307692307696,0.20386173446019648,0.9423076923076923,0.3222540336641391
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.600-0.800; fav_fights>=8; opp_fights<=3; career_gap>=0.00,50,44,0.88,0.2430654028921082,1215.327014460541,22,0.28340324659059757,28,0.21137138284329512,0.16,0.21137138284329512,0.84,0.32164427385553296
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.575-0.750; fav_fights>=8; opp_fights<=3; career_gap>=0.00,51,43,0.8431372549019608,0.2427781441752018,1238.1685352935292,23,0.28349526430042254,28,0.2093319383580562,0.09803921568627451,0.2093319383580562,0.9019607843137255,0.32136311234878856
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.550-0.725; fav_fights>=8; opp_fights<=4; career_gap>=0.05,64,52,0.8125,0.2245732957448088,1437.2690927667763,33,0.23393817841155526,31,0.21460422709956253,0.09375,0.21460422709956253,0.90625,0.3203923806102456
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.575-0.750; fav_fights>=10; opp_fights<=5; career_gap>=0.00,51,42,0.8235294117647058,0.23119971470238304,1179.1185449821535,20,0.2614204481878731,31,0.21170246729238945,0.11764705882352941,0.21170246729238945,0.8823529411764706,0.31909295567351764
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.575-0.775; fav_fights>=10; opp_fights<=5; career_gap>=0.00,53,44,0.8301886792452831,0.23241256559437848,1231.786597650206,22,0.2615949768380903,31,0.21170246729238945,0.1509433962264151,0.21170246729238945,0.8490566037735849,0.31851856336362944
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.575-0.800; fav_fights>=10; opp_fights<=5; career_gap>=0.00,56,47,0.8392857142857143,0.23190899500028914,1298.6903720016192,24,0.2583505661424867,32,0.21207781664364098,0.16071428571428573,0.21207781664364098,0.8392857142857143,0.3184245363223136
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.575-0.775; fav_fights>=8; opp_fights<=3; career_gap>=0.00,55,46,0.8363636363636363,0.22144969819969706,1217.973340098334,25,0.23162645396719958,30,0.2129690683934451,0.12727272727272726,0.2129690683934451,0.8727272727272728,0.31665828094515724
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.575-0.800; fav_fights>=8; opp_fights<=3; career_gap>=0.00,59,50,0.847457627118644,0.22093499202406278,1303.5164529419703,27,0.2302293801508743,32,0.2130928520420656,0.13559322033898305,0.2130928520420656,0.864406779661017,0.31635230264031805
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.575-0.725; fav_fights>=8; opp_fights<=4; career_gap>=0.00,69,56,0.8115942028985508,0.21439632257486835,1479.3346257665917,33,0.21952496432707452,36,0.209695067635346,0.11594202898550725,0.209695067635346,0.8840579710144928,0.31125551966698467
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.550-0.800; fav_fights>=10; opp_fights<=4; career_gap>=0.00,51,42,0.8235294117647058,0.2176509395868819,1110.0197918930976,23,0.2076565375603623,28,0.22586062696580875,0.13725490196078433,0.2076565375603623,0.8627450980392157,0.30971671935694745
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.550-0.725; fav_fights>=10; opp_fights<=5; career_gap>=0.00,52,43,0.8269230769230769,0.2643172477231277,1374.449688160264,23,0.18861879145209323,29,0.32435395442084475,0.09615384615384616,0.18861879145209323,0.9038461538461539,0.30824521277057254
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.550-0.750; fav_fights>=8; opp_fights<=3; career_gap>=0.05,52,43,0.8269230769230769,0.22291039471825164,1159.1340525349085,26,0.20038639428167349,26,0.2454343951548298,0.09615384615384616,0.20038639428167349,0.9038461538461539,0.3055204170484462
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.550-0.700; fav_fights>=8; opp_fights<=4; career_gap>=0.05,57,45,0.7894736842105263,0.20647409420023413,1176.9023369413346,28,0.20917975250241605,29,0.20386173446019648,0.05263157894736842,0.20386173446019648,0.9473684210526316,0.30454872006185735
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.550-0.800; fav_fights>=10; opp_fights<=5; career_gap>=0.00,62,51,0.8225806451612904,0.22307880720576026,1383.0886046757137,28,0.20015551693282813,34,0.24195681095993976,0.14516129032258066,0.20015551693282813,0.8548387096774194,0.3038782607451668
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.575-0.700; fav_fights>=8; opp_fights<=4; career_gap>=0.00,60,48,0.8,0.2135386701474244,1281.2320208845463,26,0.23092455825822106,34,0.20024357923916816,0.06666666666666667,0.20024357923916816,0.9333333333333333,0.3029821137907667
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.575-0.725; fav_fights>=8; opp_fights<=5; career_gap>=0.00,82,66,0.8048780487804879,0.21038434397557507,1725.1516205997154,38,0.21904919150891877,44,0.20290106656041454,0.12195121951219512,0.20290106656041454,0.8780487804878049,0.3028770503665
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.550-0.775; fav_fights>=10; opp_fights<=5; career_gap>=0.00,59,48,0.8135593220338984,0.22308217463123742,1316.1848303243007,26,0.19842424527451905,33,0.24250963412440948,0.13559322033898305,0.19842424527451905,0.864406779661017,0.3024352097852826
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.550-0.750; fav_fights>=10; opp_fights<=5; career_gap>=0.00,57,46,0.8070175438596491,0.22166961011513123,1263.516777656248,24,0.19301457710237369,33,0.24250963412440948,0.10526315789473684,0.19301457710237369,0.8947368421052632,0.2974410459058275
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.575-0.700; fav_fights>=8; opp_fights<=5; career_gap>=0.00,72,57,0.7916666666666666,0.20746051144226899,1493.7156823843368,30,0.2250083545308623,42,0.19492633780755952,0.06944444444444445,0.19492633780755952,0.9305555555555556,0.2954541834790203
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.600-0.725; fav_fights>=8; opp_fights<=4; career_gap>=0.00,55,45,0.8181818181818182,0.20395060251564187,1121.7283138360303,26,0.23049387282270845,29,0.18015318775758232,0.14545454545454545,0.18015318775758232,0.8545454545454545,0.2771722622744206
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.575-0.800; fav_fights>=8; opp_fights<=4; career_gap>=0.05,75,63,0.84,0.21796592749093818,1634.7444561820364,34,0.28068633330656634,41,0.16595388364383187,0.14666666666666667,0.16595388364383187,0.8533333333333333,0.26784195826566026
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.575-0.750; fav_fights>=8; opp_fights<=4; career_gap>=0.05,66,55,0.8333333333333334,0.23456362769529007,1548.1199427889144,29,0.33223335137284693,37,0.15801168211017785,0.12121212121212122,0.15801168211017785,0.8787878787878788,0.26647258816716574
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.575-0.775; fav_fights>=8; opp_fights<=4; career_gap>=0.05,70,58,0.8285714285714286,0.21827496394195986,1527.924747593719,31,0.28725927290589776,39,0.16344128245780407,0.14285714285714285,0.16344128245780407,0.8571428571428572,0.2655518055517757
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.600-0.725; fav_fights>=8; opp_fights<=5; career_gap>=0.00,62,50,0.8064516129032258,0.184933836402823,1146.5897856975025,29,0.19933515452652442,33,0.172278132597146,0.16129032258064516,0.172278132597146,0.8387096774193549,0.26216626566071466
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.550-0.800; fav_fights>=8; opp_fights<=3; career_gap>=0.05,60,50,0.8333333333333334,0.20408032836389164,1224.4819701833499,30,0.16352828121624666,30,0.24463237551153663,0.13333333333333333,0.16352828121624666,0.8666666666666667,0.26095639614360877
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.575-0.800; fav_fights>=8; opp_fights<=5; career_gap>=0.00,103,84,0.8155339805825242,0.1841260515583703,1896.498331051214,48,0.20000508139226972,55,0.17026798915787625,0.1941747572815534,0.17026798915787625,0.8058252427184466,0.25888686448485926
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.575-0.725; fav_fights>=8; opp_fights<=5; career_gap>=0.05,66,54,0.8181818181818182,0.22693827329372165,1497.792603738563,32,0.3060998436655997,34,0.15243326588489528,0.10606060606060606,0.15243326588489528,0.8939393939393939,0.2586798433558797
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.550-0.775; fav_fights>=8; opp_fights<=3; career_gap>=0.05,56,46,0.8214285714285714,0.20338193881066308,1138.9388573397132,28,0.16001130434263505,28,0.24675257327869113,0.125,0.16001130434263505,0.875,0.25744498292636714
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.575-0.750; fav_fights>=8; opp_fights<=5; career_gap>=0.00,91,73,0.8021978021978022,0.19041845758011766,1732.8079639790708,40,0.223025430685701,51,0.16484436102671898,0.15384615384615385,0.16484436102671898,0.8461538461538461,0.25687543656437556
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.575-0.775; fav_fights>=8; opp_fights<=5; career_gap>=0.00,97,78,0.8041237113402062,0.18210544417622768,1766.4228085094085,44,0.19839517943076448,53,0.16858189038000843,0.18556701030927836,0.16858189038000843,0.8144329896907216,0.25675178553240974
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.550-0.800; fav_fights>=8; opp_fights<=4; career_gap>=0.05,80,65,0.8125,0.18408443633309937,1472.675490664795,39,0.20314476095514986,41,0.16595388364383187,0.1375,0.16595388364383187,0.8625,0.2562584363604166
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.575-0.800; fav_fights>=8; opp_fights<=4; career_gap>=0.00,86,70,0.813953488372093,0.17940814392431595,1542.9100377491172,40,0.19321749383270123,46,0.1674000135691984,0.16279069767441862,0.1674000135691984,0.8372093023255813,0.2553091430124764
