combo,size,n,wins,losses,win_rate,roi,lift,pre_n,pre_roi,recent_n,recent_roi,removed_n,removed_losses,removed_roi,t1_roi,t2_roi,t3_roi
ctrl_allowed3 & finish_vuln40,2,34,33,1,0.9705882352941176,0.444198095883412,0.1077180410570473,16,0.4850242954465265,18,0.4079081407161991,7,3,-0.1867218588792934,0.4956311833494995,0.46393047703749984,0.3789630829815846
tdd_under60 & ctrl_allowed3,2,31,29,2,0.9354838709677419,0.4092615408549497,0.07278148602858497,14,0.504733648577543,17,0.3306374521422258,10,2,0.11085744813775147,0.5051943016844495,0.5068071378749128,0.23337212462816515
tdd_under60 & recent5_under500,2,34,32,2,0.9411764705882353,0.40763960320771203,0.0711595483813473,15,0.4977514053390401,19,0.3364987067882425,7,2,-0.009152037311607809,0.4956311833494995,0.4758772286588447,0.2644294980808685
tdd_under60 & ctrl_allowed3 & finish_vuln40,3,37,35,2,0.9459459459459459,0.406089803967039,0.06960974914067425,17,0.4820689021082398,20,0.3415075705470182,4,2,-0.3074101247248716,0.49220737261582914,0.47264230797336193,0.26516358305462684
neg_strike & ctrl_allowed3 & finish_vuln40,3,38,36,2,0.9473684210526315,0.4044776403417721,0.06799758551540735,18,0.4744443845581652,20,0.3415075705470182,3,2,-0.524822695035461,0.48306421692094914,0.4712502423250614,0.2651635830546268
older2 & ctrl_allowed3 & finish_vuln40,3,36,34,2,0.9444444444444444,0.401321190173414,0.06484113534704927,17,0.4767774301971366,19,0.33380771225745176,5,2,-0.13037611967239007,0.48306421692094914,0.47428921179417877,0.246610141805114
older2 & ctrl_allowed3,2,32,30,2,0.9375,0.4011952538037618,0.06471519897739708,16,0.4815760195844575,16,0.3208144880230661,9,2,0.10638156957339721,0.4980103936384724,0.4702540987649102,0.2441226453565129
neg_strike & ctrl_allowed3,2,37,35,2,0.9459459459459459,0.4001399616641867,0.06365990683782197,18,0.4744443845581652,19,0.32974629786989124,4,2,-0.2523740834234884,0.48306421692094914,0.46344011656778067,0.2651635830546268
neg_strike & finish_vuln40,2,36,34,2,0.9444444444444444,0.39927088259898796,0.06279082777262324,17,0.4783432739259324,19,0.3285219008854061,5,2,-0.1156139051365227,0.48692939935756024,0.44645375035853513,0.2644294980808686
tdd_under60 & finish_vuln40,2,30,28,2,0.9333333333333333,0.3827513999372446,0.04627134511087988,14,0.4906724114344643,16,0.28832051487717736,11,2,0.21028547725123778,0.5015513504328024,0.4505995728940103,0.19610327648492099
ctrl_allowed3 & recent5_under500,2,36,33,3,0.9166666666666666,0.3735550500883293,0.03707499526196456,15,0.4977514053390401,21,0.2848433677663931,5,1,0.06954008894021962,0.49220737261582914,0.4978666634066742,0.1305911142424847
tdd_under60 & ctrl_allowed3 & recent5_under500,3,36,33,3,0.9166666666666666,0.3735550500883293,0.03707499526196456,15,0.4977514053390401,21,0.2848433677663931,5,1,0.06954008894021962,0.49220737261582914,0.4978666634066742,0.1305911142424847
recent5_under500 & kd_abs050,2,39,36,3,0.9230769230769231,0.37183498976467,0.03535493493830527,18,0.4744443845581652,21,0.28388407994167414,2,1,-0.3529411764705882,0.48087046596898814,0.45736002295538997,0.177274480369632
